"","MKT","TERM","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.TERM","Wald.p.value.MKT_1","SE.MKT.indep","SE.TERM.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","CORP","SE.CORP","SE.CORP.indep","HY","SE.HY","SE.HY.indep","LIQ","SE.LIQ","SE.LIQ.indep"
"Nelder-Mead",1.81442729110673,-1.24131274890559,1.2117329040099e-05,413,NA,NA,0,TRUE,TRUE,2.31999999999999,0.000508384038331758,0.000584055384955058,0.999999351974081,0.000181078138688081,0.000200056659454663,"TERM","ALL",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:06,1.2117329040099e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.59341098820647,NA,1.11502059917176e-05,163,NA,NA,0,TRUE,TRUE,0.560000000000002,0.00026840173100508,NA,0.999996235192466,0.000120417548661113,NA,"CORP","ALL",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:10,1.11502059917176e-05,-6.00046445232291,0.00043099903215185,0.000151850904322793,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.47782809305406,NA,1.20417462324891e-05,181,NA,NA,0,TRUE,TRUE,0.890000000000001,0.000211603027950356,NA,0.999999473775084,9.91028233252554e-05,NA,"HY","ALL",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:15,1.20417462324891e-05,NA,NA,NA,-2.68096530051856,0.000345366238793113,0.000126847218850808,NA,NA,NA
"Nelder-Mead3",1.38931657035882,NA,1.26438778093104e-05,125,NA,NA,0,TRUE,TRUE,0.609999999999999,0.000258210926129832,NA,0.999999893122518,0.000177456883851943,NA,"LIQ","ALL",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:18,1.26438778093104e-05,NA,NA,NA,NA,NA,NA,-0.877120300758068,0.000415586199150806,0.000167993512842019
"Nelder-Mead4",1.61025136498762,-0.615539376469801,5.99432607752171e-06,99,NA,NA,0,TRUE,TRUE,0.519999999999996,0.000250697909479087,0.00031789500952759,0.999999939494646,0.000103172777382343,0.000113362022041503,"TERM","BO",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:21,5.99432607752171e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.56526436456594,NA,5.84462653683717e-06,167,NA,NA,0,TRUE,TRUE,0.699999999999989,0.000419141585221238,NA,0.99998280119182,0.000269617824178979,NA,"CORP","BO",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:26,5.84462653683717e-06,-2.84052634175817,0.00198761266329239,0.000710096835200766,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.48559933507779,NA,5.97034999587505e-06,155,NA,NA,0,TRUE,TRUE,0.709999999999994,0.000155662550415152,NA,0.99999983556965,0.000102151183527654,NA,"HY","BO",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:30,5.97034999587505e-06,NA,NA,NA,-1.56537566314073,0.000320015951949321,0.00012694998169467,NA,NA,NA
"Nelder-Mead31",1.37801267128581,NA,6.4041256704863e-06,153,NA,NA,0,TRUE,TRUE,0.590000000000003,0.000180092255202914,NA,0.999999994459847,0.000144562479142659,NA,"LIQ","BO",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:32,6.4041256704863e-06,NA,NA,NA,NA,NA,NA,0.343007187022786,0.00033292700900295,0.000147655025170993
"Nelder-Mead5",0.375325058971147,1.28450122585402,1.28911697828498e-06,131,NA,NA,0,TRUE,TRUE,0.480000000000004,0.000253784288547836,6.06788313232712e-05,0.999999992481487,0.000124926532687569,0.000154698299920097,"TERM","DD",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:34,1.28911697828498e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.493222314297382,NA,1.1326358263718e-06,177,NA,NA,0,TRUE,TRUE,0.519999999999996,9.08741140439111e-05,NA,0.999999996634073,5.03040446339204e-05,NA,"CORP","DD",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:36,1.1326358263718e-06,5.95486046686827,1.38028845861633e-05,4.65162607267273e-05,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",0.581119746164731,NA,1.27608557484236e-06,143,NA,NA,0,TRUE,TRUE,0.530000000000001,0.000126720410487702,NA,0.99999998166642,8.87759178158601e-05,NA,"HY","DD",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:38,1.27608557484236e-06,NA,NA,NA,3.56196012456898,4.56043192572263e-05,9.90498900525493e-05,NA,NA,NA
"Nelder-Mead32",0.690821237025541,NA,1.03290040343305e-06,125,NA,NA,0,TRUE,TRUE,0.460000000000008,0.000108663319193665,NA,0.999999902104631,0.000157078439475106,NA,"LIQ","DD",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:40,1.03290040343305e-06,NA,NA,NA,NA,NA,NA,1.22994350657735,0.000360635505313072,0.000145691496103858
"Nelder-Mead6",1.66294362172612,-1.29455221418889,5.30500917626882e-07,119,NA,NA,0,TRUE,TRUE,0.269999999999996,0.00013873368853869,0.000231063371810025,0.999999923827986,8.34091481995136e-05,0.000102252653394388,"TERM","FOF",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:42,5.30500917626882e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",1.40632148159537,NA,5.0445205946162e-07,129,NA,NA,0,TRUE,TRUE,0.260000000000005,0.000100070166374917,NA,0.999998617976207,7.69017499486494e-05,NA,"CORP","FOF",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:44,5.0445205946162e-07,-4.88042031839735,0.000332670701026078,0.000143481734570447,NA,NA,NA,NA,NA,NA
"Nelder-Mead23",1.36166794700866,NA,4.97701589844465e-07,183,NA,NA,0,TRUE,TRUE,0.47999999999999,8.11200498123862e-05,NA,0.999999809960584,6.33231354633102e-05,NA,"HY","FOF",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:47,4.97701589844465e-07,NA,NA,NA,-3.12786846521251,0.000187901039897174,8.53941325345233e-05,NA,NA,NA
"Nelder-Mead33",1.30627757354656,NA,5.06427084167179e-07,125,NA,NA,0,TRUE,TRUE,0.399999999999991,8.32266616695726e-05,NA,0.999999977279764,6.49845716907792e-05,NA,"LIQ","FOF",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:49,5.06427084167179e-07,NA,NA,NA,NA,NA,NA,-1.29761486234944,0.000145200674714159,7.35090724027053e-05
"Nelder-Mead7",0.382325173071782,0.82408517276167,8.05154465717405e-07,115,NA,NA,0,TRUE,TRUE,0.349999999999994,7.07692949695334e-05,3.4379485677454e-05,0.999999999264043,5.02432829886755e-05,3.49056990712801e-05,"TERM","INF",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:50,8.05154465717405e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead14",0.370041514461491,NA,7.96096301035546e-07,393,NA,NA,0,TRUE,TRUE,1.14999999999999,7.55306763927542e-05,NA,0.999999953760532,5.62906641740053e-05,NA,"CORP","INF",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:53,7.96096301035546e-07,4.52156152903506,7.64203942850322e-05,4.97233363250264e-05,NA,NA,NA,NA,NA,NA
"Nelder-Mead24",0.455669761788412,NA,7.66248091263922e-07,171,NA,NA,0,TRUE,TRUE,0.519999999999996,7.09397498485365e-05,NA,0.99999999227611,5.38018170133783e-05,NA,"HY","INF",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 12:54:54,7.66248091263922e-07,NA,NA,NA,2.40504307682173,6.06530536509467e-05,3.99693649140277e-05,NA,NA,NA
