"","MKT","TERM","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.TERM","Wald.p.value.MKT_1","SE.MKT.indep","SE.TERM.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","CORP","SE.CORP","SE.CORP.indep","HY","SE.HY","SE.HY.indep","LIQ","SE.LIQ","SE.LIQ.indep"
"Nelder-Mead",1.51448966590157,-0.635161672619157,0.0100597257173947,119,NA,NA,0,FALSE,TRUE,0.549999999999955,0.000337706417030362,0.000374645989421673,0.999999915573123,0.000125843421138076,0.000135470975199147,"TERM","ALL",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:40:42,0.0100597257173947,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.48354816378129,NA,0.00998584342016426,167,NA,NA,0,FALSE,TRUE,0.809999999999945,0.000266919727999918,NA,0.999999296880431,0.000103024767626916,NA,"CORP","ALL",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:40:46,0.00998584342016426,-3.0257141288208,0.000349805272992837,0.00013009899217579,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.38784559589496,NA,0.010126982113025,133,NA,NA,0,FALSE,TRUE,0.559999999999945,0.00018167765728281,NA,0.99999987591731,0.000102961827671815,NA,"HY","ALL",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:40:50,0.010126982113025,NA,NA,NA,-1.572749928512,0.000272725882433212,0.000114310456568904,NA,NA,NA
"Nelder-Mead3",1.35985483943616,NA,0.0117994663553323,109,NA,NA,0,FALSE,TRUE,0.5,0.00011133283664127,NA,0.999999975301595,7.64812780600568e-05,NA,"LIQ","ALL",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:40:53,0.0117994663553323,NA,NA,NA,NA,NA,NA,-0.651418089200138,0.00028487817678666,0.00012163361935581
"Nelder-Mead4",1.71493980310739,-0.635150733741133,0.00917445446841975,137,NA,NA,0,FALSE,TRUE,0.550000000000182,0.000513648687140346,0.000440490768214285,0.999999792950923,0.000309156755959945,0.000179623876705772,"TERM","BO",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:40:56,0.00917445446841975,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.72346912560137,NA,0.00934267141217781,127,NA,NA,0,TRUE,TRUE,0.569999999999936,0.000455401303915775,NA,0.99999753064692,0.00024818640208016,NA,"CORP","BO",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:40:59,0.00934267141217781,-3.46799418371009,0.000547034239719917,0.000223221310711308,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.61702316633481,NA,0.00945039065516478,133,NA,NA,0,TRUE,TRUE,0.670000000000073,0.000334497589381685,NA,0.999999688404596,0.000248722279814325,NA,"HY","BO",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:41:03,0.00945039065516478,NA,NA,NA,-1.76076286339738,0.000335257250944559,0.000174962612685758,NA,NA,NA
"Nelder-Mead31",1.50274687259081,NA,0.0107444177956248,121,NA,NA,0,FALSE,TRUE,0.559999999999945,0.000100317760817914,NA,0.999999982776766,7.07208080388182e-05,NA,"LIQ","BO",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:41:05,0.0107444177956248,NA,NA,NA,NA,NA,NA,-0.456652981637505,0.000307115324355361,0.000131278909824061
"Nelder-Mead5",0.269983223006985,1.67997047228278,0.00156596512453385,175,NA,NA,0,TRUE,TRUE,0.620000000000118,0.000184388241898123,6.93734787504054e-05,0.999999969442046,7.75874901787708e-05,9.48942663833526e-05,"TERM","DD",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:41:08,0.00156596512453385,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.351888963761116,NA,0.00110810070181997,139,NA,NA,0,TRUE,TRUE,0.400000000000091,9.60728073571414e-05,NA,0.999999995301352,4.00737824451245e-05,NA,"CORP","DD",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:41:10,0.00110810070181997,5.98706543480546,1.250458878045e-05,4.33371538225324e-05,NA,NA,NA,NA,NA,NA
