"","MKT","TERM","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.TERM","Wald.p.value.MKT_1","SE.MKT.indep","SE.TERM.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","CORP","SE.CORP","SE.CORP.indep","HY","SE.HY","SE.HY.indep","LIQ","SE.LIQ","SE.LIQ.indep"
"Nelder-Mead",1.89098411127746,-1.48651710574936,1.60193927501227e-05,173,NA,NA,0,TRUE,TRUE,0.909999999999968,0.000810829577945484,0.00145677734414971,0.999995837056757,0.000290173578847618,0.000495537686446626,"TERM","ALL",240,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 13:00:42,1.60193927501227e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.5934097115675,NA,1.50245114128747e-05,115,NA,NA,0,TRUE,TRUE,0.680000000000007,0.00027059730861715,NA,0.999995889580312,0.000121261641932494,NA,"CORP","ALL",240,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 13:00:46,1.50245114128747e-05,-6.00045856327592,0.000451311911144535,0.000159032944685412,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.49467589393695,NA,1.60860206560593e-05,141,NA,NA,0,TRUE,TRUE,0.840000000000032,0.000281337410221914,NA,0.999998793405707,0.000131599191882369,NA,"HY","ALL",240,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 13:00:50,1.60860206560593e-05,NA,NA,NA,-3.69440047959084,0.000383206821037114,0.000141596629075205,NA,NA,NA
"Nelder-Mead3",1.33038557200448,NA,1.67163986338333e-05,147,NA,NA,0,TRUE,TRUE,0.720000000000027,0.000190199670701049,NA,0.99999994293873,0.000133929752628632,NA,"LIQ","ALL",240,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 13:00:54,1.67163986338333e-05,NA,NA,NA,NA,NA,NA,-0.831094576912037,0.000345173694385329,0.000142727928437686
"Nelder-Mead4",1.6102513182543,-0.615539396432398,8.43562065030276e-06,107,NA,NA,0,TRUE,TRUE,0.700000000000045,0.000250814108479806,0.000318107238631891,0.999999939424508,0.000103217354211737,0.000113438938201431,"TERM","BO",240,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 13:00:58,8.43562065030276e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.54828195738201,NA,8.3290624448645e-06,121,NA,NA,0,TRUE,TRUE,0.800000000000011,0.000384535543267026,NA,0.999992988400259,0.000248295506053641,NA,"CORP","BO",240,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 13:01:02,8.3290624448645e-06,-2.82709227565334,0.00125495560111235,0.000454787266037414,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.48559879033222,NA,8.44682599671704e-06,145,NA,NA,0,TRUE,TRUE,0.760000000000048,0.000153926599136524,NA,0.999999850383172,0.000101294632883938,NA,"HY","BO",240,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 13:01:06,8.44682599671704e-06,NA,NA,NA,-1.56536869408332,0.000303659969611479,0.000120400138975986,NA,NA,NA
"Nelder-Mead31",1.37055761666628,NA,8.94695588815918e-06,107,NA,NA,0,TRUE,TRUE,0.70999999999998,0.000153504051022422,NA,0.999999995698807,0.000122975254577237,NA,"LIQ","BO",240,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 13:01:08,8.94695588815918e-06,NA,NA,NA,NA,NA,NA,0.348422970255421,0.000292290640851615,0.000129930757771681
"Nelder-Mead5",0.375325406974436,1.28449932817744,1.46497877236697e-06,129,NA,NA,0,TRUE,TRUE,0.670000000000016,0.000253529664794368,6.05721795942919e-05,0.999999992511977,0.000124785152862561,0.000154192045754618,"TERM","DD",240,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 13:01:11,1.46497877236697e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.378644932055062,NA,1.27697798605419e-06,191,NA,NA,0,TRUE,TRUE,1.10999999999996,0.000100738182431069,NA,0.999999994566511,4.92115332501835e-05,NA,"CORP","DD",240,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 13:01:13,1.27697798605419e-06,6.68763789254263,1.32172073686841e-05,4.8667795050906e-05,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",0.622775032739053,NA,1.4397445097248e-06,163,NA,NA,0,TRUE,TRUE,0.800000000000011,0.000185652232298097,NA,0.999999921014563,0.000136366029285269,NA,"HY","DD",240,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 13:01:16,1.4397445097248e-06,NA,NA,NA,1.85189454578566,0.000250901796960762,0.000126473334715262,NA,NA,NA
"Nelder-Mead32",0.595951024356696,NA,1.12850498499782e-06,231,NA,NA,0,TRUE,TRUE,1.02000000000004,0.000214789716124516,NA,0.999999936884594,0.000146762458550677,NA,"LIQ","DD",240,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-06-28 13:01:19,1.12850498499782e-06,NA,NA,NA,NA,NA,NA,1.23160312226089,0.000352844457136337,0.000141846432219341
