"","MKT","TERM","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.TERM","Wald.p.value.MKT_1","SE.MKT.indep","SE.TERM.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","CORP","SE.CORP","SE.CORP.indep","HY","SE.HY","SE.HY.indep","LIQ","SE.LIQ","SE.LIQ.indep"
"Nelder-Mead",1.70569850960369,-1.16211039816815,3.49717450098849e-06,67,NA,NA,0,TRUE,TRUE,0.720000000000027,25.293869949623,69.8846291044753,0,8.72433617337325,23.9166505604345,"TERM","ALL",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-06-28 13:13:11,3.49717450098849e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.56570435860836,NA,3.37754198286267e-06,73,NA,NA,0,TRUE,TRUE,0.609999999999957,97.4625527525539,NA,0,35.8805964917309,NA,"CORP","ALL",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-06-28 13:13:14,3.37754198286267e-06,-4.97274350050476,1041.536559084,379.897753323222,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.47808961021363,NA,3.4105789868839e-06,75,NA,NA,0,TRUE,TRUE,0.439999999999998,12.8896344598319,NA,0,4.99742761918698,NA,"HY","ALL",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-06-28 13:13:18,3.4105789868839e-06,NA,NA,NA,-3.11961722853115,160.215447573155,58.8641511722569,NA,NA,NA
"Nelder-Mead3",1.37783958029166,NA,3.53913868704918e-06,61,NA,NA,0,TRUE,TRUE,0.25,12.4917096715583,NA,0,6.60066762250063,NA,"LIQ","ALL",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-06-28 13:13:21,3.53913868704918e-06,NA,NA,NA,NA,NA,NA,-0.805639335327805,44.0630249494161,20.6876102230953
"Nelder-Mead4",1.56921625241262,-0.422279156692594,1.50824780639948e-06,59,NA,NA,0,TRUE,TRUE,0.310000000000002,46.3590533776756,100.877861397376,0,18.4511003190277,40.9701476152953,"TERM","BO",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-06-28 13:13:23,1.50824780639948e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.5621302458083,NA,1.45979811163967e-06,111,NA,NA,0,TRUE,TRUE,0.680000000000007,29.0962601144009,NA,0,12.4324752386562,NA,"CORP","BO",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-06-28 13:13:27,1.45979811163967e-06,-2.50842465780414,282.075310170576,116.712255819611,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.5054877069583,NA,1.47691275791048e-06,73,NA,NA,0,TRUE,TRUE,0.420000000000016,8.64075428762299,NA,0,3.94070285250938,NA,"HY","BO",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-06-28 13:13:31,1.47691275791048e-06,NA,NA,NA,-1.39511382993821,85.8219636980254,35.3956728621858,NA,NA,NA
"Nelder-Mead31",1.40860946178028,NA,1.545934458049e-06,71,NA,NA,0,TRUE,TRUE,0.46999999999997,1.41334356863777,NA,0.899002076757971,0.716427654183202,NA,"LIQ","BO",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-06-28 13:13:33,1.545934458049e-06,NA,NA,NA,NA,NA,NA,0.0531669242974359,15.3612253471535,6.37332205828154
"Nelder-Mead5",0.478562636371444,1.1257486187795,3.5270749372126e-07,57,NA,NA,0,TRUE,TRUE,0.25,10.8462777490271,43.4174627291745,0,7.90958513288489,27.3360406140227,"TERM","DD",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-06-28 13:13:35,3.5270749372126e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.525034451498505,NA,3.06380438841128e-07,73,NA,NA,0,TRUE,TRUE,0.409999999999968,1.11920096683257,NA,0,3.03837665020941,NA,"CORP","DD",120,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-06-28 13:13:37,3.06380438841128e-07,4.72291141841852,76.8734767053596,42.1604913185907,NA,NA,NA,NA,NA,NA
