"","MKT","TERM","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.TERM","Wald.p.value.MKT_1","SE.MKT.indep","SE.TERM.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","CORP","SE.CORP","SE.CORP.indep","HY","SE.HY","SE.HY.indep","LIQ","SE.LIQ","SE.LIQ.indep"
"Nelder-Mead",1.48892377212682,-0.611905439909891,0.0113205498598777,151,NA,NA,0,FALSE,TRUE,0.720000000000027,0.000365622850179169,0.000365770191907157,0.999999919198986,0.000138500206545872,0.000133393555949794,"TERM","ALL",180,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:42:46,0.0113205498598777,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.4835933298311,NA,0.011299993465297,149,NA,NA,0,FALSE,TRUE,0.809999999999945,0.000357805501600302,NA,0.999998472683856,0.000137869698160432,NA,"CORP","ALL",180,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:42:51,0.011299993465297,-3.02591943612645,0.000520964464404722,0.00019376052849941,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.39077357386661,NA,0.0113971002373561,155,NA,NA,0,TRUE,TRUE,0.809999999999945,0.000145665692256033,NA,0.999998952944543,8.26353122321629e-05,NA,"HY","ALL",180,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:42:55,0.0113971002373561,NA,NA,NA,-1.859090924917,0.00074893461800265,0.000301374313863008,NA,NA,NA
"Nelder-Mead3",1.35985475112188,NA,0.0132287908719325,129,NA,NA,0,FALSE,TRUE,0.660000000000082,0.000111683711859667,NA,0.999999974896511,7.66639588323877e-05,NA,"LIQ","ALL",180,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:42:59,0.0132287908719325,NA,NA,NA,NA,NA,NA,-0.651418463933059,0.000287471838388087,0.000122752027188354
"Nelder-Mead4",1.71894557810347,-0.657498588099422,0.0103330111341823,109,NA,NA,0,FALSE,TRUE,0.549999999999955,0.000339091326255866,0.000707717708343361,0.999999750126586,0.000163996735524205,0.000263108604535215,"TERM","BO",180,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:43:01,0.0103330111341823,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.70226307753363,NA,0.010565696951901,137,NA,NA,0,FALSE,TRUE,0.539999999999964,0.000131300318076145,NA,0.999999655928371,8.90855310487616e-05,NA,"CORP","BO",180,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:43:05,0.010565696951901,-3.39240583251142,0.000218467108557031,8.96077488580127e-05,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.5588233594385,NA,0.0106207959013499,195,NA,NA,0,FALSE,TRUE,1.01999999999998,0.000117050475807629,NA,0.999999951302359,8.71640905382208e-05,NA,"HY","BO",180,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:43:10,0.0106207959013499,NA,NA,NA,-1.6297634881666,0.000154626139118698,7.37422743073444e-05,NA,NA,NA
"Nelder-Mead31",1.50274888956585,NA,0.0120707046709901,129,NA,NA,0,FALSE,TRUE,0.639999999999873,0.000101855255777405,NA,0.999999981761398,7.15709457957472e-05,NA,"LIQ","BO",180,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:43:12,0.0120707046709901,NA,NA,NA,NA,NA,NA,-0.45666065012115,0.000317256325668334,0.000135672543966001
"Nelder-Mead5",0.269983064496489,1.67997072223794,0.00170992478082441,159,NA,NA,0,TRUE,TRUE,0.590000000000146,0.000184310774375616,6.92866062778423e-05,0.999999969492262,7.75524096520608e-05,9.48116637624598e-05,"TERM","DD",180,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:43:14,0.00170992478082441,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.351890081496819,NA,0.00118608651773505,173,NA,NA,0,TRUE,TRUE,0.8599999999999,9.63138060839216e-05,NA,0.999999995138818,4.01759855554748e-05,NA,"CORP","DD",180,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:43:17,0.00118608651773505,5.98705906983471,1.27392129471445e-05,4.41536019247178e-05,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",0.585168850238186,NA,0.00157226526223892,139,NA,NA,0,TRUE,TRUE,0.460000000000036,0.000115759218292754,NA,0.999999928028222,7.79635261138631e-05,NA,"HY","DD",180,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:43:19,0.00157226526223892,NA,NA,NA,3.33455152172058,0.000127699983311929,6.90210306357233e-05,NA,NA,NA
"Nelder-Mead32",0.630438506979326,NA,0.00118806314843652,137,NA,NA,0,TRUE,TRUE,0.549999999999955,0.000135489894617186,NA,0.999999989788025,0.000136055197624288,NA,"LIQ","DD",180,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:43:21,0.00118806314843652,NA,NA,NA,NA,NA,NA,1.72949883176361,9.97149006477227e-05,7.49086001325114e-05
"Nelder-Mead6",1.37294438069131,-0.710788549598467,0.000151227688278865,145,NA,NA,0,TRUE,TRUE,0.300000000000182,0.000122896636890773,0.000189640933864643,0.999999983708311,7.52576514926643e-05,9.03250142178331e-05,"TERM","FOF",180,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:43:23,0.000151227688278865,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",1.29503790847783,NA,0.000146614350228015,137,NA,NA,0,TRUE,TRUE,0.350000000000136,0.000145040836084755,NA,0.999998092298354,0.000100825110293135,NA,"CORP","FOF",180,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-06-28 13:43:25,0.000146614350228015,-4.23883020322193,0.000450789668134976,0.0002130018456918,NA,NA,NA,NA,NA,NA
