"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",1.633984375,20779.1802396051,28,NA,NA,0,TRUE,TRUE,0.385,0.457772439333747,0.771647497582632,0.338362664756417,"MKT","PE",180,0,12,"2009","EW_VYP","L2_Lasso","linear",2020-07-04 12:23:59,160598.846457108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.57048713972418,12868.3723857544,59,NA,NA,0,TRUE,TRUE,0.705,8.4416943577785,0,8.11961430931394,"ME","PE",180,0,12,"2009","EW_VYP","L2_Lasso","linear",2020-07-04 12:24:04,97781.1176805478,0.856466675236698,37.4809734656825,40.1224889279812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.382879223899,17898.0000914161,47,NA,NA,0,TRUE,TRUE,0.501,19.9786448243785,0,13.0956323651474,"IA","PE",180,0,12,"2009","EW_VYP","L2_Lasso","linear",2020-07-04 12:24:07,48976.3045775795,NA,NA,NA,0.63514101519213,42.3545827523792,27.1077221239837,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.31202116105626,18049.4282560889,55,NA,NA,0,TRUE,TRUE,0.584000000000001,0.515341486528438,0.91472278425468,0.420914979817332,"ROE","PE",180,0,12,"2009","EW_VYP","L2_Lasso","linear",2020-07-04 12:24:08,107409.471612055,NA,NA,NA,NA,NA,NA,0.48662395719,0.892496839777407,0.339041982810878,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.26190113976336,17993.8950868676,63,NA,NA,0,TRUE,TRUE,0.643999999999999,0.653607114927909,0.927248611846391,0.569023378906246,"EG","PE",180,0,12,"2009","EW_VYP","L2_Lasso","linear",2020-07-04 12:24:10,83788.1079368141,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33866324020928,1.29019216498153,0.606036062703161,NA,NA,NA
"Nelder-Mead5",0.718275916371155,13633.7959159546,87,NA,NA,0,FALSE,TRUE,1.093,2.28184668166229,0.813285579238827,1.33335936460577,"Alpha","PE",180,0,12,"2009","EW_VYP","L2_Lasso","linear",2020-07-04 12:24:15,17565.0708946338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00403270121599606,0.0234298668600852,0.0121406716334047
"Nelder-Mead6",0.90234375,9078.02475552233,20,NA,NA,0,TRUE,TRUE,0.234,2.41234089649259,0.813758465820691,1.39528953808431,"MKT","VC",180,0,12,"2009","EW_VYP","L2_Lasso","linear",2020-07-04 12:24:00,15109.9418552831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.23534484444044,6643.88380566561,53,NA,NA,0,TRUE,TRUE,0.573,6.07460702799628,0.00061544981602446,4.16403263342793,"ME","VC",180,0,12,"2009","EW_VYP","L2_Lasso","linear",2020-07-04 12:24:07,7693.15077674138,-1.25101642105656,3.72397447274766,2.14279802118056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.03763661597077,7188.18439082043,59,NA,NA,0,TRUE,TRUE,0.611,2.23249014528262,9.08716955594358e-05,1.44493573573235,"IA","VC",180,0,12,"2009","EW_VYP","L2_Lasso","linear",2020-07-04 12:24:10,8485.92536636771,NA,NA,NA,-1.53498727055703,2.85053325880756,1.63921963154881,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",1.93234661455379,6786.80658161334,67,NA,NA,0,TRUE,TRUE,0.77,1.24970661733877,0.0223743398300186,0.925992885675602,"ROE","VC",180,0,12,"2009","EW_VYP","L2_Lasso","linear",2020-07-04 12:24:13,10994.1676235,NA,NA,NA,NA,NA,NA,-1.20515150862325,1.96849570795414,1.30543228614438,NA,NA,NA,NA,NA,NA
