Date,MKT_AP,HML_AP,SMB_AP,ESG_AP,HDY_AP,LOV_AP,MOM_AP,QLT_AP,MKT_EU,HML_EU,SMB_EU,ESG_EU,HDY_EU,LOV_EU,MOM_EU,QLT_EU,MKT_NA,HML_NA,SMB_NA,ESG_NA,HDY_NA,LOV_NA,MOM_NA,QLT_NA,MKT_World,HML_World,SMB_World,ESG_World,HDY_World,LOV_World,MOM_World,QLT_World,RF_World,RF_AP,RF_EU,RF_NA
1971-01-31,0.02556315587943314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022350868544376512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023449970496315364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046910229858085906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021347073978652764,0.021347073978652764,0.021347073978652764,0.021347073978652764
1971-02-28,0.012512158408957141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005150590414527256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011398958753483956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011431077327876071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00108108108108107,-0.00108108108108107,-0.00108108108108107,-0.00108108108108107
1971-03-31,0.04080570833952746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029971803510875583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03666639317080844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04477396230778141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253954,0.003968253968253954,0.003968253968253954,0.003968253968253954
1971-04-30,0.028473399874055172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037386603477170155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02980905728207195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033503942454004676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005030542579949504,0.005030542579949504,0.005030542579949504,0.005030542579949504
1971-05-31,-0.024702288560208063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026860264048996108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038770962936479636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022914658957061795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001787629603146268,0.001787629603146268,0.001787629603146268,0.001787629603146268
1971-06-30,0.020256255316652427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018584591807752848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015622001858132228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010977168949771743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009279086366880684,-0.009279086366880684,-0.009279086366880684,-0.009279086366880684
1971-07-31,-0.0231280494087589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03829578708046366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039697719193450554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015202977362649195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007925072046109705,0.007925072046109705,0.007925072046109705,0.007925072046109705
1971-08-31,0.009423697193309266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01340357603054032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027548915299814736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022647428429906746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01322373123659748,0.01322373123659748,0.01322373123659748,0.01322373123659748
1971-09-30,-0.020014874624638246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03012061492159568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02307165933326072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008727396670493714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011287477954144531,0.011287477954144531,0.011287477954144531,0.011287477954144531
1971-10-31,-0.048097655361544756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043445874065695333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04739325176513354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03693616251187615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011161492849668608,0.011161492849668608,0.011161492849668608,0.011161492849668608
