"X","Type","max.month","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep","t.MKT","t.Coef","sig","t.MKT.indep","t.Coef.indep","sig.indep","source","weighting","method","validation.error"
4926,"VC",0,0.47672414995475,17.9118375175244,6.56197404376771,"Alpha",0.02,0.1092657761641,0.0399314793797422,0.0266150331862009,0.183039929812635,FALSE,0.0726495025391822,0.500857977481953,FALSE,"EW Asymptotic","EW","Asymptotic",NA
4925,"VC",0,0.452266750772449,2.18928486464418,0.89459386977089,"EG",2.17027057176467,1.45281366935152,0.585067305085634,0.206581956544954,1.4938395869674,FALSE,0.505555387818918,3.70943744916154,FALSE,"EW Asymptotic","EW","Asymptotic",NA
4923,"VC",0,1.6988700499348,0.541856298643652,0.238140350270104,"IA",4.40350568251353,0.841489554440853,0.393069920862802,3.13527784799647,5.23298911944253,TRUE,7.13390254111873,11.2028559011783,TRUE,"EW Asymptotic","EW","Asymptotic",NA
4922,"VC",0,1.88600727063604,1.38284434833975,0.669946889853022,"ME",0.382156816055067,2.93545917797396,1.59115690931394,1.36386085165723,0.130186384100504,FALSE,2.81515937934992,0.240175443300461,FALSE,"EW Asymptotic","EW","Asymptotic",NA
4921,"VC",0,1.8873046875,1.79055227629969,1.05119656892608,"MKT",1.8873046875,1.79055227629969,1.05119656892608,1.05403495473489,1.05403495473489,FALSE,1.7953870315883,1.7953870315883,FALSE,"EW Asymptotic","EW","Asymptotic",NA
4924,"VC",0,1.02070150800591,1.02773361774086,0.466075424703783,"ROE",2.23688448350058,0.728431813441188,0.34026726021118,0.99315765329307,3.07082206216846,FALSE,2.18999212124223,6.57390453055138,TRUE,"EW Asymptotic","EW","Asymptotic",NA
4974,"VC",1,0.460620607399623,20.2448807372189,7.41716493417006,"Alpha",0.02,0.123888239644878,0.0452900545416733,0.022752448551243,0.161435823588497,FALSE,0.0621019771688768,0.441598055078453,FALSE,"EW Asymptotic","EW","Asymptotic",NA
4973,"VC",1,0.479455215945975,2.15003360564061,0.868389438957703,"EG",2.07217952567567,1.41164944207934,0.561106114833756,0.22299894042964,1.46791367878372,FALSE,0.552120044805529,3.69302609772772,FALSE,"EW Asymptotic","EW","Asymptotic",NA
4971,"VC",1,1.62983285734246,0.796373236040573,0.356379808984603,"IA",3.73194242311122,1.20207082241426,0.57530590563971,2.04656910049577,3.10459446608638,TRUE,4.5733030218131,6.48688356320886,TRUE,"EW Asymptotic","EW","Asymptotic",NA
4970,"VC",1,1.85761849713672,1.48388674867368,0.707549898679829,"ME",0.46181658345522,2.95017506453966,1.58474614748613,1.25186002152596,0.156538704772519,FALSE,2.62542401688238,0.291413602227584,FALSE,"EW Asymptotic","EW","Asymptotic",NA
4969,"VC",1,1.856640625,1.78024637067521,1.04393445449241,"MKT",1.856640625,1.78024637067521,1.04393445449241,1.04291218091113,1.04291218091113,FALSE,1.77850306310922,1.77850306310922,FALSE,"EW Asymptotic","EW","Asymptotic",NA
4972,"VC",1,1.02557365734893,1.0284467999552,0.466326695739921,"ROE",2.14856332084654,0.725725885531068,0.34250633249591,0.997206328410575,2.96057142742576,FALSE,2.19926001817599,6.27306159623252,TRUE,"EW Asymptotic","EW","Asymptotic",NA
5022,"VC",30,1.44174229092022,1.72912862004151,1.09768797757614,"Alpha",0.0074097543071842,0.00870638664111237,0.00571792735159125,0.833797020192523,0.851071128887689,FALSE,1.31343543918902,1.29588115615392,FALSE,"EW Asymptotic","EW","Asymptotic",NA
5021,"VC",30,0.930702319840511,1.20879222124746,0.612189144996115,"EG",1.27365236546731,0.77463407445108,0.393449214953774,0.769944001525785,1.64419873521552,FALSE,1.52028556443355,3.23714552491088,FALSE,"EW Asymptotic","EW","Asymptotic",NA
