"X","Type","max.month","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep","t.MKT","t.Coef","sig","t.MKT.indep","t.Coef.indep","sig.indep","source","weighting","method","validation.error"
4956,"BO",0,1.00472422822813,1.06642700571112,0.701317088484198,"Alpha",0.00432492894252822,0.0058496084916171,0.00470546432214862,0.942140646145917,0.739353573615422,FALSE,1.4326247637851,0.919129047939176,FALSE,"EW Asymptotic","EW","Asymptotic",NA
4955,"BO",0,1.00970646701462,0.839800811487443,0.55045976248145,"EG",0.512762023080723,0.516359248821796,0.380565108909108,1.20231661270515,0.993033482504127,FALSE,1.83429659320221,1.34737003229371,FALSE,"EW Asymptotic","EW","Asymptotic",NA
4953,"BO",0,1.13093076512199,0.46054060339536,0.412039768127235,"IA",1.00787970471939,0.855649213146793,0.869740095335609,2.45565919005652,1.17791226735632,FALSE,2.74471265300966,1.15882860882765,FALSE,"EW Asymptotic","EW","Asymptotic",NA
4952,"BO",0,1.22984983441748,2.80747898894368,1.72688416622075,"ME",1.364778574499,5.38850292258728,4.23333761559656,0.438061990583307,0.253276020094224,FALSE,0.712178534307244,0.322388313530877,FALSE,"EW Asymptotic","EW","Asymptotic",NA
4951,"BO",0,1.2642578125,1.1538467074315,0.832812574511623,"MKT",1.2642578125,1.1538467074315,0.832812574511623,1.09568957848333,1.09568957848333,FALSE,1.5180580255304,1.5180580255304,FALSE,"EW Asymptotic","EW","Asymptotic",NA
4954,"BO",0,1.096099238221,1.36693248253636,0.897815782606254,"ROE",0.640073949128055,1.19240922892885,0.837283521419183,0.801867870011527,0.536790502454462,FALSE,1.22085093563309,0.764465002300701,FALSE,"EW Asymptotic","EW","Asymptotic",NA
5004,"BO",1,1.00485896956288,1.06917289530581,0.703520679973295,"Alpha",0.00429465290782939,0.00586527338311586,0.00472299315747286,0.939847029395059,0.732217004614353,FALSE,1.42832897193729,0.90930745919762,FALSE,"EW Asymptotic","EW","Asymptotic",NA
5003,"BO",1,1.02166835037502,0.83027552703932,0.543295447400057,"EG",0.519041076113251,0.508689876254162,0.374711403157713,1.23051724048544,1.02034874359072,FALSE,1.88050232201322,1.38517555574574,FALSE,"EW Asymptotic","EW","Asymptotic",NA
5001,"BO",1,1.15308505706198,0.479089045164387,0.424366074928517,"IA",0.938417847026722,0.876707201069606,0.89255154181704,2.40682826856608,1.0703891172353,FALSE,2.71719424616167,1.05138785051708,FALSE,"EW Asymptotic","EW","Asymptotic",NA
5000,"BO",1,1.22852917024553,2.86917217967163,1.80007382200931,"ME",1.3006188762285,5.66516667435734,4.44831904733783,0.428182448913238,0.229581749485957,FALSE,0.68248821533008,0.292384350669918,FALSE,"EW Asymptotic","EW","Asymptotic",NA
