"X","Type","max.month","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep","t.MKT","t.Coef","sig","t.MKT.indep","t.Coef.indep","sig.indep","vintage","weighting","nc_tag","nc_label"
42,"BO",0,0.213113696118448,8.13631007814006,3.82992051977622,"Alpha",0.00877208853543184,0.0486440117716247,0.0220753799546186,0.0261929171911753,0.180332341349955,FALSE,0.0556444174279888,0.39736976457325,FALSE,2011,"EW","","100% NAV as Cashflow"
41,"BO",0,0.956464353012598,0.58079460344192,0.503177379725876,"EG",0.630219814884004,0.454207104157403,0.367213373266875,1.64682031710414,1.38751641952655,FALSE,1.90084926618455,1.71622239483633,FALSE,2011,"EW","","100% NAV as Cashflow"
39,"BO",0,1.14860122985447,0.458111206576947,0.452361078866041,"IA",1.11435765362658,0.847544418977684,0.963718622442101,2.50725416310361,1.31480737607915,FALSE,2.53912479104907,1.15631017983522,FALSE,2011,"EW","","100% NAV as Cashflow"
38,"BO",0,1.25164497644683,22.351434318812,12.3628530705775,"ME",1.52198061493919,58.7111768289878,32.6797758798374,0.055998418651522,0.0259231835766531,FALSE,0.101242404912636,0.0465725536348679,FALSE,2011,"EW","","100% NAV as Cashflow"
37,"BO",0,1.2271484375,0.779026050489995,0.733093305337547,"MKT",1.2271484375,0.779026050489995,0.733093305337547,1.57523414875298,1.57523414875298,FALSE,1.67393212919189,1.67393212919189,FALSE,2011,"EW","","100% NAV as Cashflow"
40,"BO",0,1.03892617037345,0.991096948998876,0.821933188473868,"ROE",0.812800032444648,0.914900487650473,0.791831158118143,1.0482588725784,0.888402666099757,FALSE,1.26400318778037,1.02648149685893,FALSE,2011,"EW","","100% NAV as Cashflow"
90,"BO",1,0.23284091081226,7.59247710450618,3.65463458567794,"Alpha",0.00859919573925329,0.0454096254242381,0.0210405284086694,0.0306673181370633,0.189369448853972,FALSE,0.0637111331799723,0.408696757620884,FALSE,2011,"EW","","100% NAV as Cashflow"
89,"BO",1,0.96237225681116,0.585522101867643,0.501528108742253,"EG",0.640953161409834,0.445217380914732,0.358628323642222,1.64361388535373,1.4396409234809,FALSE,1.91887999901865,1.78723519352941,FALSE,2011,"EW","","100% NAV as Cashflow"
87,"BO",1,1.1609643812754,0.62250122807881,0.527875415898263,"IA",1.06599613578142,1.24916086444914,1.07708051566222,1.86499934282607,0.853369782963467,FALSE,2.19931511548011,0.989708866032188,FALSE,2011,"EW","","100% NAV as Cashflow"
86,"BO",1,1.24576189965119,28.7762645115767,16.2359254376512,"ME",1.45512173014031,76.3995714169083,43.4077073179918,0.0432912999930905,0.0190462027882302,FALSE,0.076728727563768,0.0335221973250171,FALSE,2011,"EW","","100% NAV as Cashflow"
