"","MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.07903258417839,-0.408628579010201,0.00238713415267027,53,NA,NA,0,TRUE,TRUE,0.139999999999873,25.178411223285,24.1930496579127,0,11.7391448667582,9.77549843735635,"HML","ALL",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:21,0.00238713415267027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.28680617381847,NA,0.00211552678793124,53,NA,NA,0,TRUE,TRUE,0.240000000000009,11.5072464292432,NA,0,10.243117251542,NA,"SMB","ALL",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:24,0.00211552678793124,-0.424855108544398,80.9314713064949,37.3873228681916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.12803945068736,NA,0.00222069021307469,59,NA,NA,0,TRUE,TRUE,0.240000000000009,60.1283407437663,NA,0,33.4062440382913,NA,"HDY","ALL",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:26,0.00222069021307469,NA,NA,NA,-0.728253095329274,144.476807611789,120.438286855342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.44354945398078,NA,0.0024113025082826,65,NA,NA,0,TRUE,TRUE,0.410000000000082,17.3326781638726,NA,0,6.98654150858787,NA,"QLT","ALL",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:28,0.0024113025082826,NA,NA,NA,NA,NA,NA,-0.410331382950534,38.8057938320497,16.2236374768016,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.60277591552886,NA,0.00241984723498238,69,NA,NA,0,TRUE,TRUE,0.289999999999964,9.94193738524681,NA,0,3.58576435799461,NA,"MOM","ALL",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:31,0.00241984723498238,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.852665288546179,25.5807818596197,9.39323904376076,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.25255213774483,NA,0.00228008817040599,87,NA,NA,0,TRUE,TRUE,0.369999999999891,3.38457418124997,NA,0,2.18456391847646,NA,"ESG","ALL",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:33,0.00228008817040599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.98081472680081,475.718889222499,317.659158014336,NA,NA,NA
"Nelder-Mead6",1.26905395484084,NA,0.00210863500725836,57,NA,NA,0,TRUE,TRUE,0.169999999999845,1.16549815131053,NA,2.92720625516552e-10,1.15069314123921,NA,"LOV","ALL",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:36,0.00210863500725836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.50196433397623,12.9728006530553,7.79706002867494
"Nelder-Mead7",1.31176502166527,-0.387877720619144,0.00197832893251274,55,NA,NA,0,TRUE,TRUE,0.150000000000091,41.162466398797,115.380212675125,0,22.466407928422,59.6283511080024,"HML","BO",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:39,0.00197832893251274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.51113562849259,NA,0.00192834242348555,59,NA,NA,0,TRUE,TRUE,0.380000000000109,1.18924464311267,NA,2.64613886358234e-11,0.905310280316194,NA,"SMB","BO",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:40,0.00192834242348555,-0.374108871187218,17.9325134180265,8.75495156597958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.37478283356759,NA,0.00196750235067314,65,NA,NA,0,TRUE,TRUE,0.400000000000091,6.10055240739625,NA,0,2.56775946815437,NA,"HDY","BO",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:43,0.00196750235067314,NA,NA,NA,-0.639671837887726,24.6961242209637,11.387511358807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",1.64088141431766,NA,0.00201458248812024,63,NA,NA,0,TRUE,TRUE,0.3599999999999,15.1982942993209,NA,0,6.70114790050798,NA,"QLT","BO",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:45,0.00201458248812024,NA,NA,NA,NA,NA,NA,-0.296455082255852,32.6086461882259,13.5736760454159,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead41",1.77360579658404,NA,0.00196999114729842,77,NA,NA,0,TRUE,TRUE,0.460000000000036,14.4492715345983,NA,0,5.48080696336875,NA,"MOM","BO",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:46,0.00196999114729842,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.626748468575518,33.3691521981823,13.0008269444944,NA,NA,NA,NA,NA,NA
"Nelder-Mead51",1.50374607377097,NA,0.00164826025888275,109,NA,NA,0,TRUE,TRUE,0.630000000000109,287243.90408502,NA,0,228195.082564294,NA,"ESG","BO",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:48,0.00164826025888275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.89362195478176,82800.362926398,65764.0783013082,NA,NA,NA
"Nelder-Mead61",1.51619936209172,NA,0.00183452832351123,51,NA,NA,0,TRUE,TRUE,0.230000000000018,1.85975977361347,NA,0.00384811122191564,0.953665160243309,NA,"LOV","BO",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:50,0.00183452832351123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.491401364188641,6.10957639303397,4.26368852552973
"Nelder-Mead8",1.41081220397482,1.02141878303242,0.000538499200209308,61,NA,NA,0,TRUE,TRUE,0.339999999999918,2.64722468514535,31.8403633600577,0,3.65268041044837,15.0115753745391,"HML","DD",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:51,0.000538499200209308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.69977812906013,NA,0.000356845913693496,57,NA,NA,0,TRUE,TRUE,0.259999999999991,10.8255930043047,NA,0,7.87392414269521,NA,"SMB","DD",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:53,0.000356845913693496,1.17678599533679,14.7156182673598,12.6365128569778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",1.27520226263489,NA,0.000353052602462435,65,NA,NA,0,TRUE,TRUE,0.410000000000082,10.3210525590862,NA,0,6.59309480009869,NA,"HDY","DD",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:54,0.000353052602462435,NA,NA,NA,2.48922133626054,22.3033446745036,12.0193021333424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead32",1.03932872450823,NA,0.000603116255036428,43,NA,NA,0,TRUE,TRUE,0.180000000000064,13.0870697865289,NA,0.0446487502414838,8.70227085191619,NA,"QLT","DD",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:55,0.000603116255036428,NA,NA,NA,NA,NA,NA,0.140420694609929,21.3228274940732,11.0452258282552,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead42",1.36830447184912,NA,0.000533411716776815,59,NA,NA,0,TRUE,TRUE,0.330000000000155,16.0807343227005,NA,0,11.4553578186553,NA,"MOM","DD",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:12:58,0.000533411716776815,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.04174684268655,21.1161228355408,13.2130594367772,NA,NA,NA,NA,NA,NA
"Nelder-Mead52",1.13160092089334,NA,0.000571670122220269,127,NA,NA,0,TRUE,TRUE,0.849999999999909,4.59880093955573,NA,0,3.86878492999493,NA,"ESG","DD",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:00,0.000571670122220269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1230771375417,43.8802998370846,19.3578752014278,NA,NA,NA
"Nelder-Mead62",1.06061141929131,NA,0.000583216808239415,53,NA,NA,0,TRUE,TRUE,0.299999999999955,11.9529910766765,NA,0.00327473786496701,9.35719204357038,NA,"LOV","DD",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:01,0.000583216808239415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.694055150617533,5.76331066357356,4.72397697383838
"Nelder-Mead9",0.92831928686428,-0.233560761272383,6.99211176875746e-05,53,NA,NA,0,TRUE,TRUE,0.119999999999891,4.45328239241434,8.21577475945792,0.243392239384419,3.84423991227824,6.94516415079275,"HML","FOF",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:03,6.99211176875746e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",1.13594997457731,NA,6.01817636830022e-05,73,NA,NA,0,TRUE,TRUE,0.299999999999955,34.3440791385185,NA,0,25.0282325727016,NA,"SMB","FOF",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:04,6.01817636830022e-05,-1.03006043230553,151.260794975106,143.811526194874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead23",0.750264591893479,NA,6.68238490529581e-05,65,NA,NA,0,TRUE,TRUE,0.1099999999999,13.9258686397745,NA,0,13.0073423682313,NA,"HDY","FOF",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:06,6.68238490529581e-05,NA,NA,NA,-1.64244976294681,32.4438086650649,19.5132097492063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead33",1.6775953701775,NA,5.97316966109491e-05,67,NA,NA,0,TRUE,TRUE,0.25,108.520925214551,NA,0,49.2287647643234,NA,"QLT","FOF",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:07,5.97316966109491e-05,NA,NA,NA,NA,NA,NA,-1.38906529633762,207.730225027316,95.4579735013334,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead43",0.379232238299687,NA,5.00276395185352e-05,87,NA,NA,0,TRUE,TRUE,0.310000000000173,22.5541796380573,NA,0,10.3024678538966,NA,"MOM","FOF",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:08,5.00276395185352e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84583418645973,16.9741171644453,13.1659595554401,NA,NA,NA,NA,NA,NA
"Nelder-Mead53",1.06804881546556,NA,6.91228162236097e-05,181,NA,NA,0,TRUE,TRUE,0.550000000000182,23.6469230468727,NA,0,33.6422882024918,NA,"ESG","FOF",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:11,6.91228162236097e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.55208496665659,67.2981862379801,100.508968164275,NA,NA,NA
"Nelder-Mead63",1.06797871713643,NA,6.65173000379371e-05,57,NA,NA,0,TRUE,TRUE,0.160000000000082,20.6455865084826,NA,0,26.2735730613413,NA,"LOV","FOF",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:13,6.65173000379371e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.796831378052593,14.6802965291544,20.8861423853592
"Nelder-Mead10",1.15846742184738,0.550525064284512,0.000414363537944544,59,NA,NA,0,TRUE,TRUE,0.1400000000001,17.9118899042582,35.4679419899282,0,8.36856742883933,17.2217457257757,"HML","INF",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:14,0.000414363537944544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead14",0.854944405595472,NA,0.000410150547558846,53,NA,NA,0,TRUE,TRUE,0.200000000000045,2.57906000862576,NA,0.0337640030053431,4.38136184714442,NA,"SMB","INF",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:15,0.000410150547558846,0.439951375287228,6.01786267465985,5.02528507081042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead24",1.07416881677234,NA,0.000399461090458525,61,NA,NA,0,TRUE,TRUE,0.210000000000036,10.8064847025612,NA,0,6.13614406813779,NA,"HDY","INF",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:16,0.000399461090458525,NA,NA,NA,0.943517378962463,41.6007961602249,20.4569578316546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead34",-0.167308170560376,NA,0.000340166993668692,105,NA,NA,0,TRUE,TRUE,0.209999999999809,2.45148451179141,NA,0,1.45435928410925,NA,"QLT","INF",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:17,0.000340166993668692,NA,NA,NA,NA,NA,NA,4.35502003462183,23.1509929071271,11.7651790852408,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead44",0.557797415103999,NA,0.00039128103643776,71,NA,NA,0,TRUE,TRUE,0.230000000000018,8.52803825383092,NA,0,7.39817078753464,NA,"MOM","INF",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:18,0.00039128103643776,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52446705351191,9.20352465453032,6.03429608928985,NA,NA,NA,NA,NA,NA
"Nelder-Mead54",0.981950781268864,NA,0.000400803209614626,89,NA,NA,0,TRUE,TRUE,0.279999999999973,16.1453030741339,NA,0,11.1739858085739,NA,"ESG","INF",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:20,0.000400803209614626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.02519661218889,1786.79925035914,1123.05964486252,NA,NA,NA
"Nelder-Mead64",0.908459896637253,NA,0.000373650406885574,61,NA,NA,0,TRUE,TRUE,0.180000000000064,69.7371315300319,NA,0,68.7149447507809,NA,"LOV","INF",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:21,0.000373650406885574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.651163251453992,161.059614271863,152.13756899278
"Nelder-Mead15",0.726156446900358,-0.0494513300782386,0.000135197068957474,59,NA,NA,0,TRUE,TRUE,0.230000000000018,8.69568627606231,20.6010024123742,0.369753432189987,5.45399979882801,11.6791710507816,"HML","MEZZ",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:24,0.000135197068957474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead16",0.720252993502795,NA,8.39148037789316e-05,65,NA,NA,0,TRUE,TRUE,0.340000000000146,1.51040187879725,NA,0,1.6000732363478,NA,"SMB","MEZZ",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:25,8.39148037789316e-05,0.857485440777144,12.0871688951881,7.92750231390289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead25",0.915694627152515,NA,0.000125927465101737,63,NA,NA,0,TRUE,TRUE,0.349999999999909,3.67940440077481,NA,0,2.17124971568714,NA,"HDY","MEZZ",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:27,0.000125927465101737,NA,NA,NA,0.743366249681185,13.9211613399456,7.76152939010626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead35",0.534641212678047,NA,0.000107561799161564,57,NA,NA,0,TRUE,TRUE,0.329999999999927,1.69726150246565,NA,0.000549039443314414,1.01108849817052,NA,"QLT","MEZZ",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:28,0.000107561799161564,NA,NA,NA,NA,NA,NA,0.815804682339609,5.50975796485908,3.94546212056127,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead45",0.822556750805551,NA,0.000132197130539357,69,NA,NA,0,TRUE,TRUE,0.449999999999818,2.6808568721926,NA,0.407935225672158,3.93871707288665,NA,"MOM","MEZZ",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:31,0.000132197130539357,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.423137948992337,3.41672602261199,2.54472873393495,NA,NA,NA,NA,NA,NA
"Nelder-Mead55",0.684413111793124,NA,0.000130571992873874,81,NA,NA,0,TRUE,TRUE,0.480000000000018,2.93552852024557,NA,0,4.47028194577745,NA,"ESG","MEZZ",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:33,0.000130571992873874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72805325490512,176.300610183867,187.278309639317,NA,NA,NA
"Nelder-Mead65",0.909269088070026,NA,0.000110789406909871,75,NA,NA,0,TRUE,TRUE,0.470000000000027,121.544137461282,NA,0,69.0471732849765,NA,"LOV","MEZZ",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:35,0.000110789406909871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977232088158917,317.430756435496,180.138297955509
"Nelder-Mead17",-0.0482991491127915,-0.692314996224559,0.000461876249792184,71,NA,NA,0,TRUE,TRUE,0.339999999999918,6.06673934963456,11.5687858484107,0,3.71055595387227,8.77360079390016,"HML","NATRES",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:37,0.000461876249792184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead18",0.228929430957888,NA,0.000468898406792948,71,NA,NA,0,TRUE,TRUE,0.309999999999945,1.44855475719011,NA,0.302928391865206,1.81411058863089,NA,"SMB","NATRES",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:39,0.000468898406792948,-0.476877661871693,4.96179010728245,3.91016919474205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead26",0.0723877490196672,NA,0.000470643716886317,91,NA,NA,0,TRUE,TRUE,0.430000000000064,5.41832649688463,NA,0,3.46353444147416,NA,"HDY","NATRES",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:42,0.000470643716886317,NA,NA,NA,-0.715205913946145,11.6686764550765,11.6219459788838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead36",0.574370474773949,NA,0.000462500065823847,131,NA,NA,0,TRUE,TRUE,0.549999999999955,7.99637648534389,NA,0,3.92940991197484,NA,"QLT","NATRES",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:45,0.000462500065823847,NA,NA,NA,NA,NA,NA,-1.2325996124572,25.1446078060365,12.2977405922405,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead46",0.819594052484661,NA,0.000453994126246681,149,NA,NA,0,TRUE,TRUE,0.730000000000018,10.6621520703917,NA,0,4.42063618443419,NA,"MOM","NATRES",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 14:13:49,0.000453994126246681,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.30681616493537,28.1986179217299,11.9234701509281,NA,NA,NA,NA,NA,NA
