"","MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.08228346468176,-0.455999353787749,0.008150403324461,131,NA,NA,0,FALSE,TRUE,0.75,9.39928004953646e-05,0.000177357482600975,0.999999996112888,5.64769147936178e-05,8.07263696874193e-05,"HML","ALL",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-05-10 14:30:03,0.008150403324461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.30067591461702,NA,0.00796720462774782,141,NA,NA,0,FALSE,TRUE,0.839999999999918,7.69565598375025e-05,NA,0.999999995269899,6.57109037110316e-05,NA,"SMB","ALL",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-05-10 14:30:07,0.00796720462774782,-0.455594873914191,0.000170537573015032,8.09071441044962e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.15847930139619,NA,0.00820248432941911,187,NA,NA,0,FALSE,TRUE,1.23000000000002,9.95223025894365e-05,NA,0.999999926478387,6.1711374605367e-05,NA,"HDY","ALL",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-05-10 14:30:11,0.00820248432941911,NA,NA,NA,-0.675813332156559,0.000545188851246779,0.000235737131235503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.46116807927828,NA,0.00907043125007672,121,NA,NA,0,FALSE,TRUE,0.629999999999882,0.000355799211105087,NA,0.999999956300739,0.000136034954216322,NA,"QLT","ALL",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-05-10 14:30:15,0.00907043125007672,NA,NA,NA,NA,NA,NA,-0.476455728872072,0.000276278164127221,0.000103070341947068,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.70304052750285,NA,0.00867322192871374,129,NA,NA,0,FALSE,TRUE,0.700000000000045,0.000446228380419288,NA,0.999999786214911,0.000167071786577788,NA,"MOM","ALL",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-05-10 14:30:19,0.00867322192871374,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.02869200376128,0.000330981531231511,0.000119343502847812,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.2560847427151,NA,0.00797841284525412,173,NA,NA,0,TRUE,TRUE,1.09000000000015,9.22007954808775e-05,NA,0.999998951223252,6.66900391863896e-05,NA,"ESG","ALL",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-05-10 14:30:21,0.00797841284525412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.45166838815749,0.000222555509463303,0.000151458090052139,NA,NA,NA
"Nelder-Mead6",1.25907242701269,NA,0.0078514650180468,101,NA,NA,0,FALSE,TRUE,0.680000000000064,0.000177786299098831,NA,0.999999991387336,0.000137040983703945,NA,"LOV","ALL",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-05-10 14:30:25,0.0078514650180468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.492507128849853,0.000187492326825737,9.92461035274052e-05
"Nelder-Mead7",1.29187826668689,-0.440119445030862,0.00744754809872415,109,NA,NA,0,TRUE,TRUE,0.710000000000036,7.7028036760116e-05,0.000199389376214803,0.999999994097694,5.65199468744168e-05,8.65846605581659e-05,"HML","BO",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-05-10 14:30:29,0.00744754809872415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.50099167648828,NA,0.00765287328218852,153,NA,NA,0,FALSE,TRUE,1.02999999999997,8.36105341891436e-05,NA,0.99999999246429,6.52930596459661e-05,NA,"SMB","BO",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-05-10 14:30:31,0.00765287328218852,-0.499861417906396,0.000180307178529389,8.30801559053236e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.35587224797209,NA,0.00778802531193909,133,NA,NA,0,FALSE,TRUE,0.75,9.80383911126905e-05,NA,0.999999963895311,6.03774678743371e-05,NA,"HDY","BO",150,0,12,"ALL","FW_VYP","L1_Ridge","linear",2023-05-10 14:30:35,0.00778802531193909,NA,NA,NA,-0.732952141286911,0.000322560164906873,0.000139863601191588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
