"X","Type","max.month","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep","t.MKT","t.Coef","sig","t.MKT.indep","t.Coef.indep","sig.indep","vintage","weighting","nc_tag","nc_label"
6,"PE",0,0.581505644944362,20.6696031978034,9.34131148624622,"Alpha",0.00133523094841676,0.147309342775491,0.110163039400752,0.0281333724396877,0.00906412942491868,FALSE,0.06225096398943,0.0121204984510226,FALSE,2011,"EW","","100% NAV as Cashflow"
5,"PE",0,0.535086171756177,7.86082500968198,3.297804519982,"EG",0.56942179162158,2.38288512345137,1.17846596339157,0.0680699762553072,0.238963173682846,FALSE,0.16225527271674,0.483189001049136,FALSE,2011,"EW","","100% NAV as Cashflow"
3,"PE",0,0.754722158878987,5.57696021819645,8.32196095594445,"IA",-0.180632647731292,10.3432598056132,4.67771427343439,0.135328589294305,-0.01746380262374,FALSE,0.0906904229513216,-0.038615579569949,FALSE,2011,"EW","","100% NAV as Cashflow"
2,"PE",0,0.72937956914277,3.80579428137861,5.04914589766877,"ME",0.0144978428785237,10.0827144809537,8.388693437225,0.191649762235325,0.00143789084833357,FALSE,0.144456029579088,0.0017282599473941,FALSE,2011,"EW","","100% NAV as Cashflow"
1,"PE",0,0.731298828125,7.75727606491711,10.2181324497394,"MKT",0.731298828125,7.75727606491711,10.2181324497394,0.0942726315274967,0.0942726315274967,FALSE,0.0715687364322285,0.0715687364322285,FALSE,2011,"EW","","100% NAV as Cashflow"
4,"PE",0,0.517621421882969,13.8131520372864,5.80282474533473,"ROE",1.5696826371446,1.82687183862243,1.52601360500085,0.0374730851065515,0.859218804493825,FALSE,0.0892016293097803,1.02861641075849,FALSE,2011,"EW","","100% NAV as Cashflow"
48,"PE",1,0.58487054637658,20.563117415701,9.3266796279015,"Alpha",0.00132446739455467,0.147142084879834,0.110004601108071,0.0284426983785056,0.00900128196250799,FALSE,0.0627094067460936,0.0120401090610154,FALSE,2011,"EW","","100% NAV as Cashflow"
47,"PE",1,0.528567050783895,7.81632474610616,3.27774133281681,"EG",0.591163777632304,2.40429029855579,1.18460131949853,0.067623476244025,0.245878701913577,FALSE,0.161259537319761,0.499040282921986,FALSE,2011,"EW","","100% NAV as Cashflow"
45,"PE",1,0.75794117011256,5.44744896162962,8.11873339260285,"IA",-0.189325490521142,10.3333641279671,4.67235860122386,0.139136901593993,-0.0183217670621647,FALSE,0.0933570710430196,-0.0405203253173998,FALSE,2011,"EW","","100% NAV as Cashflow"
44,"PE",1,0.733864964007898,3.71812284589978,4.95830138065935,"ME",0.00108922080009963,10.0248303804041,8.15903230823628,0.197375125681277,0.000108652292235165,FALSE,0.148007333090009,0.000133498772765012,FALSE,2011,"EW","","100% NAV as Cashflow"
43,"PE",1,0.734033203125,7.54788739056482,9.94239353868994,"MKT",0.734033203125,7.54788739056482,9.94239353868994,0.097250152942474,0.097250152942474,FALSE,0.073828620871682,0.073828620871682,FALSE,2011,"EW","","100% NAV as Cashflow"
46,"PE",1,0.515905017276551,13.6557338504569,5.73603909282818,"ROE",1.5944073238382,1.79390301996572,1.50338454720306,0.0377793696718313,0.888792373998382,FALSE,0.0899409869646097,1.06054523894401,FALSE,2011,"EW","","100% NAV as Cashflow"
90,"PE",30,0.603454390972488,20.6194794385779,9.30880033094324,"Alpha",0.0010929444502059,0.14537961054305,0.109381630841732,0.0292662282173554,0.00751786613076843,FALSE,0.0648262256701924,0.00999202920815213,FALSE,2011,"EW","","100% NAV as Cashflow"
89,"PE",30,0.581172095354629,4.51233156628629,3.40413982971728,"EG",0.408389947256973,2.78563016295851,1.43937563278753,0.128796407537255,0.14660594672167,FALSE,0.170725094862774,0.283727150824469,FALSE,2011,"EW","","100% NAV as Cashflow"
87,"PE",30,0.754492324343272,10.0176708778283,12.6302384628068,"IA",-0.20834069313019,11.7871965158336,7.87937297635805,0.0753161421995964,-0.0176751692270786,FALSE,0.059736981733566,-0.0264412782280155,FALSE,2011,"EW","","100% NAV as Cashflow"
86,"PE",30,0.730947471831643,3.74313125608264,5.0444873290977,"ME",-0.0164910751841006,9.93888136631,8.12499491426184,0.195277007891145,-0.00165924861926622,FALSE,0.14490024935049,-0.00202967206233616,FALSE,2011,"EW","","100% NAV as Cashflow"
85,"PE",30,0.728857421875,7.9549212876916,10.4783775239243,"MKT",0.728857421875,7.9549212876916,10.4783775239243,0.0916234611903374,0.0916234611903374,FALSE,0.0695582326758955,0.0695582326758955,FALSE,2011,"EW","","100% NAV as Cashflow"
88,"PE",30,0.509314256833971,2.61933139014352,1.20660377153584,"ROE",1.66103326470258,18.7252864897503,8.43592055122222,0.194444375671787,0.0887053592270422,FALSE,0.422105639687902,0.196900060238467,FALSE,2011,"EW","","100% NAV as Cashflow"
132,"PE",60,0.59459542968818,20.1266721842552,9.275499077984,"Alpha",0.00133578491526687,0.146820258200989,0.109500846252542,0.029542659821991,0.00909809675881548,FALSE,0.0641038745936044,0.0121988547210507,FALSE,2011,"EW","","100% NAV as Cashflow"
131,"PE",60,0.614370728059618,4.40173058098262,3.26439449960868,"EG",0.350618162253973,2.77464456340186,1.49850700714979,0.139574814213747,0.126365072802008,FALSE,0.188203578989386,0.233978326815342,FALSE,2011,"EW","","100% NAV as Cashflow"
129,"PE",60,0.778664778862935,2.61010673910327,1.13277849485916,"IA",-0.25856316891506,28.4280593889171,18.1678869270501,0.298326795298208,-0.00909535066666784,FALSE,0.687393680579845,-0.0142318790266185,FALSE,2011,"EW","","100% NAV as Cashflow"
