"Date","CF","NAV","CON","DIS","type","Vintage","Fund.ID"
2004-09-30,0.01609299993014,1.000000598e-05,-0.0173882,0.03348119993014,"INF",2004,"2004_INF"
2004-12-31,-0.00188179998656,1.000000598e-05,0,-0.00189179999254,"INF",2004,"2004_INF"
2006-09-30,-0.095289751,0.08999757282198,-0.095289751,0,"INF",2006,"2006_INF"
2006-12-31,0,0.019902676,-0.02,9.7324e-05,"INF",2006,"2006_INF"
2007-06-30,0.07916312397201,0.18081671797201,-0.101653594,0,"INF",2006,"2006_INF"
2007-09-30,-0.04,0.14333333332,-0.04,0,"INF",2007,"2007_INF"
2007-12-31,-0.069,0.069,-0.069,0,"INF",2007,"2007_INF"
2008-03-31,-0.151,0.8046666666525,-0.151,0,"INF",2007,"2007_INF"
2008-06-30,0,0.804499999982,0,0,"INF",2007,"2007_INF"
2008-09-30,-0.2466666665,1.11533333270232,-0.2466666665,0,"INF",2007,"2007_INF"
2008-12-31,-0.1565,1.13933333267032,-0.1565,0,"INF",2007,"2007_INF"
2009-03-31,0,0.407166666452,0,0,"INF",2007,"2007_INF"
2009-06-30,0,0.39083333327,0,0,"INF",2007,"2007_INF"
2009-09-30,-0.05333333298987,0.474833333487325,-0.062,0.00866666701013,"INF",2007,"2007_INF"
2009-12-31,-0.0125000021833899,0.55066666664099,-0.0125,-2.18338999984553e-09,"INF",2007,"2007_INF"
2010-03-31,-0.0583333335,0.5906666666725,-0.0583333335,0,"INF",2007,"2007_INF"
2010-06-30,-0.0714999952657501,0.600333333448725,-0.082166667,0.01066667173425,"INF",2007,"2007_INF"
2010-09-30,-0.063500000110235,0.732999999899495,-0.0634999995,-6.10235000203829e-10,"INF",2007,"2007_INF"
2010-12-31,0.016333331558435,0.680166666931665,0,0.016333331558435,"INF",2007,"2007_INF"
2011-03-31,-0.016666666540845,0.81233333277468,-0.0166666665,-4.08449996029958e-11,"INF",2007,"2007_INF"
2011-06-30,-0.092499999934885,0.91199999972638,-0.1125,0.020000000065115,"INF",2007,"2007_INF"
2011-09-30,0,0.8921666661347,0,0,"INF",2007,"2007_INF"
2011-12-31,-0.02416666854684,0.848833332948535,-0.0475,0.02333333145316,"INF",2007,"2007_INF"
2012-03-31,-0.024166665283535,1.00483333347166,-0.0325,0.008333334716465,"INF",2007,"2007_INF"
2012-06-30,0.0295000002692199,0.951833333079295,0,0.02950000026922,"INF",2007,"2007_INF"
2012-09-30,-0.00266666479823496,0.988166666153985,-0.00266666699999999,2.20176499569789e-09,"INF",2007,"2007_INF"
2012-12-31,0.52866666301783,0.473666666654105,-0.024,0.55266666301783,"INF",2007,"2007_INF"
2013-03-31,0.01649999736398,0.568166666896325,0,0.01649999736398,"INF",2007,"2007_INF"
2013-06-30,0.03000000602932,0.56799999943113,-0.00133333300000001,0.03133333902932,"INF",2007,"2007_INF"
2013-09-30,0,0.617999999370435,0,0,"INF",2007,"2007_INF"
2013-12-31,-0.00800000343879499,0.624000000208975,-0.018166667,0.010166663561205,"INF",2007,"2007_INF"
2014-03-31,0.019166665968055,0.58800000042859,0,0.019166665968055,"INF",2007,"2007_INF"
2014-06-30,0.1231666677702,0.477333333063705,-0.0065,0.1296666677702,"INF",2007,"2007_INF"
2014-09-30,0.00333333322744006,0.46500000012217,0,0.00333333322744,"INF",2007,"2007_INF"
2014-12-31,0.02233333600194,0.447500000411115,-0.002,0.02433333600194,"INF",2007,"2007_INF"
2015-03-31,0.0173333339041949,0.569333333168675,0,0.017333333904195,"INF",2007,"2007_INF"
2015-06-30,0.00549999763215501,0.635333332945735,-0.00133333300000001,0.00683333063215499,"INF",2007,"2007_INF"
2015-09-30,0.211166669371165,0.59899999978014,0,0.211166669371165,"INF",2007,"2007_INF"
2015-12-31,0.04433333193606,1.15533333276836,-0.003,0.0473333319360601,"INF",2007,"2007_INF"
2016-03-31,0.0119999979605599,1.15533333276836,0,0.0119999979605599,"INF",2007,"2007_INF"
2016-12-31,0.09966666126075,1.32799999997266,-0.00233333399999999,0.10199999526075,"INF",2007,"2007_INF"
2017-03-31,0.20700000351436,1.49633333333811,0,0.20700000351436,"INF",2007,"2007_INF"
2017-06-30,0.04266667020983,1.49333333437742,0,0.0426666702098301,"INF",2007,"2007_INF"
2017-09-30,0.03399999400783,1.47666666673358,0,0.03399999400783,"INF",2007,"2007_INF"
2017-12-31,0.00266667263453999,1.511666666799,-0.00266666600000002,0.00533333863453995,"INF",2007,"2007_INF"
2018-03-31,0,1.31166666571566,0,0,"INF",2007,"2007_INF"
2018-06-30,-0.00466666897689002,1.579333332914,-0.00466666699999999,-1.97688993066549e-09,"INF",2007,"2007_INF"
