"series","n_obs","dimson_lags","beta_naive","beta_dimson","beta_uplift"
"Buyout Global",86,2,0.406970425326035,0.769855673660812,0.362885248334777
"Growth Global",86,2,0.439168462153968,0.750576067292654,0.311407605138686
"PE Europe",86,2,0.422625787066357,0.79322739083668,0.370601603770323
"PE Global",86,2,0.389180319660061,0.760535598692293,0.371355279032232
"PE North America",85,3,0.375874750914014,0.889235692163289,0.513360941249274
"VC Global",83,5,0.341868930257069,0.925920685301403,0.584051755044334
