"series","n_obs","dimson_lags","beta_naive","beta_dimson","beta_uplift"
"Buyout Global",86,2,0.343728098022845,0.63099167493524,0.287263576912396
"Growth Global",86,2,0.387658936757627,0.637290677891994,0.249631741134366
"PE Europe",86,2,0.354784644848509,0.640616031020025,0.285831386171515
"PE Global",86,2,0.329294594584055,0.633062309864466,0.303767715280411
"PE North America",85,3,0.315078509319326,0.731418501189413,0.416339991870087
"VC Global",83,5,0.323935741055951,0.955453186786281,0.63151744573033
