"";"Date";"type";"idi.return";"factor.return";"MKT";"HML";"SMB";"ESG";"HDY";"LOV";"MOM";"QLT";"RF";"Alpha";"MKTplusRF";"FiveFactorReturn";"total.return";"PE_BO";"Buyout";"BUYOUT"
"6";1998-03-31;"BO";0;0,236994654759353;0,042378862;0,015749899;-0,008734083;0;0,020088019;0,010748724;0,03311036;0,00403695;0,004763129;1;0,158467377917164;0,229004240039039;0,236994654759353;0,0925265855604116;0,0925265855604116;0,0925265855604116
"7";1998-06-30;"BO";0;0,0456932644536794;0,023877768;-0,038245336;-0,005861592;0;-0,019384092;-0,022410479;0,021197783;0,031967786;0,004580555;1;0,0347252250472028;0,0484541087298389;0,0456932644536794;0,0549743977487269;0,0549743977487269;0,0549743977487269
"8";1998-09-30;"BO";-0,0966450081325146;-0,173468602410618;0,017859052;-0,009051801;0,014051775;0;0,00808855;0,012951911;-0,047381648;0,029398609;0,005572958;1;-0,105034783825304;-0,167286539327086;-0,270113610543133;-0,0514423834431325;-0,0514423834431325;-0,0514423834431325
"9";1998-12-31;"BO";0;0,355553191584039;0,049004712;-0,048692904;0,008299698;0;-0,022557558;-0,000646896;0,039927521;0,01596583;0,003908734;1;0,224600423827958;0,345586762758166;0,355553191584039;0,0684389636251728;0,0684389636251728;0,0684389636251728
"10";1999-03-31;"BO";0,0148346251772527;0,0717631116081264;0,041783302;0,009501432;-0,00484548;0;-0,021488678;-0,023242173;-0,007252381;-0,006389823;0,00451551;1;0,0476959513957026;0,0698986523426298;0,0865977367853791;0,0332371576634978;0,0332371576634978;0,0332371576634978
"11";1999-06-30;"BO";0,0312685066126287;0,0837084976762951;0,046781982;-0,028300695;-0,004412032;0;-0,026639275;-0,039622727;0,02966919;0,0067349;0,004766793;1;0,0599276452613797;0,0782668303239605;0,114977004288924;0,0982391511819785;0,0982391511819785;0,0982391511819785
"12";1999-09-30;"BO";0,405924986312127;-0,00425036797716309;-0,00956175;-0,022612562;0,003979662;0;-0,013593018;0,00566895;0,008406388;-0,021821492;0,004463159;1;-0,00210724951735152;0,000672666057837274;0,401674618334963;0,0409610599642354;0,0409610599642354;0,0409610599642354
"13";1999-12-31;"BO";0,000688124503783126;0,285039069248459;0,08106795;-0,070400726;0,000737919;0;-0,052742192;-0,035062667;0,100438647;-0,007952052;0,004389172;1;0,182494312674186;0,300911722803214;0,285727193752242;0,173938541361134;0,149718767;0,173938541361134
"14";2000-03-31;"BO";0,0116433938422715;0,0288644084249591;0,06924319;0,019617231;0,025111862;0;0,009881899;-0,004063511;-0,044246776;0,00258193;0,004828988;1;0,0244296449205153;0,0372389322569358;0,0405078022672307;0,116379224221719;0,051927884;0,116379224221719
"15";2000-06-30;"BO";0,0429416630207398;-0,0421344759203725;0,033810432;-0,051271678;0,004868318;0;-0,04367158;-0,014270658;0,007097668;0,015250538;0,004832607;1;-0,019651610096378;-0,0472532042092133;0,000807187100367292;-0,00780727057229669;0,030476576;-0,00780727057229669
"16";2000-09-30;"BO";0,000744345080624394;-0,0759663448904181;-0,053055093;0,072745077;-0,002698863;0;0,055921201;0,061218713;-0,05203596;-0,011583715;0,005141689;1;-0,0350262387678599;-0,0759830676999124;-0,0752219998097937;-0,00709849268414675;-0,02787702;-0,00709849268414675
"17";2000-12-31;"BO";0;-0,102930896325539;0,016318262;0,068646349;0,021284469;0;0,048223895;0,008862278;-0,006165707;-0,036021477;0,005609383;1;-0,0453851793400065;-0,108920223154641;-0,102930896325539;-0,0505705496422022;-0,046279577;-0,0505705496422022
