"","Type","max.quarter","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep"
"661","PE",40,2.305078125,4.50603008287904,5.96554369154263,"MKT",2.305078125,4.50603008287904,5.96554369154263
"662","PE",40,2.18874887632686,62.9725305544441,34.414740363777,"ME",2.18874887632686,62.9725305544441,34.414740363777
"663","PE",40,2.12200508163337,71.6132469680708,66.7616202955997,"IA",2.12200508163337,71.6132469680708,66.7616202955997
"664","PE",40,1.02940185725313,36.3851927483866,12.6478829802741,"ROE",2.50036017258622,29.7980417758494,10.605849779273
"665","PE",40,1.30322502559563,50.9992836303153,17.6161131576704,"EG",1.30322502559563,50.9992836303153,17.6161131576704
"666","PE",40,0.829072705270732,11.1654733683255,9.66304758407006,"Alpha",0.829072705270732,11.1654733683255,9.66304758407006
"667","VC",40,2.0671875,34.3753638320396,27.4852334107248,"MKT",2.0671875,34.3753638320396,27.4852334107248
"668","VC",40,2.3622384218196,15.2186017614309,6.09546267886418,"ME",2.3622384218196,15.2186017614309,6.09546267886418
"669","VC",40,1.97484091626247,115.907723367458,100.910999411812,"IA",1.97484091626247,115.907723367458,100.910999411812
"670","VC",40,2.08496948290973,11.2429710104068,5.29851262166827,"ROE",-0.0525619990848373,6.27596288442754,4.68284722968126
"671","VC",40,1.36302544779696,18.1727421375889,8.11482185837682,"EG",1.36302544779696,18.1727421375889,8.11482185837682
"672","VC",40,3.04777241457522,35.1482768970088,13.4898764207029,"Alpha",3.04777241457522,35.1482768970088,13.4898764207029
"673","PD",40,1.9921875,9.95505639112438,21.456607101362,"MKT",1.9921875,9.95505639112438,21.456607101362
"674","PD",40,0.915748647359157,8.35291749264814,4.7891451873627,"ME",0.915748647359157,8.35291749264814,4.7891451873627
"675","PD",40,2.07450288649175,10.1236306542591,16.9916904531355,"IA",2.07450288649175,10.1236306542591,16.9916904531355
"676","PD",40,1.25364201304679,30.1269007270248,12.4550671059838,"ROE",1.79639241998523,32.0417519864661,13.5610790104026
"677","PD",40,1.60860618039633,24.4418235573351,24.0602225137452,"EG",1.60860618039633,24.4418235573351,24.0602225137452
"678","PD",40,0.0301450978445103,0.0837771993922047,0.0481960941527254,"Alpha",0.0301450978445103,0.0837771993922047,0.0481960941527254
"679","RE",40,1.7265625,426.646345479428,294.128468929074,"MKT",1.7265625,426.646345479428,294.128468929074
"680","RE",40,2.48751510693997,157.30319997483,100.953249227642,"ME",2.48751510693997,157.30319997483,100.953249227642
"681","RE",40,1.24041386134301,13.5986038263723,7.34579848458142,"IA",1.24041386134301,13.5986038263723,7.34579848458142
"682","RE",40,0.441297911417182,34.3084544538957,19.6990066203666,"ROE",2.9787093985608,6.91220307017079,3.44220059272361
"683","RE",40,0.941508394195731,449.458892022432,464.785771661748,"EG",0.941508394195731,449.458892022432,464.785771661748
"684","RE",40,0.109944455725371,289.752578179868,120.069659519239,"Alpha",0.109944455725371,289.752578179868,120.069659519239
"685","NATRES",40,1.14921875,6.14138616214346,5.09449791883242,"MKT",1.14921875,6.14138616214346,5.09449791883242
"686","NATRES",40,0.167699400203083,13.4652725581326,10.1778808900014,"ME",0.167699400203083,13.4652725581326,10.1778808900014
"687","NATRES",40,1.16131890174001,2.9186656771493,3.44089204097527,"IA",1.16131890174001,2.9186656771493,3.44089204097527
"688","NATRES",40,-0.0221906621154603,10.8874051455814,11.0690658314926,"ROE",2.47308944978577,35.9623235504092,21.5862621071082
"689","NATRES",40,0.262377947205096,13.7211436798227,10.8602002312613,"EG",0.262377947205096,13.7211436798227,10.8602002312613
