"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","Factor","Type","max.quarter","lambda","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","IA","SE.IA","ROE","SE.ROE","EG","SE.EG"
"Nelder-Mead",2.65625,18741.3435523767,30,NA,NA,0,TRUE,TRUE,0.27,4.68444175589403,8.54871728961371e-15,"MKT","PE",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:19,15400.9831342642,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",2.76965621631564,18682.3269623852,65,NA,NA,0,TRUE,TRUE,0.572,5.75469247955047,0,"ME","PE",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:20,17186.3399089264,-0.157857117862863,9.51800117039322,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",2.31946133274032,15926.0043215133,59,NA,NA,0,TRUE,TRUE,0.557,10.7285290827031,0,"IA","PE",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:22,30512.6674923624,NA,NA,-1.03370567188249,7.78358494991428,NA,NA,NA,NA
"Nelder-Mead3",1.11537230553548,12393.7187520475,79,NA,NA,0,TRUE,TRUE,0.726,18.6866988990279,0,"ROE","PE",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:23,30373.1161399855,NA,NA,NA,NA,2.59462187956813,26.8803046963882,NA,NA
"Nelder-Mead4",1.40663410074895,7612.10461881282,57,NA,NA,0,TRUE,TRUE,0.511,47.7430876520772,0,"EG","PE",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:24,28516.4928988372,NA,NA,NA,NA,NA,NA,1.41463678049176,27.1618749572354
"Nelder-Mead5",3.6421875,2686.43927235158,32,NA,NA,0,TRUE,TRUE,0.32,471.826680777559,0,"MKT","VC",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:19,21481.0086631879,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",3.74648187179119,2671.89801129695,61,NA,NA,0,TRUE,TRUE,0.535,29.9825808369773,0,"ME","VC",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:20,21209.9760580198,-0.176724665798247,8.37309527833432,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",3.83060639734613,2573.72057684415,85,NA,NA,0,TRUE,TRUE,0.768,14.907321128581,0,"IA","VC",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:22,22400.3834002073,NA,NA,0.926748283205191,6.28030662312006,NA,NA,NA,NA
"Nelder-Mead31",3.60540187479928,2685.32107230612,67,NA,NA,0,TRUE,TRUE,0.585,9.46768765791111,0,"ROE","VC",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:23,21495.2207886261,NA,NA,NA,NA,0.0726757820695641,6.13417542831061,NA,NA
"Nelder-Mead41",3.19264904681781,2579.10378452721,59,NA,NA,0,TRUE,TRUE,0.495,15.6447198736105,0,"EG","VC",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:24,20991.0162342418,NA,NA,NA,NA,NA,NA,0.602405038323605,6.34992996830645
"Nelder-Mead6",2.216796875,6295.96341901911,28,NA,NA,0,TRUE,TRUE,0.201,6.12751178874419,8.92619311798626e-14,"MKT","PD",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:19,2380.04284494643,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",1.19572053402663,5456.54350875771,51,NA,NA,0,TRUE,TRUE,0.36,80.9964247160767,0,"ME","PD",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:20,4165.91109951258,1.39136588200927,54.6428624286812,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",2.66942562907641,5442.81661239507,75,NA,NA,0,TRUE,TRUE,0.49,6.82646543676219,0,"IA","PD",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:21,3649.51439063341,NA,NA,2.07866036538271,10.7166740098923,NA,NA,NA,NA
"Nelder-Mead32",0.971185808680407,4795.27669182975,89,NA,NA,0,TRUE,TRUE,0.564,25.5490737546306,0,"ROE","PD",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:22,8176.35710489828,NA,NA,NA,NA,2.14079741560576,7.13255502222561,NA,NA
"Nelder-Mead42",1.86311252576466,6150.21102229694,57,NA,NA,0,TRUE,TRUE,0.369,5.53234158584145,0,"EG","PD",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:23,1718.36658331859,NA,NA,NA,NA,NA,NA,0.626668657505115,22.5147408161478
"Nelder-Mead7",2.3296875,5080.65580291367,34,NA,NA,0,TRUE,TRUE,0.21,8.65186983221582,0,"MKT","RE",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:23,30776.1796927683,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",2.29326192970744,5079.5389417918,59,NA,NA,0,TRUE,TRUE,0.316,28.8295925384459,0,"ME","RE",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:24,31098.8945533757,0.0554558260880072,33.4227448110586,NA,NA,NA,NA,NA,NA
"Nelder-Mead23",2.1451765769706,4843.13140174695,69,NA,NA,0,TRUE,TRUE,0.399,18.2981725156901,4.75441093402695e-05,"IA","RE",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:25,26583.9477192891,NA,NA,-0.57179093810397,32.8676369696926,NA,NA,NA,NA
"Nelder-Mead33",1.52244443057987,3631.81615729208,65,NA,NA,0,TRUE,TRUE,0.375,26.6096180353631,0,"ROE","RE",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:26,24679.5509838078,NA,NA,NA,NA,1.52155869736387,69.7022243522253,NA,NA
"Nelder-Mead43",1.94198544963376,4180.34791997416,61,NA,NA,0,TRUE,TRUE,0.341000000000001,783.094707360392,0,"EG","RE",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:27,26755.9359424364,NA,NA,NA,NA,NA,NA,0.52977742078193,618.173883666208
"Nelder-Mead8",1.23671875,5090.55562485394,18,NA,NA,0,TRUE,TRUE,0.0880000000000001,32.7873662736621,8.43769498715119e-15,"MKT","NATRES",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:25,8816.37484913407,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead14",0.416642748531514,4790.96659516829,57,NA,NA,0,TRUE,TRUE,0.312,5.50492178285578,0,"ME","NATRES",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:26,8340.09957924063,1.32860516786427,6.65573323035256,NA,NA,NA,NA,NA,NA
"Nelder-Mead24",1.26357938772999,5089.0558628422,45,NA,NA,0,TRUE,TRUE,0.275,18.2275936141958,0.00164457861484879,"IA","NATRES",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:26,8779.98058983377,NA,NA,0.0914898336399346,15.9930059758656,NA,NA,NA,NA
"Nelder-Mead34",-0.461452057998892,4347.10112784123,65,NA,NA,0,TRUE,TRUE,0.348000000000001,11.3734340054535,0,"ROE","NATRES",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:27,9857.80446313953,NA,NA,NA,NA,2.91469903425782,26.5675077965627,NA,NA
"Nelder-Mead44",-0.10873844498446,4206.19447690889,59,NA,NA,0,TRUE,TRUE,0.235999999999999,12.2267091689919,0,"EG","NATRES",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:28,9819.48181781716,NA,NA,NA,NA,NA,NA,1.59027338012147,8.39713535282368
"Nelder-Mead9",1.6515625,7068.98231076489,28,NA,NA,0,TRUE,TRUE,0.0880000000000001,8.43741686036721,3.85203655639543e-08,"MKT","INF",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:25,10815.9419570658,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead15",1.25521414672111,7049.22386688918,69,NA,NA,0,TRUE,TRUE,0.208,35.2705998833908,1.11022302462516e-16,"ME","INF",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:25,10081.7067532176,0.587769418303261,28.838536472019,NA,NA,NA,NA,NA,NA
"Nelder-Mead25",1.36671612902302,6965.00910990605,87,NA,NA,0,TRUE,TRUE,0.278,5.56027395709422,0,"IA","INF",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:26,13063.1229593312,NA,NA,-0.800629322895799,31.3671297930754,NA,NA,NA,NA
"Nelder-Mead35",-0.285847057553089,3643.09300209553,71,NA,NA,0,TRUE,TRUE,0.217000000000001,34.6905772667895,0,"ROE","INF",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:27,16920.6210523544,NA,NA,NA,NA,3.79428513181357,106.488613510707,NA,NA
"Nelder-Mead45",0.492820868811659,5776.94431033515,69,NA,NA,0,TRUE,TRUE,0.161999999999999,22.6109083620288,0,"EG","INF",40,0,"2003","EW","L2_Lasso","exp.aff",2020-04-10 11:37:27,14982.1303296737,NA,NA,NA,NA,NA,NA,1.42963898507411,15.7353670468348
