"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","Factor","Type","max.quarter","lambda","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","IA","SE.IA","ROE","SE.ROE","EG","SE.EG"
"Nelder-Mead",3.0828125,14421.5883570056,34,NA,NA,0,TRUE,TRUE,0.366,23.1849222999652,0,"MKT","PE",40,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:40,262693.56626692,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",3.38960199896559,13903.4701244955,71,NA,NA,0,TRUE,TRUE,0.673,9.75457271175642,0,"ME","PE",40,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:42,275212.248475421,-0.405517011938268,13.7378473644796,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",2.75532815489162,11797.514496621,73,NA,NA,0,TRUE,TRUE,0.718,8.67433468601079,0,"IA","PE",40,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:43,198751.089560528,NA,NA,-0.933684010130061,15.8070914824956,NA,NA,NA,NA
"Nelder-Mead3",1.74163410025083,11277.7712146065,67,NA,NA,0,TRUE,TRUE,0.648,4.4205546918609,0,"ROE","PE",40,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:45,128450.662773123,NA,NA,NA,NA,1.99165542337031,8.78673704412369,NA,NA
"Nelder-Mead4",2.02257478510615,7534.925156022,67,NA,NA,0,TRUE,TRUE,0.623,29.9834542607781,0,"EG","PE",40,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:46,164308.147113733,NA,NA,NA,NA,NA,NA,1.0514195002956,44.998669142264
"Nelder-Mead5",2.0109375,5721.7136660926,26,NA,NA,0,TRUE,TRUE,0.278,5.12543524145906,2.20114857452103e-07,"MKT","VC",40,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:40,11751.5662757546,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",2.21944110896438,5586.17537384801,53,NA,NA,0,TRUE,TRUE,0.512,15.4957993589246,0,"ME","VC",40,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:41,11207.3091215326,-0.540910248318687,16.8540703167852,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.86692508582932,5682.76533274675,97,NA,NA,0,TRUE,TRUE,0.936,6.16538825368373,0.00175377031553781,"IA","VC",40,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:43,11513.0099470585,NA,NA,-0.509454493745051,4.7101483568177,NA,NA,NA,NA
"Nelder-Mead31",1.95372482054881,5710.99972007024,55,NA,NA,0,TRUE,TRUE,0.519,54.1426672616599,0,"ROE","VC",40,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:45,11912.8948184877,NA,NA,NA,NA,0.236024755710241,76.1336779705594,NA,NA
"Nelder-Mead41",1.36387271296699,5050.05426964179,53,NA,NA,0,TRUE,TRUE,0.521,52.5045232995839,0,"EG","VC",40,0,"2006","EW","L2_Lasso","exp.aff",2020-04-10 11:37:46,13712.1674907429,NA,NA,NA,NA,NA,NA,1.5313847012585,83.5724239269434
