"","Type","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep","t.MKT","t.MKT.indep","t.Coef","t.Coef.indep","sig","sig.indep"
"19","PE",0.70865565747523,2.47045621425052,1.15315426315715,"EG",0.807450000879772,4.69330303300982,1.95951846879791,0.286852142283453,0.614536736425051,0.150992947289144,0.361647858266916,FALSE,FALSE
"20","PE",0.769584515557996,7.97583622720095,3.34766622267503,"ROE",1.53989384379055,5.14000038741733,3.49931449126587,0.0964895082641479,0.229886871739274,0.149724602636593,0.21992436446591,FALSE,FALSE
"21","PE",1.12587890625,1.00285463218552,0.868028486398663,"MKT",1.12587890625,1.00285463218552,0.868028486398663,1.12267408467404,1.29705294686943,1.12267408467404,1.29705294686943,FALSE,FALSE
"22","PE",0.643751005128984,1.23374129575519,0.585415106954476,"Alpha",0.00339330169916821,0.0361464038515265,0.0134275890354521,0.521787677322526,1.09964877482918,17.8095449764029,47.9424119571522,FALSE,FALSE
"23","PE",1.12051244911709,1.02298074421901,0.897499405301995,"ME",0.0744753193452198,2.02085148002219,0.914779260874009,1.09534070455309,1.24848266472116,0.554475408111034,1.22489927028573,FALSE,FALSE
"24","PE",1.1584806370025,1.12466482261999,1.06848533415724,"IA",-0.33822640820872,2.49943514916645,1.25889858113143,1.03006745983549,1.08422698933556,0.463496977462627,0.920233491693445,FALSE,FALSE
"31","VC",1.05315587775065,4.15017749685438,2.7327901746771,"IA",-1.95943718294884,2.09971164362408,1.76719531689067,0.25376164719434,0.385377511786132,0.501571671019033,0.595947639564623,FALSE,FALSE
"32","VC",1.11405892855721,3.8612300709826,2.89445545313657,"ME",-1.38343342522514,5.10200904105849,2.21084393963119,0.288524358320276,0.384894135216337,0.218356909913684,0.503906634288739,FALSE,FALSE
"33","VC",1.80604241002357,11.3910425546013,4.27855950579699,"Alpha",-0.0057114976180686,0.124323835027211,0.0463852157042368,0.158549351507254,0.422114594310673,14.526920036116,38.935733780766,FALSE,FALSE
"34","VC",0.8009765625,704.454554706218,561.597708431069,"MKT",0.8009765625,704.454554706218,561.597708431069,0.00113701665657345,0.00142624613753799,0.00113701665657345,0.00142624613753799,FALSE,FALSE
"35","VC",1.42914279668883,8.07281512019314,3.21892823283365,"ROE",-1.30576864094264,18.0548302531497,6.91911312800235,0.177031528086653,0.443980944374999,0.079155703856009,0.206549997123901,FALSE,FALSE
"36","VC",1.50703234810265,17.3215617588139,6.96628083382207,"EG",-0.903759199094907,15.3435049286653,5.73652522022648,0.0870032603922572,0.216332413816256,0.0982195629426987,0.262708223227013,FALSE,FALSE
"13","PD",0.884765625,1.04002200826864,1.24203713975989,"MKT",0.884765625,1.04002200826864,1.24203713975989,0.850718175159485,0.712350377196484,0.850718175159485,0.712350377196484,FALSE,FALSE
"14","PD",0.660160094940519,0.0949391890962828,0.0394039026653724,"Alpha",0.00189392468702323,0.000525316402504087,0.000200789560770271,6.95350467203818,16.7536728670447,1256.69042846113,3287.82080307366,TRUE,TRUE
"15","PD",0.825818003416134,1.70690699313613,1.44306625775878,"EG",0.143302376528027,20.3407904903504,7.505621616176,0.483809608102222,0.572266172101279,0.04059911062984,0.110026596815958,FALSE,FALSE
"16","PD",0.8487191779564,2.92115575897095,2.14598052369584,"ME",0.301393923992214,2.73887711079531,1.51757454127519,0.290542253815107,0.395492488671203,0.309878517225605,0.559260289938204,FALSE,FALSE
"17","PD",0.887321039402559,1.37796667577118,1.24385265187506,"ROE",-0.0231683474708007,6.92536652386755,2.55267977875395,0.643935049376988,0.713365074283483,0.12812622066204,0.347603740503515,FALSE,FALSE
"18","PD",0.862966355903654,2.94203990669737,2.22383956176003,"IA",0.246794805909485,5.30601278987865,3.60657558133268,0.293322450840713,0.388052434511359,0.162639328263547,0.239275827288992,FALSE,FALSE
"25","RE",0.57802734375,1.82739150115619,1.19607460817787,"MKT",0.57802734375,1.82739150115619,1.19607460817787,0.31631281166859,0.483270307552621,0.31631281166859,0.483270307552621,FALSE,FALSE
"26","RE",1.30258957489651,5.46308081309399,2.25866499509734,"Alpha",-0.00551878240386472,0.0880081914687852,0.0335768217178878,0.238434981919807,0.576707735642033,14.8007765317904,38.7943083428461,FALSE,FALSE
"27","RE",0.200455530472474,2.59777744444054,1.35619441711887,"ROE",3.1176116331891,2.57937266790838,6.62917014183212,0.0771642431885247,0.147807370346153,0.0777148385599604,0.0302384048355521,FALSE,FALSE
"28","RE",0.20164693639781,3.2971334126304,1.96470345615283,"EG",0.84376840055047,2.47793754161169,1.8277127171525,0.0611582581479284,0.102634794969345,0.081376924563908,0.110327478988037,FALSE,FALSE
"29","RE",0.756197557629033,3.04288474993235,2.19240457223091,"IA",-1.93819221953072,1.87912831078453,0.782687325182607,0.248513374568605,0.344916977097687,0.40241933096805,0.966155364088215,FALSE,FALSE
"30","RE",0.887300320563813,1.16680959243105,0.857985211036712,"ME",-2.05911356399648,1.30023007299184,0.562648867549167,0.760449970860388,1.03416738324858,0.682417934329213,1.57700543223128,FALSE,FALSE
"7","NATRES",-0.21517024699133,2.36733849514146,1.97592335314077,"EG",0.909041608666303,14.5054732243451,7.47502135194219,-0.0908912043769527,-0.108896049358044,-0.0148337281840762,-0.0287852350997531,FALSE,FALSE
"8","NATRES",0.190624999999999,3.13612558680953,4.24249782275012,"MKT",0.190624999999999,3.13612558680953,4.24249782275012,0.0607835989737666,0.0449322564121977,0.0607835989737666,0.0449322564121977,FALSE,FALSE
"9","NATRES",-0.673509313500707,58.0025742577738,24.2338701860476,"Alpha",0.00845320103296119,0.230258481266144,0.0981736774151407,-0.011611714171642,-0.0277920657464144,-2.92501413974946,-6.8603859123325,FALSE,FALSE
"10","NATRES",-0.0195321374946889,0.953590060843714,2.21000038396394,"ROE",1.12774423155405,4.83007679206973,5.06612341017595,-0.020482740222153,-0.00883806972904472,-0.00404385651316306,-0.00385544052390357,FALSE,FALSE
"11","NATRES",0.14338220916386,3.23647459316719,4.11632905618863,"IA",-0.768381528188144,1.80793070921968,2.15445593104231,0.0443019727287731,0.0348325430758006,0.0793073586463638,0.0665514699548729,FALSE,FALSE
"12","NATRES",0.211856929372879,4.20885496734806,5.45044069962141,"ME",-0.575212007537629,1.60275052735064,1.25198957335684,0.0503360013629472,0.0388696879846055,0.132183347163255,0.169216209049447,FALSE,FALSE
"1","INF",0.82431640625,3.20115694344656,2.81516249461711,"MKT",0.82431640625,3.20115694344656,2.81516249461711,0.257505777071489,0.292813081953948,0.257505777071489,0.292813081953948,FALSE,FALSE
"2","INF",0.190330762167968,7.13283257961739,3.28814406902935,"Alpha",0.00549626843679656,0.030337470280982,0.0246397935931691,0.0266837557230563,0.0578839485655971,6.27378487412257,7.72452745792211,FALSE,FALSE
"3","INF",0.317346370334598,23.9042822347389,10.6581861485928,"EG",0.848351775313631,45.8360586738844,20.1762268011035,0.0132757121597826,0.0297748947063096,0.00692350912176944,0.0157287273514016,FALSE,FALSE
"4","INF",0.469987258002129,9.31648349123332,4.23701442340183,"ROE",1.24523373220945,5.53060929738037,6.13364970662218,0.0504468513730938,0.110924158153982,0.0849792912011961,0.0766244047968224,FALSE,FALSE
"5","INF",0.778222078508407,5.95147461295435,5.42407755972881,"ME",-0.811463680035377,3.71164842927091,4.3492935812713,0.130761219549602,0.14347547024149,0.209670202697855,0.178930684711546,FALSE,FALSE
"6","INF",0.661026587611206,61.3293356285664,33.8190303583253,"IA",-1.10819216844189,150.713432416475,85.7325489438269,0.0107783099366123,0.0195459946842763,0.00438598323329638,0.00771033400679967,FALSE,FALSE
