"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",1.10390625,25982.8840023748,20,NA,NA,0,FALSE,TRUE,0.255,2.06044977117095,0.83047405950854,1.87495598378878,"MKT","PE",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:08:49,162933.217978277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.1998032652527,20197.6800596945,67,NA,NA,0,TRUE,TRUE,0.704,3.45225159850991,1.2103520619311e-05,2.95206340863108,"ME","PE",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:08:53,219622.901684044,-0.928895237277294,4.63406199917412,3.00734235000264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.20143252050164,17688.9927410086,63,NA,NA,0,TRUE,TRUE,0.657,1.22727308794735,0.00462216098611634,1.06340341532543,"IA","PE",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:08:57,183113.29734096,NA,NA,NA,-0.927515771576265,3.28369244988222,2.48002551545045,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",0.742941706465923,16572.37164207,69,NA,NA,0,TRUE,TRUE,0.698,2.20884072244401,4.13310001634581e-06,0.958863147387627,"ROE","PE",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:08:59,142993.105111042,NA,NA,NA,NA,NA,NA,1.51729749883353,3.57759769591319,1.48107945765465,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",0.733537000289789,19774.2952482395,65,NA,NA,0,TRUE,TRUE,0.645,6.56033121617976,0.0866429915712814,3.23273629739818,"EG","PE",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:09:01,150886.980608207,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.705200558123745,3.73129542555331,2.42851137035667,NA,NA,NA
"Nelder-Mead5",1.02638530400038,25895.4485462515,61,NA,NA,0,FALSE,TRUE,0.638,0.120692677909003,0.999994928880186,0.0635731387585982,"Alpha","PE",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:09:03,158696.546532725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000538031307265641,0.000400218323019394,0.000246862362137371
"Nelder-Mead6",1.01171875,4836.21848366243,22,NA,NA,0,TRUE,TRUE,0.243,1.65005011811293,0.98457264677552,1.48707022980253,"MKT","VC",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:08:49,44117.2464221353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.17250091493799,3690.70865555743,61,NA,NA,0,TRUE,TRUE,0.651,2.56138639458975,9.63923303971548e-05,2.41092367362215,"ME","VC",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:08:53,10469.1744858507,-1.73310517634987,2.48311965910479,1.52515033874443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.10849971114941,3578.31001511227,57,NA,NA,0,TRUE,TRUE,0.622,3.70116659858757,0.00135849675376298,3.27350338572494,"IA","VC",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:08:57,17214.0668869302,NA,NA,NA,-1.74359672218615,2.09554382660492,1.25301775415947,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",1.11595092555362,4798.88358935044,45,NA,NA,0,TRUE,TRUE,0.445,1.08590636275709,0.114106750737266,1.41440615882729,"ROE","VC",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:09:00,35848.8654921737,NA,NA,NA,NA,NA,NA,-0.353583145852463,5.79832154822765,2.30301198837209,NA,NA,NA,NA,NA,NA
"Nelder-Mead41",1.01306918840855,4836.21316124298,43,NA,NA,0,TRUE,TRUE,0.465,2.18979389568482,0.999193468774842,2.14872883379391,"EG","VC",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:09:02,44044.6858382026,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00261243479326368,5.04295657004183,2.23856245734964,NA,NA,NA
"Nelder-Mead51",1.87490464981015,4349.41883004748,97,NA,NA,0,FALSE,TRUE,0.953000000000001,15.1826941809422,0,6.81825309772098,"Alpha","VC",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:09:04,8973.69786580637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00625436541450171,0.343848753714256,0.153117247419037
"Nelder-Mead7",0.884814453125,2261.83415322138,28,NA,NA,0,TRUE,TRUE,0.233,1.29894566557367,0.88106461204455,1.64150854694639,"MKT","PD",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:08:49,12897.4349058906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.86377350475484,2122.38574316856,55,NA,NA,0,TRUE,TRUE,0.48,4.74675092808448,0.438321479992556,3.51127239896636,"ME","PD",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:08:51,11865.1218924845,0.170204955777388,5.12216604395929,3.46530971973158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",0.871042411107817,2131.77507340429,55,NA,NA,0,TRUE,TRUE,0.433,4.84526433960333,0.27616055038764,4.08099900461612,"IA","PD",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:08:53,12267.9677941939,NA,NA,NA,0.152297750732595,12.0299197116749,9.986127314292,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead32",0.896219171693656,2209.88332947664,61,NA,NA,0,TRUE,TRUE,0.482,2.56435606349123,0.733339924922094,3.33781461426015,"ROE","PD",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:08:56,12995.2402044408,NA,NA,NA,NA,NA,NA,-0.096232790943418,10.2742944852104,4.13546848202934,NA,NA,NA,NA,NA,NA
"Nelder-Mead42",0.853767041314529,2214.61081299082,55,NA,NA,0,TRUE,TRUE,0.319000000000001,9.4782865197335,0,3.93175792859611,"EG","PD",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:08:58,12772.5080493138,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0748240013598974,106.562895945143,41.2140442389067,NA,NA,NA
"Nelder-Mead52",0.714368183252742,1963.67560836525,73,NA,NA,0,FALSE,TRUE,0.542999999999999,6.17713485316379,0.21081133356047,3.50840163143408,"Alpha","PD",180,0,12,"2000","FW_VYP","L2_Lasso","linear",2020-06-27 14:09:01,12443.9770555333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00143765406837176,0.103870363584807,0.0425711456515672
