"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead32",0.887321039402559,2293.68682024267,51,NA,NA,0,TRUE,TRUE,0.576000000000001,1.37796667577118,0.955844108726751,1.24385265187506,"ROE","PD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:11:58,2293.68682024267,NA,NA,NA,NA,NA,NA,-0.0231683474708007,6.92536652386755,2.55267977875395,NA,NA,NA,NA,NA,NA
"Nelder-Mead42",0.825818003416134,2200.9956197476,49,NA,NA,0,TRUE,TRUE,0.786000000000001,1.70690699313613,0.0307100806878652,1.44306625775878,"EG","PD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:03,2200.9956197476,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143302376528027,20.3407904903504,7.505621616176,NA,NA,NA
"Nelder-Mead52",0.660160094940519,1990.01545780911,95,NA,NA,0,FALSE,TRUE,1.253,0.0949391890962828,0.999479616670505,0.0394039026653724,"Alpha","PD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:08,1990.01545780911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00189392468702323,0.000525316402504087,0.000200789560770271
"Nelder-Mead8",0.57802734375,13322.0886735899,28,NA,NA,0,TRUE,TRUE,0.286999999999999,1.82739150115619,0.440642180798555,1.19607460817787,"MKT","RE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:10,13322.0886735899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",0.887300320563813,9567.38540468302,69,NA,NA,0,TRUE,TRUE,0.774000000000001,1.16680959243105,0.030026001252448,0.857985211036712,"ME","RE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:14,9567.38540468302,-2.05911356399648,1.30023007299184,0.562648867549167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead23",0.756197557629033,9271.65409974067,75,NA,NA,0,TRUE,TRUE,0.798000000000002,3.04288474993235,0.000659622264928883,2.19240457223091,"IA","RE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:17,9271.65409974067,NA,NA,NA,-1.93819221953072,1.87912831078453,0.782687325182607,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead33",0.200455530472474,8818.84986292757,117,NA,NA,0,TRUE,TRUE,1.239,2.59777744444054,0,1.35619441711887,"ROE","RE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:20,8818.84986292757,NA,NA,NA,NA,NA,NA,3.1176116331891,2.57937266790838,6.62917014183212,NA,NA,NA,NA,NA,NA
"Nelder-Mead43",0.20164693639781,12334.6842456692,61,NA,NA,0,TRUE,TRUE,0.68,3.2971334126304,0.00607908005971025,1.96470345615283,"EG","RE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:22,12334.6842456692,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84376840055047,2.47793754161169,1.8277127171525,NA,NA,NA
"Nelder-Mead53",1.30258957489651,12972.4502076708,81,NA,NA,0,FALSE,TRUE,0.869999999999997,5.46308081309399,0.25483902602202,2.25866499509734,"Alpha","RE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:25,12972.4502076708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00551878240386472,0.0880081914687852,0.0335768217178878
"Nelder-Mead9",0.190624999999999,3337.95715198606,32,NA,NA,0,TRUE,TRUE,0.356000000000002,3.13612558680953,0.0111391927051407,4.24249782275012,"MKT","NATRES",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:11,3337.95715198606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead14",0.211856929372879,3258.58523857216,73,NA,NA,0,TRUE,TRUE,0.772000000000002,4.20885496734806,0.0233041156458496,5.45044069962141,"ME","NATRES",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:14,3258.58523857216,-0.575212007537629,1.60275052735064,1.25198957335684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead24",0.14338220916386,3136.78086765225,71,NA,NA,0,TRUE,TRUE,0.724,3.23647459316719,0.00177733723812235,4.11632905618863,"IA","NATRES",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:18,3136.78086765225,NA,NA,NA,-0.768381528188144,1.80793070921968,2.15445593104231,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead34",-0.0195321374946889,3081.09286877582,71,NA,NA,0,TRUE,TRUE,0.719999999999999,0.953590060843714,1.83932056796454e-06,2.21000038396394,"ROE","NATRES",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:20,3081.09286877582,NA,NA,NA,NA,NA,NA,1.12774423155405,4.83007679206973,5.06612341017595,NA,NA,NA,NA,NA,NA
"Nelder-Mead44",-0.21517024699133,2904.93353197352,69,NA,NA,0,TRUE,TRUE,0.729000000000003,2.36733849514146,0,1.97592335314077,"EG","NATRES",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:23,2904.93353197352,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909041608666303,14.5054732243451,7.47502135194219,NA,NA,NA
"Nelder-Mead54",-0.673509313500707,3137.20160045022,147,NA,NA,0,FALSE,TRUE,1.557,58.0025742577738,0,24.2338701860476,"Alpha","NATRES",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:28,3137.20160045022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00845320103296119,0.230258481266144,0.0981736774151407
"Nelder-Mead10",0.82431640625,4059.80782228958,26,NA,NA,0,TRUE,TRUE,0.145,3.20115694344656,0.573849815863362,2.81516249461711,"MKT","INF",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:15,4059.80782228958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead15",0.778222078508407,3620.36696826622,63,NA,NA,0,TRUE,TRUE,0.315999999999999,5.95147461295435,0.0261316278441911,5.42407755972881,"ME","INF",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:17,3620.36696826622,-0.811463680035377,3.71164842927091,4.3492935812713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead25",0.661026587611206,3196.41317802898,61,NA,NA,0,TRUE,TRUE,0.269000000000002,61.3293356285664,0,33.8190303583253,"IA","INF",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:19,3196.41317802898,NA,NA,NA,-1.10819216844189,150.713432416475,85.7325489438269,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead35",0.469987258002129,3476.97154901251,61,NA,NA,0,TRUE,TRUE,0.314999999999998,9.31648349123332,1.02530474912488e-05,4.23701442340183,"ROE","INF",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:21,3476.97154901251,NA,NA,NA,NA,NA,NA,1.24523373220945,5.53060929738037,6.13364970662218,NA,NA,NA,NA,NA,NA
"Nelder-Mead45",0.317346370334598,3233.14397700118,63,NA,NA,0,TRUE,TRUE,0.356999999999999,23.9042822347389,0,10.6581861485928,"EG","INF",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:22,3233.14397700118,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.848351775313631,45.8360586738844,20.1762268011035,NA,NA,NA
"Nelder-Mead55",0.190330762167968,3842.05791420557,117,NA,NA,0,FALSE,TRUE,0.792000000000002,7.13283257961739,5.72520345576422e-08,3.28814406902935,"Alpha","INF",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-06-27 14:12:25,3842.05791420557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00549626843679656,0.030337470280982,0.0246397935931691
