"Date","RF","MKT","RE","INF","NATRES","VC","PD","MEZZ","DD","BO","FOF","SEC","PE","Factor"
"1969-12-31",0,0,0,0,0,0,0,0,0,0,0,0,0,"Public"
"1970-01-31",-0.0035060381768602,-0.0551991653592152,0,0,0.0761939046561383,-0.0101733291074749,0.0551991653592152,0,0,-0.0101733291074749,-0.0101733291074749,-0.0101733291074749,-0.0101733291074749,"Public"
"1970-02-28",0.00233190827827413,0.0279540113357087,0,0,-0.000913422951766593,0.020687391673182,-0.0279540113357087,0,0,0.020687391673182,0.020687391673182,0.020687391673182,0.020687391673182,"Public"
"1970-03-31",-0.0110019646365421,0.0141030413139891,0,0,0.0111873233977551,0.00268783966565231,-0.0141030413139891,0,0,0.00268783966565231,0.00268783966565231,0.00268783966565231,0.00268783966565231,"Public"
"1970-04-30",0.00741029641185647,-0.110483294221696,0,0,0.0999612580644365,0.00663802866106809,0.110483294221696,0,0,0.00663802866106809,0.00663802866106809,0.00663802866106809,0.00663802866106809,"Public"
"1970-05-31",-0.00706991358994501,-0.0602635000743521,0,0,0.0367211687663378,0.00456679361329426,0.0602635000743521,0,0,0.00456679361329426,0.00456679361329426,0.00456679361329426,0.00456679361329426,"Public"
"1970-06-30",-0.00991669972233225,-0.0153347024470151,0,0,0.091494596361725,-0.0100817932704318,0.0153347024470151,0,0,-0.0100817932704318,-0.0100817932704318,-0.0100817932704318,-0.0100817932704318,"Public"
"1970-07-31",0.0240030971738289,0.0343811289647158,0,0,-0.0687445451996982,0.00928144983758793,-0.0343811289647158,0,0,0.00928144983758793,0.00928144983758793,0.00928144983758793,0.00928144983758793,"Public"
"1970-08-31",0.00730207532667135,0.024612698488349,0,0,0.0165891082402881,0.00649264369247881,-0.024612698488349,0,0,0.00649264369247881,0.00649264369247881,0.00649264369247881,0.00649264369247881,"Public"
"1970-09-30",0,0.0312871589557854,0,0,-0.018880852416628,0.00284864676512286,-0.0312871589557854,0,0,0.00284864676512286,0.00284864676512286,0.00284864676512286,0.00284864676512286,"Public"
"1970-10-31",0.0023006134969327,-0.0172816795553513,0,0,0.0114361931550812,0.00649154249175611,0.0172816795553513,0,0,0.00649154249175611,0.00649154249175611,0.00649154249175611,0.00649154249175611,"Public"
"1970-11-30",0.0147336607480165,0.00717521651678547,0,0,-0.0358476867677388,0.0280098596750634,-0.00717521651678547,0,0,0.0280098596750634,0.0280098596750634,0.0280098596750634,0.0280098596750634,"Public"
"1970-12-31",0.0257637099742371,0.021473559798244,0,0,-0.0382885295465906,0.00404797386834023,-0.021473559798244,0,0,0.00404797386834023,0.00404797386834023,0.00404797386834023,0.00404797386834023,"Public"
"1971-01-31",0.0209009009009004,0.0230375812780697,0,0,0.00442861166145989,-0.0018307082949636,-0.0230375812780697,0,0,-0.0018307082949636,-0.0018307082949636,-0.0018307082949636,-0.0018307082949636,"Public"
"1971-02-28",-0.00108225108225117,0.0115178316285329,0,0,-0.0202034883773053,-0.000984987158062299,-0.0115178316285329,0,0,-0.000984987158062299,-0.000984987158062299,-0.000984987158062299,-0.000984987158062299,"Public"
"1971-03-31",0.00395256916996072,0.0380830980235154,0,0,-0.0317076493466613,-0.00369042015151314,-0.0380830980235154,0,0,-0.00369042015151314,-0.00369042015151314,-0.00369042015151314,-0.00369042015151314,"Public"
"1971-04-30",0.00500536288880875,0.0266529877256133,0,0,-0.0254181010044376,0.00132372599728869,-0.0266529877256133,0,0,0.00132372599728869,0.00132372599728869,0.00132372599728869,0.00132372599728869,"Public"
"1971-05-31",0.00178443968593889,-0.0260391746925242,0,0,0.0598106425137123,-0.014919454462662,0.0260391746925242,0,0,-0.014919454462662,-0.014919454462662,-0.014919454462662,-0.014919454462662,"Public"
"1971-06-30",-0.00936599423631109,0.0194202597240116,0,0,-0.0202942654877005,-0.00448289430164465,-0.0194202597240116,0,0,-0.00448289430164465,-0.00448289430164465,-0.00448289430164465,-0.00448289430164465,"Public"
"1971-07-31",0.0078627591136533,-0.0241082801647132,0,0,0.0229206640898393,-0.017376950493949,0.0241082801647132,0,0,-0.017376950493949,-0.017376950493949,-0.017376950493949,-0.017376950493949,"Public"
"1971-08-31",0.0130511463844796,0.00830821877025938,0,0,-0.0259095367840198,0.0170891546206453,-0.00830821877025938,0,0,0.0170891546206453,0.0170891546206453,0.0170891546206453,0.0170891546206453,"Public"
"1971-09-30",0.0111614928496685,-0.0207589704002373,0,0,0.0095176436051753,-0.00307643721252042,0.0207589704002373,0,0,-0.00307643721252042,-0.00307643721252042,-0.00307643721252042,-0.00307643721252042,"Public"
"1971-10-31",0.0110382890651947,-0.0504725062744222,0,0,0.0836887571146143,0.00102919389058816,0.0504725062744222,0,0,0.00102919389058816,0.00102919389058816,0.00102919389058816,0.00102919389058816,"Public"
"1971-11-30",0.00617072334590284,0.00221067792556233,0,0,0.0171948069069735,-0.00419163484412717,-0.00221067792556233,0,0,-0.00419163484412717,-0.00419163484412717,-0.00419163484412717,-0.00419163484412717,"Public"
"1971-12-31",0.0108511359782976,0.0717818928242688,0,0,-0.0477593204213946,-0.021856246899024,-0.0717818928242688,0,0,-0.021856246899024,-0.021856246899024,-0.021856246899024,-0.021856246899024,"Public"
"1972-01-31",0.023833167825224,0.0114789563685007,0,0,0.00192449065947033,-0.0138944119796143,-0.0114789563685007,0,0,-0.0138944119796143,-0.0138944119796143,-0.0138944119796143,-0.0138944119796143,"Public"
