"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",1.0419921875,26.6318273452697,20,NA,NA,0,TRUE,TRUE,0.198,1.46195379132627,0.951048108313262,2.34912827649729,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1",300,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 02:37:12,26.6318273452697,NA,NA,NA
"Nelder-Mead1",1.49531925793453,21.6453162385713,171,NA,NA,0,FALSE,TRUE,1.989,40.7456452088995,0,16.1565283036529,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1",300,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 02:37:17,21.6453162385713,-0.00275938850829406,0.172714761380947,0.071753952290911
"Nelder-Mead2",0.80791015625,38.7750304231135,26,NA,NA,0,TRUE,TRUE,0.252,1.21711487699585,0.815143815807414,1.03601034575054,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .10",300,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 02:37:13,38.7750304231135,NA,NA,NA
"Nelder-Mead11",0.754177722061273,38.6986473482619,67,NA,NA,0,FALSE,TRUE,0.826,2.3040717613556,0.851792520931116,1.43667107112275,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .10",300,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 02:37:19,38.6986473482619,0.000428388056573503,0.0567699606891067,0.0241420139244347
"Nelder-Mead3",0.847265625,21.2820357898015,26,NA,NA,0,TRUE,TRUE,0.258,0.969839532792652,0.882241882692334,0.891630242656485,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .100",300,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 02:37:13,21.2820357898015,NA,NA,NA
"Nelder-Mead12",1.09160788860857,19.9397440129816,105,NA,NA,0,FALSE,TRUE,1.12,0.392656336997557,0.999353238813454,0.156909291411039,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .100",300,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 02:37:16,19.9397440129816,-0.0017286995322646,0.000578289902509435,0.000300253349144183
"Nelder-Mead4",0.72177734375,28.148933996907,26,NA,NA,0,TRUE,TRUE,0.269,0.365797325354486,0.91893677506393,0.733846269479371,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1000",300,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 03:11:22,28.148933996907,NA,NA,NA
"Nelder-Mead13",0.470622111203749,27.164131892409,75,NA,NA,0,FALSE,TRUE,0.782,1.8501063174378,0.619018909926483,1.06534120028243,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1000",300,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 03:11:26,27.164131892409,0.00190259894343302,0.00112507015696986,0.000852244915485622
"Nelder-Mead5",0.8771484375,30.8201024718065,22,NA,NA,0,TRUE,TRUE,0.231,1.05559699124586,0.896818230129564,1.50760307789794,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .101",300,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 03:11:23,30.8201024718065,NA,NA,NA
"Nelder-Mead14",1.59955640871109,23.4886729248438,79,NA,NA,0,FALSE,TRUE,0.827999999999999,2.23014633434987,0.409054984951288,1.21309318901023,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .101",300,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 03:11:26,23.4886729248438,-0.00419329592546704,0.00192522137885455,0.00161099581300891
"Nelder-Mead6",1.0955078125,34.6076776928908,20,NA,NA,0,TRUE,TRUE,0.212,0.691282390384907,0.947359618405572,0.372165481171986,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .102",300,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 03:11:22,34.6076776928908,NA,NA,NA
"Nelder-Mead15",0.985892524564775,34.1535851207008,59,NA,NA,0,FALSE,TRUE,0.609000000000002,0.229007701743491,0.999994782478214,0.110795908509084,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .102",300,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 03:11:26,34.1535851207008,0.000826360969484341,0.000628337356419997,0.000405980909186789
"Nelder-Mead7",0.87822265625,23.8582935509818,24,NA,NA,0,TRUE,TRUE,0.244999999999999,0.798264732451868,0.922559183108732,0.812624098826494,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .103",300,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 03:11:42,23.8582935509818,NA,NA,NA
