"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",2.125,18.1823205396643,28,NA,NA,0,TRUE,TRUE,0.237,0.531734744339496,0.549705432393769,0.82377819239722,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1",60,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 17:41:26,18.1823205396643,NA,NA,NA
"Nelder-Mead1",2.64974643145632,13.9727129323122,109,NA,NA,0,FALSE,TRUE,0.79,11.2747211893353,0,5.23731860584412,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1",60,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 17:41:28,13.9727129323122,-0.00287804712975535,0.136174909477708,0.0581284529717831
"Nelder-Mead2",1.9603515625,20.1575710625585,30,NA,NA,0,TRUE,TRUE,0.255,1.12165408395701,0.281398852529863,1.0199593225384,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .10",60,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 17:41:26,20.1575710625585,NA,NA,NA
"Nelder-Mead11",2.03606986681511,20.0288053263592,81,NA,NA,0,FALSE,TRUE,0.614,32.34119222446,0,14.684744684742,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .10",60,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 17:41:28,20.0288053263592,-0.000572493861010372,0.422499201928271,0.190869897752506
"Nelder-Mead3",1.8640625,15.653731965851,30,NA,NA,0,TRUE,TRUE,0.262,21.6677559787337,0,19.0477365493361,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .100",60,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 17:41:26,15.653731965851,NA,NA,NA
"Nelder-Mead12",2.35540190850999,12.2988121859807,89,NA,NA,0,FALSE,TRUE,0.654,0.775410155932911,0.575738640114087,0.830978834312687,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .100",60,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 17:41:28,12.2988121859807,-0.00290949562233206,0.109532580534543,0.0446094183763018
"Nelder-Mead4",1.72734375,13.7851024457113,26,NA,NA,0,TRUE,TRUE,0.207,1.74411431354512,0.204594239517621,3.31383122793599,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1000",60,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 17:41:30,13.7851024457113,NA,NA,NA
"Nelder-Mead13",1.90753195127829,13.3730349518813,75,NA,NA,0,FALSE,TRUE,0.587000000000001,0.567266210253715,0.875889034315953,0.235125642646856,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1000",60,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 17:41:32,13.3730349518813,-0.00109526287853578,0.000233778698126433,0.000302393419391322
"Nelder-Mead5",1.9767578125,21.4546031251904,30,NA,NA,0,TRUE,TRUE,0.263,1.62636980835747,0.112157637547177,2.3000021705992,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .101",60,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 17:41:30,21.4546031251904,NA,NA,NA
"Nelder-Mead14",2.64744957055867,17.1075982300619,87,NA,NA,0,FALSE,TRUE,0.684,0.847044440589931,0.37769896830306,0.372597908304459,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .101",60,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 17:41:32,17.1075982300619,-0.00372044766629466,0.000194101715877022,0.000279719308401387
