"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",0.8662109375,19.9762175668511,24,NA,NA,0,TRUE,TRUE,0.238,0.895917030782397,0.904590962168701,0.997418594887332,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:05,19.9762175668511,NA,NA,NA
"Nelder-Mead1",0.614021164608532,17.9238255098915,65,NA,NA,0,FALSE,TRUE,0.585,0.164280934377613,0.997991446050746,0.157647187434362,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:10,17.9238255098915,0.00280657517585907,0.00136655531625556,0.000814571601161828
"Nelder-Mead2",0.914794921875,12.4390219505676,26,NA,NA,0,TRUE,TRUE,0.259,2.33390046211515,0.842372125986782,1.98231998048321,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .10",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:05,12.4390219505676,NA,NA,NA
"Nelder-Mead11",0.969473152669244,12.3109857162803,61,NA,NA,0,FALSE,TRUE,0.562,118.76948113044,0.00140208923511298,60.6303989297243,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .10",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:10,12.3109857162803,-0.000567286697408065,1.41282092321022,0.708003321527738
"Nelder-Mead3",0.953125,12.2005878103297,20,NA,NA,0,TRUE,TRUE,0.159,1.14165871702253,0.957321378436773,1.61231551410492,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .100",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:05,12.2005878103297,NA,NA,NA
"Nelder-Mead12",1.1772496684442,10.3146677809014,69,NA,NA,0,FALSE,TRUE,0.655,1.87406444393657,0.946367773599542,1.362782455441,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .100",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:07,10.3146677809014,-0.00204953013421081,0.0703318160917004,0.0279015785835018
"Nelder-Mead4",0.9005859375,17.2757470743128,26,NA,NA,0,TRUE,TRUE,0.291,70.6004692416649,2.23976392987879e-12,123.824877193835,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1000",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:14,17.2757470743128,NA,NA,NA
"Nelder-Mead13",0.906748325882307,17.2746574025848,69,NA,NA,0,FALSE,TRUE,0.705,112.881446120456,0,44.3520706894902,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1000",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:18,17.2746574025848,-6.28166523277244e-05,0.328601062474629,0.282836751938172
"Nelder-Mead5",0.92919921875,13.6399694413468,24,NA,NA,0,TRUE,TRUE,0.199,2.94943785269305,0.834586802785371,2.2776720661589,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .101",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:16,13.6399694413468,NA,NA,NA
"Nelder-Mead14",0.830088186670552,13.301378078609,63,NA,NA,0,FALSE,TRUE,0.654,17.3831287779451,0.0127482011082829,12.2369290032856,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .101",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:20,13.301378078609,0.000984547800059943,0.196179273450092,0.0864240392096974
"Nelder-Mead6",1.07861328125,19.7638678081281,22,NA,NA,0,TRUE,TRUE,0.242000000000001,16.5576757435658,0.193034957885572,12.7908980512325,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .102",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:15,19.7638678081281,NA,NA,NA
"Nelder-Mead15",1.09433140746353,19.7579827909755,61,NA,NA,0,FALSE,TRUE,0.600999999999999,269.203275484408,0,102.465451461792,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .102",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:17,19.7579827909755,-0.000151414292167829,3.11811248627931,1.1600781729217
"Nelder-Mead7",1.214453125,27.6610201035801,24,NA,NA,0,TRUE,TRUE,0.188000000000001,1.02576529562312,0.825887842124692,2.34974879265605,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .103",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:21,27.6610201035801,NA,NA,NA
"Nelder-Mead16",1.22940908180951,27.6543774610379,61,NA,NA,0,FALSE,TRUE,0.593,0.154349326262003,0.999373291904268,0.0679539764993986,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .103",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:22,27.6543774610379,-0.000169440889612815,0.000251540328879733,0.000325032517523527
"Nelder-Mead8",1.057421875,17.1759966664234,24,NA,NA,0,TRUE,TRUE,0.244,1.01923510426073,0.953329341738553,1.36038626699887,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .104",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:22,17.1759966664234,NA,NA,NA
"Nelder-Mead17",1.06306325747459,17.1749949072328,63,NA,NA,0,FALSE,TRUE,0.577,0.870636910298892,0.998493944181215,1.33655168555762,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .104",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-22 15:31:23,17.1749949072328,-5.69073978972767e-05,0.115752318976148,0.0421835015725243
