"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead649",0.946484375,35.0009808240324,24,NA,NA,0,TRUE,TRUE,0.225000000000023,1.08689342286578,0.953616577494422,1.14659010694012,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .593",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:50:53,35.0009808240324,NA,NA,NA
"Nelder-Mead1549",1.10501297821555,34.5208676716662,65,NA,NA,0,FALSE,TRUE,0.63900000000001,0.403727374205208,0.999101849876925,0.675403498078152,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .593",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:50:55,34.5208676716662,-0.00110795535472334,0.0049834328345873,0.00209468642107216
"Nelder-Mead650",0.951953125,42.7843342082099,18,NA,NA,0,TRUE,TRUE,0.152000000000044,3.59219272550087,0.862970855460996,2.8996154213909,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .594",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:50:55,42.7843342082099,NA,NA,NA
"Nelder-Mead1550",0.734345808961763,42.1524453195383,61,NA,NA,0,FALSE,TRUE,0.649999999999977,0.111606095558698,0.999560533592531,0.104995631990938,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .594",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:50:59,42.1524453195383,0.00155539509499931,0.00191044311879353,0.000811178136334321
"Nelder-Mead651",0.97578125,24.6843363971649,22,NA,NA,0,TRUE,TRUE,0.197999999999979,1.80829051557102,0.965068182608252,2.17563347014421,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .595",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:50:57,24.6843363971649,NA,NA,NA
"Nelder-Mead1551",1.33396332825891,22.0402507145542,69,NA,NA,0,FALSE,TRUE,0.759000000000015,18.0985524618825,1.16415863615771e-08,7.21598051225429,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .595",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:50:59,22.0402507145542,-0.0022766427062308,0.158987004100996,0.0637085488021576
"Nelder-Mead652",1.0904296875,30.4118250542911,22,NA,NA,0,TRUE,TRUE,0.215000000000032,1.13503267516493,0.918248179071588,1.85786268212461,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .596",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:50:57,30.4118250542911,NA,NA,NA
"Nelder-Mead1552",1.16055876054547,30.3181524705177,63,NA,NA,0,FALSE,TRUE,0.625999999999976,1.20538381100562,0.981449324848806,1.77564766847886,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .596",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:50:59,30.3181524705177,-0.00044476295779532,0.0517467034468837,0.0192919792492917
"Nelder-Mead653",1.6666015625,67.7218728229501,28,NA,NA,0,TRUE,TRUE,0.246999999999957,3.25545351616883,0.0299999982625271,9.03187994932459,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .597",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:51:00,67.7218728229501,NA,NA,NA
"Nelder-Mead1553",2.29636294810773,56.2993584659825,73,NA,NA,0,FALSE,TRUE,0.865999999999985,14.3233279994764,0,5.25157097316914,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .597",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:51:02,56.2993584659825,-0.00417538541508833,0.0264964389443833,0.00977511664287305
"Nelder-Mead654",0.81884765625,28.0624125443654,26,NA,NA,0,TRUE,TRUE,0.247000000000071,0.669330470208257,0.903492401446588,0.910402956919202,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .598",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:51:01,28.0624125443654,NA,NA,NA
"Nelder-Mead1554",0.807252999973501,28.0604502811568,99,NA,NA,0,FALSE,TRUE,1.01999999999998,2.11327057211634,0.920389107925475,1.20789807800474,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .598",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:51:05,28.0604502811568,7.90518551048782e-05,0.0408173154170448,0.0156293476952483
"Nelder-Mead655",1.0072265625,31.3330738828809,22,NA,NA,0,TRUE,TRUE,0.205000000000041,1.45554233135138,0.991607552044531,1.47234712642071,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .599",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:51:01,31.3330738828809,NA,NA,NA
"Nelder-Mead1555",1.17028613282985,30.941870208453,65,NA,NA,0,FALSE,TRUE,0.678999999999974,1.66706560275955,0.960494860151097,1.03682426675633,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .599",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:51:03,30.941870208453,-0.0010107215504032,0.0487870620169703,0.0184099964150712
"Nelder-Mead656",0.76640625,30.4740767227642,26,NA,NA,0,TRUE,TRUE,0.251999999999953,5.85677802049138,0.171278667071945,7.52518405705385,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .6",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:51:05,30.4740767227642,NA,NA,NA
"Nelder-Mead1556",0.574880876676401,29.9384543054489,87,NA,NA,0,FALSE,TRUE,0.921000000000049,0.0603557260003556,0.999670899223967,0.0572871462678368,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .6",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:51:08,29.9384543054489,0.00139098912470088,0.000686956637080427,0.0004450943895973
"Nelder-Mead657",0.94580078125,20.335020857673,26,NA,NA,0,TRUE,TRUE,0.245999999999981,3.84350503305723,0.834983043625312,6.778418193679,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .60",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:51:05,20.335020857673,NA,NA,NA
"Nelder-Mead1557",1.08136000552627,19.8358097544036,59,NA,NA,0,FALSE,TRUE,0.629000000000019,0.385424286323464,0.99950844098788,0.148740549922262,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .60",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:51:07,19.8358097544036,-0.000908721353067676,0.00052871015358673,0.000351233070285263
"Nelder-Mead658",1.2580078125,23.6486071342922,26,NA,NA,0,TRUE,TRUE,0.283000000000015,55.0906313985416,0,98.6791909232648,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .600",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:51:07,23.6486071342922,NA,NA,NA
"Nelder-Mead1558",1.46023214134112,22.4982846394104,71,NA,NA,0,FALSE,TRUE,0.675999999999931,0.980286406702139,0.903235350962832,0.683313763976184,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .600",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-21 22:51:09,22.4982846394104,-0.00121298918525169,0.000463837692640492,0.000915709203798314
