"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",1.102734375,15.4538805212373,22,NA,NA,0,TRUE,TRUE,0.529,1.59136578936889,0.87013424445275,1.70838246717792,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .1",120,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-22 23:55:36,15.4538805212373,NA,NA,NA
"Nelder-Mead1",1.28204536581026,15.0848784254951,71,NA,NA,0,FALSE,TRUE,1.589,115.152658343648,0,41.4117790092642,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .1",120,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-22 23:55:41,15.0848784254951,-0.0012691394306195,0.708883238366165,0.255471861996685
"Nelder-Mead2",0.969140625,20.3291974205618,18,NA,NA,0,TRUE,TRUE,0.377,1.38536880435138,0.965899533975738,1.43696619014231,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .10",120,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-22 23:55:37,20.3291974205618,NA,NA,NA
"Nelder-Mead11",0.638384613905761,18.925392655152,67,NA,NA,0,FALSE,TRUE,1.556,0.0431692123425855,0.999878172860256,0.0364366731591822,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .10",120,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-22 23:55:46,18.925392655152,0.00228253131059271,0.000595557632320374,0.000333978938463553
"Nelder-Mead3",0.85576171875,11.8562211848537,26,NA,NA,0,TRUE,TRUE,0.503,2.49490124959968,0.718951630647591,4.76295694333161,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .100",120,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-22 23:55:37,11.8562211848537,NA,NA,NA
"Nelder-Mead12",0.942191058015935,11.7350127356503,63,NA,NA,0,FALSE,TRUE,1.467,27.7647466129612,0.275860706270127,14.5218185880448,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .100",120,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-22 23:55:46,11.7350127356503,-0.000659615094953736,0.221827204991192,0.101925676693265
"Nelder-Mead4",0.88203125,20.2154479144288,24,NA,NA,0,TRUE,TRUE,0.429,2.32511086353324,0.783861444360149,4.40955696746536,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .1000",120,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-22 23:55:48,20.2154479144288,NA,NA,NA
"Nelder-Mead13",0.305330567107836,16.7287239416977,77,NA,NA,0,FALSE,TRUE,1.606,12.5406267673309,0,6.10228275546937,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .1000",120,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-22 23:56:00,16.7287239416977,0.00395777320064339,0.0182553647335726,0.0305646517906924
"Nelder-Mead5",0.80185546875,15.6161033686235,26,NA,NA,0,TRUE,TRUE,0.485000000000001,7.47142458427601,0.138760683232218,8.63733814492866,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .101",120,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-22 23:55:55,15.6161033686235,NA,NA,NA
"Nelder-Mead14",1.05834415480572,14.9779332715002,65,NA,NA,0,FALSE,TRUE,1.595,14.8129267700955,0.688384657815623,8.1888092416777,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .101",120,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-22 23:56:00,14.9779332715002,-0.00183814541884626,0.0356913330673879,0.0179195522314791
"Nelder-Mead6",1.187890625,19.6231982315362,24,NA,NA,0,TRUE,TRUE,0.545,0.985383103228782,0.853115897290592,0.95326527558245,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .102",120,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-22 23:55:55,19.6231982315362,NA,NA,NA
"Nelder-Mead15",0.838214907892356,17.8971202925367,69,NA,NA,0,FALSE,TRUE,1.67,0.206281859814033,0.999443351081131,0.108211295262864,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .102",120,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-22 23:56:04,17.8971202925367,0.00257360533667226,0.00100723013236638,0.000526295635158915
