"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",1.066162109375,45829.5871431185,24,NA,NA,0,TRUE,TRUE,0.239,3.30777451456989,0.826767411207731,3.16438633528291,"MKT","PE",180,0,12,"1991","FW_VYP","L2_Lasso","linear",2020-07-04 12:15:18,8017.01808523986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",0.996467312262804,40252.4969274556,65,NA,NA,0,TRUE,TRUE,0.557,19.5844572757855,0,15.9531879399832,"ME","PE",180,0,12,"1991","FW_VYP","L2_Lasso","linear",2020-07-04 12:15:20,9032.30208375277,0.846983897021938,13.4449987154255,13.8264870024244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.00725341951818,44569.4688480729,67,NA,NA,0,TRUE,TRUE,0.558,5.89906069343011,1.22124532708767e-15,4.33760013821468,"IA","PE",180,0,12,"1991","FW_VYP","L2_Lasso","linear",2020-07-04 12:15:21,10170.3108838462,NA,NA,NA,0.462307398715637,17.8324395643221,10.085721685698,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",0.742131347131409,35565.7859329007,67,NA,NA,0,TRUE,TRUE,0.558,33.9393981774457,2.05592876056926e-10,15.3909692981014,"ROE","PE",180,0,12,"1991","FW_VYP","L2_Lasso","linear",2020-07-04 12:15:23,34596.7747686133,NA,NA,NA,NA,NA,NA,1.670064100123,9.22734162187931,4.10665066004912,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",0.733528793896383,39031.0813568913,57,NA,NA,0,TRUE,TRUE,0.477,24.6397067973177,0,11.6815367209816,"EG","PE",180,0,12,"1991","FW_VYP","L2_Lasso","linear",2020-07-04 12:15:24,21821.571944739,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.714686989308575,17.548138613231,7.9991342500945,NA,NA,NA
"Nelder-Mead5",0.566508990754919,39154.0339769242,69,NA,NA,0,FALSE,TRUE,0.536,28.6471376432173,0,12.2481949548193,"Alpha","PE",180,0,12,"1991","FW_VYP","L2_Lasso","linear",2020-07-04 12:15:27,8418.52650535779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00356077409766854,0.0806469254905895,0.0378341203640203
"Nelder-Mead6",0.651171875,8029.03436617359,26,NA,NA,0,TRUE,TRUE,0.208,2.66420708723195,0.352707542935122,2.50917345098764,"MKT","VC",180,0,12,"1991","FW_VYP","L2_Lasso","linear",2020-07-04 12:15:19,7611.33845915575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.01969741947855,4585.4952398212,71,NA,NA,0,TRUE,TRUE,0.555,5.28434519530656,0,4.03248110315584,"ME","VC",180,0,12,"1991","FW_VYP","L2_Lasso","linear",2020-07-04 12:15:21,5981.23784964191,-1.25822418946892,28.3994683251589,12.8965749289303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.03087570222972,5110.40343402017,67,NA,NA,0,TRUE,TRUE,0.548,5.98888943464813,0,7.09981519562494,"IA","VC",180,0,12,"1991","FW_VYP","L2_Lasso","linear",2020-07-04 12:15:24,7398.47140411296,NA,NA,NA,-1.95296243801292,38.2225074070403,17.7407800506784,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",1.32259692797416,5024.87045320815,65,NA,NA,0,TRUE,TRUE,0.569,33.8885392875897,0,15.161525964158,"ROE","VC",180,0,12,"1991","FW_VYP","L2_Lasso","linear",2020-07-04 12:15:26,7743.78584591749,NA,NA,NA,NA,NA,NA,-1.39710079904862,59.8288119385852,26.6325862136693,NA,NA,NA,NA,NA,NA
