"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead32",0.892681786631874,2813.45064376602,51,NA,NA,0,TRUE,TRUE,0.49,2.73373603559351,0.970224549612087,5.27228652473916,"ROE","PD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:36,2813.45064376602,NA,NA,NA,NA,NA,NA,0.0363662209281756,1.96122624010224,1.35979548064724,NA,NA,NA,NA,NA,NA
"Nelder-Mead42",0.782993789648293,2326.54630765418,65,NA,NA,0,TRUE,TRUE,0.645,1.01697254922443,0.0640301573523521,1.28560751491286,"EG","PD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:38,2326.54630765418,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.367873710122454,6.86742838563701,4.50928484799499,NA,NA,NA
"Nelder-Mead52",0.660601937275791,2309.30481984607,119,NA,NA,0,FALSE,TRUE,1.165,4.44034734942346,0.321148818636769,2.32413615716312,"Alpha","PD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:42,2309.30481984607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00201249460703324,0.0871099936185557,0.0384211537763925
"Nelder-Mead8",0.451171875,15970.0049369251,26,NA,NA,0,TRUE,TRUE,0.194000000000001,1.55463512434361,0.393533166904071,3.10432882621761,"MKT","RE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:44,15970.0049369251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",0.850967620413323,12726.1571397579,79,NA,NA,0,TRUE,TRUE,0.646999999999998,5.10019460352788,1.80420797191161e-08,3.86767643818839,"ME","RE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:46,12726.1571397579,-2.0293796764416,3.30047085165487,1.77428556195239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead23",0.871351114682756,12481.9946497763,79,NA,NA,0,TRUE,TRUE,0.625,4.66049320888908,1.3720568904585e-05,3.85432169032137,"IA","RE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:49,12481.9946497763,NA,NA,NA,-2.37803848949584,2.19022783000552,0.922759422271853,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead33",0.232686619012524,11715.2079219355,129,NA,NA,0,TRUE,TRUE,1.294,1.88174501878734,0,1.24335055123538,"ROE","RE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:52,11715.2079219355,NA,NA,NA,NA,NA,NA,3.82353720096478,3.43469128027993,4.89700987103089,NA,NA,NA,NA,NA,NA
"Nelder-Mead43",0.579276594666513,15915.8146276604,113,NA,NA,0,TRUE,TRUE,0.855,12.1493883106882,0.00111282958991854,10.8354375316002,"EG","RE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:55,15915.8146276604,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.322544709208415,26.9496794656148,27.2624777009415,NA,NA,NA
"Nelder-Mead53",1.69601412442538,14380.3971768058,73,NA,NA,0,FALSE,TRUE,0.52,21.9971524871621,0,10.1729408811068,"Alpha","RE",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:56,14380.3971768058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00957989486468537,0.134701848242721,0.0606737148927838
"Nelder-Mead9",0.0533203124999992,3243.85136096893,30,NA,NA,0,TRUE,TRUE,0.208,2.43667607403336,0.0210686638009707,4.76954664142167,"MKT","NATRES",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:44,3243.85136096893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead14",0.00295855442236555,3109.5503073468,73,NA,NA,0,TRUE,TRUE,0.549000000000003,2.60775061488231,0.000219918758514792,5.17590679794909,"ME","NATRES",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:47,3109.5503073468,0.743315840493596,3.9784831246065,4.98863859417191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead24",0.0441862884501452,3120.98471712249,67,NA,NA,0,TRUE,TRUE,0.503,2.64885291615462,0,3.90835560902025,"IA","NATRES",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:49,3120.98471712249,NA,NA,NA,0.732181761632091,21.0310389707692,33.5292623321006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead34",0.0299696582369498,3239.00291509603,53,NA,NA,0,TRUE,TRUE,0.440000000000001,3.50336717976758,0.198349140121921,7.85427079511572,"ROE","NATRES",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:52,3239.00291509603,NA,NA,NA,NA,NA,NA,0.166290529724211,11.6390391070889,30.1914642497754,NA,NA,NA,NA,NA,NA
"Nelder-Mead44",0.0324926252476862,3243.06783706909,57,NA,NA,0,TRUE,TRUE,0.500000000000004,7.42850158672633,0,16.3143120767218,"EG","NATRES",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:54,3243.06783706909,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0594721290748568,36.2295524053693,80.4732543115664,NA,NA,NA
"Nelder-Mead54",-0.388250720048016,3159.11932413822,89,NA,NA,0,FALSE,TRUE,0.439,41.2221195196858,0,27.339500718184,"Alpha","NATRES",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:57,3159.11932413822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00451145369012529,0.627718958861644,0.387826955781362
"Nelder-Mead10",0.54296875,4823.83855983866,26,NA,NA,0,TRUE,TRUE,0.0869999999999997,5.21190079616754,0.0172188256422053,5.30081787233814,"MKT","INF",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:49,4823.83855983866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead15",0.528926577884703,4816.81086984393,51,NA,NA,0,TRUE,TRUE,0.193000000000001,5.55669434961693,0.00580553949530049,5.46419739458941,"ME","INF",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:50,4816.81086984393,0.19417178039439,3.09301551130332,2.84142826953381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead25",0.550529836118221,4802.21300259731,57,NA,NA,0,TRUE,TRUE,0.229999999999997,6.39923705633618,0.000627822301398018,7.79686107555706,"IA","INF",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:52,4802.21300259731,NA,NA,NA,-0.261492892354727,3.94564822915859,10.5469761013492,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead35",0.519517114089103,4819.13922800408,49,NA,NA,0,TRUE,TRUE,0.142999999999997,6.2079683851988,0.106436716010488,6.07474853403689,"ROE","INF",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:53,4819.13922800408,NA,NA,NA,NA,NA,NA,0.125276788466726,6.95528610074517,5.43383634267988,NA,NA,NA,NA,NA,NA
"Nelder-Mead45",0.448075938317924,4786.95836947965,53,NA,NA,0,TRUE,TRUE,0.148,5.15811019498008,0.0541417795449636,5.46438536734171,"EG","INF",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:54,4786.95836947965,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256312475120649,1.81773780910204,1.72650403678173,NA,NA,NA
"Nelder-Mead55",0.347117105657147,4787.85213896941,103,NA,NA,0,FALSE,TRUE,0.337,3.37643427060722,0.0880780170235895,3.44413863766979,"Alpha","INF",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-04 12:17:56,4787.85213896941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00185186551031511,0.0481373122204863,0.0471961569786389
