"";"MKT";"HML";"SMB";"HDY";"QLT";"MOM";"ESG";"LOV";"type";"ensemble"
"1";1,2342315996372;-0,457008851550171;0;0;0;0;0;0;"PE";"Ensemble1"
"2";1,474879580785;0;-0,386481577485938;0;0;0;0;0;"PE";"Ensemble2"
"3";1,32522775101355;0;0;-0,687665233592768;0;0;0;0;"PE";"Ensemble3"
"4";1,5781190899248;0;0;0;-0,241153196321647;0;0;0;"PE";"Ensemble4"
"5";1,71187144854066;0;0;0;0;-0,602549528429426;0;0;"PE";"Ensemble5"
"6";1,43144575135663;0;0;0;0;0;7,87204563394103;0;"PE";"Ensemble6"
"7";1,46708960276992;0;0;0;0;0;0;-0,467610909453833;"PE";"Ensemble7"
"8";1,21896741495511;-0,460859919196809;0;0;0;0;0;0;"PE";"Ensemble8"
"9";1,4579920993594;0;-0,393547705406672;0;0;0;0;0;"PE";"Ensemble9"
"10";1,30520306176032;0;0;-0,705389187995505;0;0;0;0;"PE";"Ensemble10"
"11";1,54944099522682;0;0;0;-0,245355380428364;0;0;0;"PE";"Ensemble11"
"12";1,70249385980446;0;0;0;0;-0,643091991721093;0;0;"PE";"Ensemble12"
"13";1,42827751735418;0;0;0;0;0;8,38821837331914;0;"PE";"Ensemble13"
"14";1,45190318505356;0;0;0;0;0;0;-0,485921825070454;"PE";"Ensemble14"
"15";1,22031274322414;-0,430093388865043;0;0;0;0;0;0;"PE";"Ensemble15"
"16";1,44942287717125;0;-0,396016350934065;0;0;0;0;0;"PE";"Ensemble16"
"17";1,29746550070791;0;0;-0,703020563902496;0;0;0;0;"PE";"Ensemble17"
"18";1,52686191712986;0;0;0;-0,249589505219853;0;0;0;"PE";"Ensemble18"
"19";1,69133297632723;0;0;0;0;-0,668709272710441;0;0;"PE";"Ensemble19"
"20";1,42456947305219;0;0;0;0;0;9,00641146895025;0;"PE";"Ensemble20"
"21";1,44145701174166;0;0;0;0;0;0;-0,491683871463465;"PE";"Ensemble21"
"22";1,22060039930657;-0,389456522062392;0;0;0;0;0;0;"PE";"Ensemble22"
"23";1,43949542373721;0;-0,377029039456829;0;0;0;0;0;"PE";"Ensemble23"
