"";"Date";"idi.return";"date.chr";"factor.return";"type";"ensemble"
"65";2008-07-31;0;"2008-07-31";-0,0104467123687788;"PD";"Ensemble1"
"66";2008-08-31;0;"2008-08-31";-0,00426921084670852;"PD";"Ensemble1"
"67";2008-09-30;0;"2008-09-30";-0,0744246310857323;"PD";"Ensemble1"
"68";2008-10-31;0;"2008-10-31";-0,152573294966584;"PD";"Ensemble1"
"69";2008-11-30;0;"2008-11-30";-0,0386310892174366;"PD";"Ensemble1"
"70";2008-12-31;0,514246590528061;"2008-12-31";0,0252651168224847;"PD";"Ensemble1"
"71";2009-01-31;0;"2009-01-31";-0,10576289339731;"PD";"Ensemble1"
"72";2009-02-28;0;"2009-02-28";-0,1102633831839;"PD";"Ensemble1"
"73";2009-03-31;0;"2009-03-31";0,0705443785298021;"PD";"Ensemble1"
"74";2009-04-30;0;"2009-04-30";0,127024263782536;"PD";"Ensemble1"
"75";2009-05-31;0;"2009-05-31";0,084511825442359;"PD";"Ensemble1"
"76";2009-06-30;0;"2009-06-30";-0,011504935521915;"PD";"Ensemble1"
"77";2009-07-31;0;"2009-07-31";0,080764153893985;"PD";"Ensemble1"
"78";2009-08-31;0;"2009-08-31";0,0589750081755323;"PD";"Ensemble1"
"79";2009-09-30;0;"2009-09-30";0,0280319411789935;"PD";"Ensemble1"
"80";2009-10-31;0;"2009-10-31";-0,0253628118085775;"PD";"Ensemble1"
"81";2009-11-30;0;"2009-11-30";0,0339781692246393;"PD";"Ensemble1"
"82";2009-12-31;0;"2009-12-31";0,00622579088870727;"PD";"Ensemble1"
"83";2010-01-31;0;"2010-01-31";-0,0264576902709564;"PD";"Ensemble1"
"84";2010-02-28;0;"2010-02-28";0,00476723451431436;"PD";"Ensemble1"
"85";2010-03-31;0;"2010-03-31";0,0549551088529538;"PD";"Ensemble1"
"86";2010-04-30;0;"2010-04-30";-0,0017508579886583;"PD";"Ensemble1"
"87";2010-05-31;0;"2010-05-31";-0,0816174080918526;"PD";"Ensemble1"
"88";2010-06-30;0;"2010-06-30";-0,0291393498021508;"PD";"Ensemble1"
"89";2010-07-31;0;"2010-07-31";0,0736155434033361;"PD";"Ensemble1"
"90";2010-08-31;0;"2010-08-31";-0,0318098134843475;"PD";"Ensemble1"
"91";2010-09-30;0,0629437517826489;"2010-09-30";0,0643836809055525;"PD";"Ensemble1"
"92";2010-10-31;0;"2010-10-31";0,0252948720809662;"PD";"Ensemble1"
"93";2010-11-30;0;"2010-11-30";-0,029816439692286;"PD";"Ensemble1"
"94";2010-12-31;0,107149557171022;"2010-12-31";0,0708228556544122;"PD";"Ensemble1"
"95";2011-01-31;0;"2011-01-31";0,0336959097532103;"PD";"Ensemble1"
"96";2011-02-28;0;"2011-02-28";0,0359486643933774;"PD";"Ensemble1"
"97";2011-03-31;0;"2011-03-31";-0,0147966088914056;"PD";"Ensemble1"
"98";2011-04-30;0;"2011-04-30";0,0360117685437069;"PD";"Ensemble1"
"99";2011-05-31;0;"2011-05-31";-0,0212793196688326;"PD";"Ensemble1"
"100";2011-06-30;0;"2011-06-30";-0,0133633464541622;"PD";"Ensemble1"
"101";2011-07-31;0;"2011-07-31";-0,0285551093153911;"PD";"Ensemble1"
"102";2011-08-31;0;"2011-08-31";-0,06293490299076;"PD";"Ensemble1"
"103";2011-09-30;0;"2011-09-30";-0,0617796095292268;"PD";"Ensemble1"
"104";2011-10-31;0;"2011-10-31";0,0788425998169072;"PD";"Ensemble1"
"105";2011-11-30;0;"2011-11-30";-0,024374037326761;"PD";"Ensemble1"
"106";2011-12-31;0;"2011-12-31";0,0134313650762298;"PD";"Ensemble1"
"107";2012-01-31;0;"2012-01-31";0,0325361718593081;"PD";"Ensemble1"
"108";2012-02-29;0;"2012-02-29";0,0388363829812313;"PD";"Ensemble1"
"109";2012-03-31;0;"2012-03-31";0,00767480755388888;"PD";"Ensemble1"
"110";2012-04-30;0;"2012-04-30";-0,0164194855008228;"PD";"Ensemble1"
"111";2012-05-31;0;"2012-05-31";-0,0727953711516297;"PD";"Ensemble1"
"112";2012-06-30;0,00226743025470649;"2012-06-30";0,0576167186682676;"PD";"Ensemble1"
"113";2012-07-31;0;"2012-07-31";0,008970125364969;"PD";"Ensemble1"
"114";2012-08-31;0;"2012-08-31";0,0189484601155815;"PD";"Ensemble1"
"115";2012-09-30;0;"2012-09-30";0,0279352737361126;"PD";"Ensemble1"
"116";2012-10-31;0;"2012-10-31";0,00521048283178237;"PD";"Ensemble1"
"117";2012-11-30;0;"2012-11-30";0,00166472655616598;"PD";"Ensemble1"
"118";2012-12-31;0;"2012-12-31";0,0272924554546066;"PD";"Ensemble1"
"119";2013-01-31;0;"2013-01-31";0,0529990011702061;"PD";"Ensemble1"
"120";2013-02-28;0;"2013-02-28";-0,00376166351603459;"PD";"Ensemble1"
"121";2013-03-31;0;"2013-03-31";0,0172887051944758;"PD";"Ensemble1"
"122";2013-04-30;-0,165184726472354;"2013-04-30";0,0374306625497991;"PD";"Ensemble1"
"123";2013-05-31;0;"2013-05-31";0,000517450014115266;"PD";"Ensemble1"
"124";2013-06-30;0;"2013-06-30";-0,0179396414920331;"PD";"Ensemble1"
"125";2013-07-31;-0,0435159311214956;"2013-07-31";0,0443533623769118;"PD";"Ensemble1"
"126";2013-08-31;0;"2013-08-31";-0,0235586175585944;"PD";"Ensemble1"
"127";2013-09-30;0;"2013-09-30";0,0381710647315599;"PD";"Ensemble1"
"128";2013-10-31;0;"2013-10-31";0,0392322830439623;"PD";"Ensemble1"
"129";2013-11-30;0;"2013-11-30";0,0132139400619761;"PD";"Ensemble1"
"130";2013-12-31;0;"2013-12-31";0,0156283270887266;"PD";"Ensemble1"
"131";2014-01-31;0;"2014-01-31";-0,0308774319659887;"PD";"Ensemble1"
"132";2014-02-28;0;"2014-02-28";0,038844658546649;"PD";"Ensemble1"
"133";2014-03-31;0;"2014-03-31";0,0153750450306279;"PD";"Ensemble1"
"134";2014-04-30;0;"2014-04-30";0,0168616173501878;"PD";"Ensemble1"
"135";2014-05-31;0;"2014-05-31";0,00924402857458232;"PD";"Ensemble1"
"136";2014-06-30;0;"2014-06-30";0,0169822963210068;"PD";"Ensemble1"
"137";2014-07-31;0;"2014-07-31";-0,0134526230518355;"PD";"Ensemble1"
"138";2014-08-31;0;"2014-08-31";0,0129942367842199;"PD";"Ensemble1"
"139";2014-09-30;0;"2014-09-30";-0,0246605942590138;"PD";"Ensemble1"
"140";2014-10-31;0;"2014-10-31";-0,000529026897372216;"PD";"Ensemble1"
"141";2014-11-30;0;"2014-11-30";0,00765722196282606;"PD";"Ensemble1"
"142";2014-12-31;0;"2014-12-31";-0,0129471309806436;"PD";"Ensemble1"
"143";2015-01-31;-0,00722496851061051;"2015-01-31";-0,0254162145935582;"PD";"Ensemble1"
"144";2015-02-28;0;"2015-02-28";0,0439937089080046;"PD";"Ensemble1"
"145";2015-03-31;0;"2015-03-31";-0,019546626982581;"PD";"Ensemble1"
"146";2015-04-30;0;"2015-04-30";0,0299657926089976;"PD";"Ensemble1"
"147";2015-05-31;0;"2015-05-31";-0,00156089988196739;"PD";"Ensemble1"
"148";2015-06-30;0,0117162997734663;"2015-06-30";-0,0254764789176381;"PD";"Ensemble1"
"149";2015-07-31;0;"2015-07-31";0,00347488459424258;"PD";"Ensemble1"
"150";2015-08-31;0;"2015-08-31";-0,0539420330798685;"PD";"Ensemble1"
"151";2015-09-30;0;"2015-09-30";-0,0315411265389144;"PD";"Ensemble1"
"152";2015-10-31;0;"2015-10-31";0,0639758471570335;"PD";"Ensemble1"
"153";2015-11-30;0;"2015-11-30";-0,0086443913813103;"PD";"Ensemble1"
"154";2015-12-31;0,045413901595943;"2015-12-31";-0,016050392598568;"PD";"Ensemble1"
"155";2016-01-31;0;"2016-01-31";-0,0471492589627951;"PD";"Ensemble1"
"156";2016-02-29;0;"2016-02-29";-0,00394210657199137;"PD";"Ensemble1"
"157";2016-03-31;0;"2016-03-31";0,0603670742254753;"PD";"Ensemble1"
"158";2016-04-30;0;"2016-04-30";0,0252517281881844;"PD";"Ensemble1"
"159";2016-05-31;0;"2016-05-31";0,000432412092407347;"PD";"Ensemble1"
"160";2016-06-30;0;"2016-06-30";-0,00780153788119537;"PD";"Ensemble1"
"161";2016-07-31;0;"2016-07-31";0,0308842685436675;"PD";"Ensemble1"
"162";2016-08-31;0;"2016-08-31";0,0119011526255429;"PD";"Ensemble1"
"163";2016-09-30;0;"2016-09-30";0,00260246662608259;"PD";"Ensemble1"
"164";2016-10-31;0;"2016-10-31";-0,0005694583560899;"PD";"Ensemble1"
"165";2016-11-30;0;"2016-11-30";0,0289923143553594;"PD";"Ensemble1"
"166";2016-12-31;0;"2016-12-31";0,0346129273050682;"PD";"Ensemble1"
"167";2017-01-31;0;"2017-01-31";0,00768726247599788;"PD";"Ensemble1"
"168";2017-02-28;0;"2017-02-28";0,0191185023195308;"PD";"Ensemble1"
"169";2017-03-31;0;"2017-03-31";0,00322042278386487;"PD";"Ensemble1"
"170";2017-04-30;0;"2017-04-30";0,00195990849704626;"PD";"Ensemble1"
"171";2017-05-31;0;"2017-05-31";0,00455272551375206;"PD";"Ensemble1"
"172";2017-06-30;0;"2017-06-30";0,0162764626993004;"PD";"Ensemble1"
"173";2017-07-31;0;"2017-07-31";0,0196405892297578;"PD";"Ensemble1"
"174";2017-08-31;0;"2017-08-31";-0,00864597506098394;"PD";"Ensemble1"
"175";2017-09-30;0,00512940890966892;"2017-09-30";0,0294561522673351;"PD";"Ensemble1"
"176";2017-10-31;0;"2017-10-31";0,00648363527005466;"PD";"Ensemble1"
"177";2017-11-30;0;"2017-11-30";0,0186251053474282;"PD";"Ensemble1"
"178";2017-12-31;0;"2017-12-31";0,0137643769844383;"PD";"Ensemble1"
"179";2018-01-31;0;"2018-01-31";0,0337482111779114;"PD";"Ensemble1"
"180";2018-02-28;0;"2018-02-28";-0,0451745189589667;"PD";"Ensemble1"
"181";2018-03-31;0;"2018-03-31";-0,0167317656486954;"PD";"Ensemble1"
"182";2018-04-30;0;"2018-04-30";0,0141738109378265;"PD";"Ensemble1"
"183";2018-05-31;0;"2018-05-31";-0,0153831111328046;"PD";"Ensemble1"
"184";2018-06-30;0;"2018-06-30";0,000603483178783123;"PD";"Ensemble1"
"185";2018-07-31;0;"2018-07-31";0,0352860557376534;"PD";"Ensemble1"
"186";2018-08-31;0;"2018-08-31";-0,0086465070673867;"PD";"Ensemble1"
"187";2018-09-30;0;"2018-09-30";0,0113962175909675;"PD";"Ensemble1"
"188";2018-10-31;0;"2018-10-31";-0,0359471133203588;"PD";"Ensemble1"
"189";2018-11-30;0;"2018-11-30";0,0183697563520306;"PD";"Ensemble1"
"190";2018-12-31;0;"2018-12-31";-0,0640520629826249;"PD";"Ensemble1"
"191";2019-01-31;0;"2019-01-31";0,060628423341741;"PD";"Ensemble1"
"192";2019-02-28;0;"2019-02-28";0,0222679780898804;"PD";"Ensemble1"
