"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",0.89560546875,26.4707246969867,24,NA,NA,0,TRUE,TRUE,0.278,1.04198588786505,0.913378868511812,1.49321042650455,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .101",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-17 22:56:01,26.4707246969867,NA,NA,NA
"Nelder-Mead1",1.534432407195,21.7140783684291,79,NA,NA,0,FALSE,TRUE,0.819,1.54926440449851,0.709966631897827,0.929397111292923,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .101",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-17 22:56:03,21.7140783684291,-0.00363217115657482,0.0813156337012714,0.0302949515605608
"Nelder-Mead2",1.0861328125,30.882985364297,22,NA,NA,0,TRUE,TRUE,0.247,0.691977311992119,0.952472663609385,0.371885038316691,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .102",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-17 22:56:01,30.882985364297,NA,NA,NA
"Nelder-Mead11",0.854373722286027,28.986687109636,67,NA,NA,0,FALSE,TRUE,0.637,0.275378480906143,0.999196268549366,0.113863940623907,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .102",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-17 22:56:04,28.986687109636,0.00180615585627422,0.000670750963985246,0.000395102050118348
"Nelder-Mead3",0.896484375,20.0704284545554,26,NA,NA,0,TRUE,TRUE,0.277,0.799764930290551,0.934019978501303,0.814457934697074,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .103",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-17 22:56:02,20.0704284545554,NA,NA,NA
"Nelder-Mead12",0.978685155884568,19.9231187911387,59,NA,NA,0,FALSE,TRUE,0.544,2.4947876674353,0.998588214417471,1.25738653055625,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .103",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-17 22:56:05,19.9231187911387,-0.000548603964216454,0.0366684250065743,0.014437892905324
"Nelder-Mead4",1.2134765625,42.4505977380439,22,NA,NA,0,TRUE,TRUE,0.241,0.464997627531704,0.920926997617073,0.967205444823011,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .104",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-17 22:56:04,42.4505977380439,NA,NA,NA
"Nelder-Mead13",1.15475078446698,42.3907832987055,61,NA,NA,0,FALSE,TRUE,0.634,1.44046458346861,0.975464546674938,1.07301935666116,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .104",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-17 22:56:06,42.3907832987055,0.000395224061321642,0.0431164075078787,0.0180982925485382
"Nelder-Mead5",0.87265625,34.6388590117384,24,NA,NA,0,TRUE,TRUE,0.273000000000001,0.764744773669571,0.922420285306081,0.703504657813751,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .105",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-17 22:56:06,34.6388590117384,NA,NA,NA
"Nelder-Mead14",0.867418396316331,34.6384319099155,73,NA,NA,0,FALSE,TRUE,0.725,0.205026461940916,0.999630617799157,0.0911117246331449,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .105",240,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-17 22:56:09,34.6384319099155,3.54567207615659e-05,0.000263761076200418,0.000278656944086541
