"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",2.184375,40.6395012932075,26,NA,NA,0,TRUE,TRUE,0.214,0.56974341904485,0.499809282349021,0.57695996273722,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 18:14:25,40.6395012932075,NA,NA,NA
"Nelder-Mead1",3.10569274747211,25.8260701185628,95,NA,NA,0,FALSE,TRUE,0.7,0.260862727913642,0.859986374657945,0.253200824914211,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 18:14:27,25.8260701185628,-0.00406714785195502,0.0120476821423674,0.00497510138677309
"Nelder-Mead2",1.918359375,40.3451896392449,30,NA,NA,0,TRUE,TRUE,0.224,1.14082234392684,0.294783809254802,1.01845082654392,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .10",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 18:14:25,40.3451896392449,NA,NA,NA
"Nelder-Mead11",2.30395991278442,37.6033968487675,87,NA,NA,0,FALSE,TRUE,0.636,0.674784995045559,0.679122087338211,0.637884937724751,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .10",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 18:14:27,37.6033968487675,-0.00215320569889544,0.0840992974073682,0.0339191416787816
"Nelder-Mead3",1.93291015625,27.2468656804219,32,NA,NA,0,TRUE,TRUE,0.269,1.13155312657596,0.291133905268152,1.84316480733326,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .100",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 18:14:25,27.2468656804219,NA,NA,NA
"Nelder-Mead12",2.37165844863339,23.2723467907759,107,NA,NA,0,FALSE,TRUE,0.817,2.64815799991503,0.00136439319561632,1.0990656133771,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .100",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 18:14:28,23.2723467907759,-0.00259498889112459,0.000746172766875247,0.000837275053469597
"Nelder-Mead4",1.74677734375,26.8251107521138,30,NA,NA,0,TRUE,TRUE,0.210999999999999,3.42313405027199,0.0105786104118297,4.53286387680488,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1000",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 18:14:31,26.8251107521138,NA,NA,NA
"Nelder-Mead13",2.08779464960051,25.3105769426751,85,NA,NA,0,FALSE,TRUE,0.54,2.10110934932507,0.0734070981124957,1.23390008532371,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .1000",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 18:14:32,25.3105769426751,-0.00192319342995849,0.0444344053941453,0.0189161764861331
"Nelder-Mead5",2.11171875,49.8821911084867,28,NA,NA,0,TRUE,TRUE,0.173,1.2810872544756,0.154386061059998,1.85209412383649,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .101",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 18:14:31,49.8821911084867,NA,NA,NA
"Nelder-Mead14",3.10901605500987,41.0851730122393,79,NA,NA,0,FALSE,TRUE,0.515000000000001,0.996493894897428,0.109873308040852,0.633173055443648,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .101",180,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-06-24 18:14:32,41.0851730122393,-0.004087779330491,0.00244928160809004,0.00117572006204113
