"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",2.2232421875,130.067440212342,30,NA,NA,0,TRUE,TRUE,0.679,21.1779542998235,0,18.3414165002841,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .1",300,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-25 15:32:28,130.067440212342,NA,NA,NA
"Nelder-Mead1",3.81913958160127,61.5485666830434,111,NA,NA,0,FALSE,TRUE,2.948,2.13545376641116,1.34928547224078e-08,0.838485376980412,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .1",300,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-25 15:32:38,61.5485666830434,-0.0116824943491681,0.00074350562455669,0.00026323300153523
"Nelder-Mead2",2.03896484375,82.9822329794998,32,NA,NA,0,TRUE,TRUE,0.704,2.3657570478913,0.0139737139796602,3.01970805601596,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .10",300,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-25 15:32:28,82.9822329794998,NA,NA,NA
"Nelder-Mead11",2.72213073416457,69.9915482597508,81,NA,NA,0,FALSE,TRUE,1.975,3.31725190746418,8.18974360550229e-08,1.22781431430252,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .10",300,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-25 15:32:36,69.9915482597508,-0.00529620301787309,0.00300136532271847,0.00111073486598603
"Nelder-Mead3",2.0626953125,59.5529814259353,32,NA,NA,0,TRUE,TRUE,0.725,1.92606041134075,0.0406762159024364,3.24956600665789,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .100",300,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-25 15:32:28,59.5529814259353,NA,NA,NA
"Nelder-Mead12",2.63206694678425,50.8113077935817,101,NA,NA,0,FALSE,TRUE,2.595,25.5460328257617,0,9.59200964520363,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .100",300,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-25 15:32:37,50.8113077935817,-0.0046567373983699,0.148285813446845,0.0582019205079969
"Nelder-Mead4",1.97470703125,66.5076447566041,32,NA,NA,0,TRUE,TRUE,0.904,1.17000273547297,0.254115573275827,2.16962755633068,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .1000",300,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-25 15:32:51,66.5076447566041,NA,NA,NA
"Nelder-Mead13",2.29554555184603,64.8562340457519,73,NA,NA,0,FALSE,TRUE,1.62,35.6978721860276,0,13.6781030085648,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .1000",300,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-25 15:32:58,64.8562340457519,-0.00247873962041804,0.107049488208088,0.041563173153194
"Nelder-Mead5",2.0123046875,96.2180540886097,32,NA,NA,0,TRUE,TRUE,0.874000000000001,4.30981659700056,1.28380411137385e-05,4.02220832235602,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .101",300,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-25 15:32:53,96.2180540886097,NA,NA,NA
"Nelder-Mead14",3.3020762745878,68.7678800367901,81,NA,NA,0,FALSE,TRUE,1.98,2.59698031290343,1.72985878954535e-08,1.49234623938393,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .101",300,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-25 15:33:00,68.7678800367901,-0.00947483671860486,0.118791575465705,0.0482671229696305
