"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead1246",1.1552684511887,26.8509510616557,69,NA,NA,0,FALSE,TRUE,1.49200000000008,8.10664462925492,0.452793973379896,3.46239962704996,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .32",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:25:56,26.8509510616557,-0.00316066438057171,0.0373241184309687,0.0135618054293219
"Nelder-Mead347",0.4875,106.821003652134,26,NA,NA,0,TRUE,TRUE,0.509999999999991,1.04475034373204,0.592349403615157,0.46427622381296,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .320",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:25:53,106.821003652134,NA,NA,NA
"Nelder-Mead1247",2.36778952286216,72.3005051515147,107,NA,NA,0,FALSE,TRUE,2.4319999999999,7.34353928832187,0,2.87323466295993,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .320",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:25:58,72.3005051515147,-0.0116251113035927,0.044557382554979,0.0176086182578515
"Nelder-Mead348",0.897900390625,22.6663153458684,26,NA,NA,0,TRUE,TRUE,0.525999999999954,0.939280784858652,0.923599834761737,0.986567584315359,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .321",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:25:55,22.6663153458684,NA,NA,NA
"Nelder-Mead1248",1.11148091989917,21.5945277439009,79,NA,NA,0,FALSE,TRUE,1.798,0.000975395441696853,0.999999993980913,0.000373450491482792,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .321",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:25:59,21.5945277439009,-0.00159334386685261,0.000633941134798835,0.000231350805965576
"Nelder-Mead349",0.9966796875,50.3053048252655,20,NA,NA,0,TRUE,TRUE,0.343999999999937,1.42003635685845,0.996238016586451,1.09561430666795,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .322",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:25:58,50.3053048252655,NA,NA,NA
"Nelder-Mead1249",1.81455215212166,40.8049683468421,81,NA,NA,0,FALSE,TRUE,1.88600000000008,6.88992998747847,1.4449659690996e-07,2.40913138914029,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .322",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:02,40.8049683468421,-0.00643278028215398,0.043649119142667,0.0155331924976047
"Nelder-Mead350",1.02705078125,30.8102880585319,24,NA,NA,0,TRUE,TRUE,0.451999999999998,1.45000711667958,0.968711938388445,2.14983362416252,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .323",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:00,30.8102880585319,NA,NA,NA
"Nelder-Mead1250",1.14996943263504,30.3722105923243,61,NA,NA,0,FALSE,TRUE,1.32799999999997,9.04436614142516,0.398534775718837,4.56525220841197,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .323",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:03,30.3722105923243,-0.000897907068062409,0.0656948352656206,0.0271348647481891
"Nelder-Mead351",0.83076171875,29.9536495848582,26,NA,NA,0,TRUE,TRUE,0.535000000000082,1.49036513747725,0.800865737667821,1.40113965632416,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .324",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:02,29.9536495848582,NA,NA,NA
"Nelder-Mead1251",0.95967588301202,29.696331856517,77,NA,NA,0,FALSE,TRUE,1.72000000000003,13.9152978311534,0.85436725137141,5.78136203717464,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .324",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:09,29.696331856517,-0.000944525296396671,0.0661039418121783,0.0249791481991371
"Nelder-Mead352",0.9373046875,46.229722566909,24,NA,NA,0,TRUE,TRUE,0.442000000000007,1.51482048088728,0.924336953207215,1.5328593275234,"MKT","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .325",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:06,46.229722566909,NA,NA,NA
"Nelder-Mead1252",1.13254174237086,45.4316903645332,65,NA,NA,0,FALSE,TRUE,1.404,229.937498393969,0,94.3700315887147,"Alpha","sdf:ea stdv:0.2 #d:15 #f:20 #y:19 .325",360,0,12,"ALL","EW_VYP","L2_Lasso","exp.aff",2020-06-23 03:26:09,45.4316903645332,-0.00150121020860752,1.38636910105226,0.560701184565497
