"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",0.858203125,1.14803964370624,22,NA,NA,0,TRUE,TRUE,6.735,0.48357625734633,0.94533221589404,0.218155645000512,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .151",180,0,12,"ALL","EW","L2_Lasso","linear",2020-06-20 19:11:03,1.14803964370624,NA,NA,NA
"Nelder-Mead1",0.466895766416084,1.09794795125516,89,NA,NA,0,FALSE,TRUE,29.61,0.321526564907884,0.985420573886825,0.164052947018984,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .151",180,0,12,"ALL","EW","L2_Lasso","linear",2020-06-20 19:25:52,1.09794795125516,0.00407477602858145,0.00525246835237163,0.00127782643316927
"Nelder-Mead2",0.972265625,0.772907210306513,20,NA,NA,0,TRUE,TRUE,6.043,0.350967997829689,0.992233611617668,0.284128926636181,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .152",180,0,12,"ALL","EW","L2_Lasso","linear",2020-06-20 19:11:01,0.772907210306513,NA,NA,NA
"Nelder-Mead11",0.803607729656642,0.769061213562851,57,NA,NA,0,FALSE,TRUE,18.301,1.01595258788733,0.980291519485005,0.231267778974946,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .152",180,0,12,"ALL","EW","L2_Lasso","linear",2020-06-20 19:21:18,0.769061213562851,0.00128531277268849,0.000632445686322933,0.000833999009236444
"Nelder-Mead3",1.0109375,1.17224349561736,18,NA,NA,0,TRUE,TRUE,5.242,0.423970808731328,0.996300078357643,0.226901875214619,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .153",180,0,12,"ALL","EW","L2_Lasso","linear",2020-06-20 19:09:11,1.17224349561736,NA,NA,NA
"Nelder-Mead12",0.626111602719106,1.15293653251543,55,NA,NA,0,FALSE,TRUE,19.871,0.0128583232713373,0.99998853804279,0.00507648971866125,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .153",180,0,12,"ALL","EW","L2_Lasso","linear",2020-06-20 19:23:43,1.15293653251543,0.00322534849124168,0.00630709222596279,0.00181274530694964
"Nelder-Mead4",0.85,2.2458606797765,16,NA,NA,0,TRUE,TRUE,4.70499999999998,0.286447022105005,0.965727797232613,0.202754783811995,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .154",180,0,12,"ALL","EW","L2_Lasso","linear",2020-06-20 19:30:56,2.2458606797765,NA,NA,NA
"Nelder-Mead13",0.096581481999848,2.07540164394492,67,NA,NA,0,TRUE,TRUE,17.806,8.2148356146806,1.09223741162623e-12,1.741304973043,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .154",180,0,12,"ALL","EW","L2_Lasso","linear",2020-06-20 19:35:37,2.07540164394492,0.00833330240539923,0.063921491571474,0.0124129063913267
"Nelder-Mead5",0.56328125,0.9417752694696,24,NA,NA,0,TRUE,TRUE,7.67400000000001,0.502179796497595,0.826407534328171,0.219832109306421,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .155",180,0,12,"ALL","EW","L2_Lasso","linear",2020-06-20 19:33:45,0.9417752694696,NA,NA,NA
"Nelder-Mead14",0.220145141357487,0.92605739343626,103,NA,NA,0,FALSE,TRUE,28.713,0.72554239720831,0.852073667116222,0.176161697617103,"Alpha","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .155",180,0,12,"ALL","EW","L2_Lasso","linear",2020-06-20 19:38:08,0.92605739343626,0.00309284594592933,0.00424551736951291,0.00104512219156223
"Nelder-Mead6",0.7689453125,0.724737299539639,24,NA,NA,0,TRUE,TRUE,7.589,0.572368407884217,0.894787816756047,0.274996198061129,"MKT","sdf:sl stdv:0.2 #d:15 #f:20 #y:19 .156",180,0,12,"ALL","EW","L2_Lasso","linear",2020-06-20 19:32:34,0.724737299539639,NA,NA,NA
