"","MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.24559854988236,-0.98222068496425,24833.1476055682,65,NA,NA,0,TRUE,TRUE,0.712000000000046,1.65239630985388,6.00866598505861,2.6355737592354e-09,1.09269099522718,2.44974740674123,"HML","BO",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:11,24833.1476055682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.3285766746696,NA,24804.7704096012,59,NA,NA,0,TRUE,TRUE,0.617000000000019,6.20140344998536,NA,0,3.49908728242815,NA,"SMB","BO",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:13,24804.7704096012,0.765161294702557,51.1876282702537,31.2615451798676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.51620158253848,NA,26848.1968864381,65,NA,NA,0,TRUE,TRUE,0.718999999999994,0.972060142517572,NA,0,0.900732777193458,NA,"HDY","BO",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:15,26848.1968864381,NA,NA,NA,0.679141779213433,12.5385106411941,5.47560012193822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.19229282029144,NA,23103.2031964519,61,NA,NA,0,TRUE,TRUE,0.622000000000014,7.21247667958713,NA,0,3.00222812260311,NA,"QLT","BO",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:17,23103.2031964519,NA,NA,NA,NA,NA,NA,0.718884346362938,24.2876994299804,10.3518651524376,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.1041811439866,NA,23944.6501580809,65,NA,NA,0,TRUE,TRUE,0.663999999999987,1.96976986664018,NA,0.00249567721178767,0.833138232806321,NA,"MOM","BO",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:19,23944.6501580809,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19165317037664,2.76060732794163,1.13861640728403,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.54443373948993,NA,26630.5012127961,81,NA,NA,0,TRUE,TRUE,0.843999999999994,1.08990579679323,NA,0,0.954382635427646,NA,"ESG","BO",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:21,26630.5012127961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.83271022149385,24.8255810404714,11.8187195315231,NA,NA,NA
"Nelder-Mead6",1.19725666718385,NA,19289.6840516807,77,NA,NA,0,TRUE,TRUE,0.811000000000035,33.3095393508481,NA,0,16.4736870568198,NA,"LOV","BO",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:23,19289.6840516807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.00159584229454,43.468083779855,29.6587584224367
"Nelder-Mead7",0.963838628274971,-0.699823927519902,2932.93805441904,51,NA,NA,0,FALSE,TRUE,0.382999999999981,4.31616992831087,13.3458294667437,0,1.88383515029372,9.06638775992451,"HML","DD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:25,2932.93805441904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",0.854729784496516,NA,1951.49807900007,57,NA,NA,0,TRUE,TRUE,0.418999999999983,5.08111515596578,NA,0,3.02131537250349,NA,"SMB","DD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:26,1951.49807900007,0.798496054195636,27.5702285604328,17.6882047436244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.118125210164,NA,2925.14873536934,63,NA,NA,0,TRUE,TRUE,0.465000000000032,1.17587925519704,NA,0,1.1806042032369,NA,"HDY","DD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:28,2925.14873536934,NA,NA,NA,0.954203098586004,35.9829888431701,17.3399049701592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",0.918989923230401,NA,2486.06132515049,61,NA,NA,0,TRUE,TRUE,0.454000000000008,1.80180327703852,NA,0.00693693699191844,0.900565114995935,NA,"QLT","DD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:29,2486.06132515049,NA,NA,NA,NA,NA,NA,0.655219896235576,5.02725602258279,3.42267065614454,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead41",1.13665010556827,NA,3119.92631264831,53,NA,NA,0,TRUE,TRUE,0.403999999999996,1.54315987041711,NA,0.779026982440054,2.54147279492457,NA,"MOM","DD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:31,3119.92631264831,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.177726196324306,3.72985341593217,1.73657519935503,NA,NA,NA,NA,NA,NA
"Nelder-Mead51",1.18930771659396,NA,2792.55857901613,71,NA,NA,0,TRUE,TRUE,0.52800000000002,3.80075570876381,NA,0,2.07797952821077,NA,"ESG","DD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:32,2792.55857901613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.91654406821853,16.9409375233522,7.59460831517768,NA,NA,NA
"Nelder-Mead61",1.03240144632142,NA,2596.45783739028,63,NA,NA,0,TRUE,TRUE,0.475000000000023,1.40499104284172,NA,5.73337713083433e-07,2.86826604070895,NA,"LOV","DD",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:34,2596.45783739028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21352153288848,4.38271234031334,8.01833935067706
"Nelder-Mead8",0.804373163303472,-1.79186748106673,1426.22187497826,73,NA,NA,0,TRUE,TRUE,0.452999999999975,43.4897494796356,61.5804945073308,0,19.7739842035302,29.6970227000332,"HML","FOF",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:36,1426.22187497826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",1.45947865853168,NA,1362.89656609139,67,NA,NA,0,TRUE,TRUE,0.413999999999987,6.91032415947631,NA,0,3.72890027264515,NA,"SMB","FOF",180,0,12,"ALL","FW_VYP","L2_Lasso","linear",2020-07-03 21:05:38,1362.89656609139,-0.991584287247364,20.5201508147446,9.44914917876368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
