"","MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.3207515281656,-0.347090935736924,20580.6374794342,49,NA,NA,0,TRUE,TRUE,0.701,0.696874918130714,8.34343844032879,0.0175476894145883,0.944743970226463,3.46393560608269,"HML","BO",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:40:12,20580.6374794342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.31123597680785,NA,19184.9561727882,59,NA,NA,0,TRUE,TRUE,0.901999999999999,1.765694143418,NA,0,1.07024513485548,NA,"SMB","BO",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:40:14,19184.9561727882,0.631778596824506,16.256061740262,10.646178644011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.47367194763303,NA,19966.7714313044,67,NA,NA,0,TRUE,TRUE,1.052,1.15454456831403,NA,0,0.857901726422197,NA,"HDY","BO",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:40:17,19966.7714313044,NA,NA,NA,0.939810640734246,18.4642221078586,8.42082435228518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.09489282487039,NA,18050.4532009091,61,NA,NA,0,TRUE,TRUE,0.938000000000001,4.16137282864532,NA,0,1.54133032650376,NA,"QLT","BO",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:40:20,18050.4532009091,NA,NA,NA,NA,NA,NA,0.905468508543436,17.8252815277713,6.82556760028564,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.0348692642796,NA,18183.7699773542,65,NA,NA,0,TRUE,TRUE,1.155,1.97307591730932,NA,0.00466082122083811,0.759795907803343,NA,"MOM","BO",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:40:23,18183.7699773542,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15709531972456,2.78051091316458,1.21749834962662,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.46856079417011,NA,20577.4087125687,71,NA,NA,0,TRUE,TRUE,1.064,1.35105904628577,NA,0,0.93433762639119,NA,"ESG","BO",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:40:26,20577.4087125687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.27206668438885,34.811238471185,15.23367044915,NA,NA,NA
"Nelder-Mead6",1.18517652493526,NA,14136.6615957592,69,NA,NA,0,TRUE,TRUE,1.113,2.68646131947546,NA,0,2.78103173964111,NA,"LOV","BO",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:40:29,14136.6615957592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77956500749006,8.68437693601771,6.94295728307921
"Nelder-Mead7",0.983448509099662,-0.279690512309748,3517.20577692322,69,NA,NA,0,TRUE,TRUE,0.765,10.8872913347542,32.6414092218141,0,4.88070214148433,13.1035731660921,"HML","DD",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:40:11,3517.20577692322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",0.881768826551842,NA,2916.11374996028,53,NA,NA,0,TRUE,TRUE,0.585999999999999,2.9583537175679,NA,0,1.52983265784736,NA,"SMB","DD",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:40:13,2916.11374996028,0.842465540923217,16.225887835551,10.115736337422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.06437196939623,NA,3508.47212209516,45,NA,NA,0,TRUE,TRUE,0.429,0.60484040869534,NA,0.0479813439202397,1.10833533716748,NA,"HDY","DD",150,0,12,"ALL","EW_VYP","L2_Lasso","linear",2020-07-03 21:40:14,3508.47212209516,NA,NA,NA,0.43073738301955,5.78158263312685,2.9305828444289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
