"","MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.37405442416286,-0.361352994062339,84875.1822808077,87,NA,NA,0,FALSE,TRUE,1.44000000000005,0.000180058385266044,0.000579421970760145,0.999999985523108,0.000179642736497622,0.000234342014707794,"HML","BO",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-06 12:25:28,84875.1822808077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.43149633608669,NA,74481.23304206,107,NA,NA,0,FALSE,FALSE,1.55999999999995,0.000180204273900452,NA,0.999991417287633,0.000167873904361718,NA,"SMB","BO",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-06 12:25:31,74481.23304206,0.877176873052007,0.00480568046609626,0.00338788643321013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.62563534152324,NA,75660.1059137244,123,NA,NA,0,FALSE,TRUE,1.71000000000004,0.00019996463833779,NA,0.999999874591764,0.000132082159353548,NA,"HDY","BO",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-06 12:25:34,75660.1059137244,NA,NA,NA,1.69489815403299,0.000226567464363383,0.000114167013163912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.01360960578924,NA,70886.2014735578,153,NA,NA,0,FALSE,TRUE,2.11000000000013,0.000488494035079439,NA,0.999999995281883,0.000188449032782471,NA,"QLT","BO",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-06 12:25:38,70886.2014735578,NA,NA,NA,NA,NA,NA,1.13127060173113,9.11037857574514e-05,6.35151517450151e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",0.929163748389611,NA,69136.2670671214,107,NA,NA,0,FALSE,TRUE,1.45000000000005,0.000299187793027598,NA,0.999999991714841,0.000112182988558303,NA,"MOM","BO",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-06 12:25:41,69136.2670671214,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39818529423533,9.87272806663066e-05,5.81475869801698e-05,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.47693429135339,NA,83159.136925302,131,NA,NA,0,FALSE,TRUE,1.70000000000005,0.000271582626753228,NA,0.99999502009962,0.000206497012739486,NA,"ESG","BO",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-06 12:25:44,83159.136925302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38848199713235,0.000476651650057933,0.00019482971196634,NA,NA,NA
"Nelder-Mead6",1.24791964741025,NA,56860.8659476983,135,NA,NA,0,FALSE,TRUE,2.02999999999997,0.000146418566244752,NA,0.999999819115769,0.000132205291092969,NA,"LOV","BO",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-06 12:25:48,56860.8659476983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11362622009116,0.000287852542201611,0.000159063376892475
"Nelder-Mead7",0.993602910004498,-0.558670468742126,12211.4181929561,117,NA,NA,0,FALSE,TRUE,1.38999999999987,0.000116154174515044,0.000317000203366129,0.999999984439061,7.48895166800134e-05,0.00013281531279268,"HML","DD",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-06 12:25:53,12211.4181929561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.02532486292334,NA,11250.1156926304,135,NA,NA,0,FALSE,TRUE,1.46000000000004,0.000154275116060905,NA,0.999999995852302,9.12402466094514e-05,NA,"SMB","DD",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-06 12:25:55,11250.1156926304,0.766193278584972,0.000118906575298146,7.94907238440849e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.08507887323877,NA,12427.9204088695,105,NA,NA,0,FALSE,TRUE,1.33999999999992,6.48266183505508e-05,NA,0.999999999168952,8.68079763435444e-05,NA,"HDY","DD",120,0,12,"ALL","EW_VYP","L1_Ridge","linear",2020-07-06 12:25:58,12427.9204088695,NA,NA,NA,0.18033557882774,0.000210021353135111,0.00010388591468898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
