"","Type","max.quarter","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep"
"661","PE",40,2.69140625,1.80225149743293,1.27843226975244,"MKT",2.69140625,1.80225149743293,1.27843226975244
"662","PE",40,1.60332653361911,3.25671378669566,1.93088654407015,"ME",1.60332653361911,3.25671378669566,1.93088654407015
"663","PE",40,1.98219823691162,2.37713274725466,1.11388984747985,"IA",1.98219823691162,2.37713274725466,1.11388984747985
"664","PE",40,2.19890809938913,2.14196698588311,1.52902709530863,"ROE",3.13419234984988,4.03602940365425,0.959422183885493
"665","PE",40,2.01794944343437,3.29506015596789,1.35477127195579,"EG",2.01794944343437,3.29506015596789,1.35477127195579
"666","PE",40,-0.508798943735113,7.02012148997441,0.824200906956289,"Alpha",-0.508798943735113,7.02012148997441,0.824200906956289
"667","VC",40,2.70078125,2.05783247204762,0.861810010297129,"MKT",2.70078125,2.05783247204762,0.861810010297129
"668","VC",40,3.64404733332395,8.07114135276586,1.19556196078964,"ME",3.64404733332395,8.07114135276586,1.19556196078964
"669","VC",40,2.76196344253346,1.967257515377,0.907536276731308,"IA",2.76196344253346,1.967257515377,0.907536276731308
"670","VC",40,2.75743398006307,1.9833573967258,0.882067641963524,"ROE",-0.414807073732663,4.54110142620966,0.984039685004739
"671","VC",40,2.74351931151567,1.97753854127755,0.888864348526867,"EG",2.74351931151567,1.97753854127755,0.888864348526867
"672","VC",40,2.79056359168035,6.4123107678928,1.1371534300257,"Alpha",2.79056359168035,6.4123107678928,1.1371534300257
"673","PD",40,1.7578125,35.9451456131254,37.4413724698088,"MKT",1.7578125,35.9451456131254,37.4413724698088
"674","PD",40,1.36513857741502,37.3607685843197,29.3957815001117,"ME",1.36513857741502,37.3607685843197,29.3957815001117
"675","PD",40,1.66603291209321,15.0671407569009,5.13425810820742,"IA",1.66603291209321,15.0671407569009,5.13425810820742
"676","PD",40,1.98856262116656,8.86915837329474,2.73753005964237,"ROE",2.47843666271913,16.8120178659287,7.18050578143492
"677","PD",40,1.43463526204343,1.4548075785294,3.54629621238465,"EG",1.43463526204343,1.4548075785294,3.54629621238465
"678","PD",40,0.573691374981612,16.2904068407369,4.1264547196172,"Alpha",0.573691374981612,16.2904068407369,4.1264547196172
"679","RE",40,1.4046875,2.04380514416864,1.10403284109552,"MKT",1.4046875,2.04380514416864,1.10403284109552
"680","RE",40,0.114022095092514,7.49119492860773,1.6022285804731,"ME",0.114022095092514,7.49119492860773,1.6022285804731
"681","RE",40,1.23003922061471,3.32111836076446,2.15418720863187,"IA",1.23003922061471,3.32111836076446,2.15418720863187
"682","RE",40,1.25060528805836,2.07557687506175,1.65448255042017,"ROE",3.44765805126146,3.16891363373647,1.08126774680832
"683","RE",40,0.831211004642732,3.12520063447547,2.14127139586337,"EG",0.831211004642732,3.12520063447547,2.14127139586337
"684","RE",40,-1.58524236245659,3.27659242880908,0.533229840818348,"Alpha",-1.58524236245659,3.27659242880908,0.533229840818348
"685","NATRES",40,-0.208593750000001,1.2936769823736,2.65444617306985,"MKT",-0.208593750000001,1.2936769823736,2.65444617306985
"686","NATRES",40,-1.10148628286261,8.56582654251778,3.15167345799266,"ME",-1.10148628286261,8.56582654251778,3.15167345799266
"687","NATRES",40,-0.972254747464105,2.92170574777603,2.33495826574713,"IA",-0.972254747464105,2.92170574777603,2.33495826574713
"688","NATRES",40,-0.30943174601789,1.70530873099241,2.50857742744603,"ROE",3.15072724260938,3.04606181566571,3.01854436321999
"689","NATRES",40,-0.688750093697301,2.46807054117397,2.35005018760209,"EG",-0.688750093697301,2.46807054117397,2.35005018760209
"690","NATRES",40,-2.2527779891208,31.5811562733637,12.4282426388732,"Alpha",-2.2527779891208,31.5811562733637,12.4282426388732
"691","INF",40,2.36875,3.52350089139024,2.40246362735637,"MKT",2.36875,3.52350089139024,2.40246362735637
"692","INF",40,4.07510365006261,53.405747607176,19.623235228664,"ME",4.07510365006261,53.405747607176,19.623235228664
"693","INF",40,1.61898575429806,0.999633066345409,2.04470821223077,"IA",1.61898575429806,0.999633066345409,2.04470821223077
"694","INF",40,1.35157947891715,12.9490714376769,8.11676060199267,"ROE",5.82459480959253,25.3984540098685,28.2259963378773
"695","INF",40,1.65142384421698,1.22994654096409,2.46793138453579,"EG",1.65142384421698,1.22994654096409,2.46793138453579
"696","INF",40,-0.785548637949628,64.5564811692247,18.245045935945,"Alpha",-0.785548637949628,64.5564811692247,18.245045935945
"697","PE",60,2.51015625,1.88768968150779,1.47988413964815,"MKT",2.51015625,1.88768968150779,1.47988413964815
"698","PE",60,1.46982785801902,5.59174775000708,1.81521255094146,"ME",1.46982785801902,5.59174775000708,1.81521255094146
"699","PE",60,1.88421897963336,5.46701699748358,1.38933475159406,"IA",1.88421897963336,5.46701699748358,1.38933475159406
"700","PE",60,2.09672081366496,4.48199409617686,1.94776219651938,"ROE",2.33566591774442,7.24636511356229,1.46589864030701
"701","PE",60,1.9745761549952,3.85123305967444,1.69526946168983,"EG",1.9745761549952,3.85123305967444,1.69526946168983
"702","PE",60,-0.292837130142025,8.45053977827839,1.21831002514235,"Alpha",-0.292837130142025,8.45053977827839,1.21831002514235
"703","VC",60,2.125,1.43024159136768,0.936262968714491,"MKT",2.125,1.43024159136768,0.936262968714491
"704","VC",60,3.56386626385587,8.69379632020985,1.25660736032735,"ME",3.56386626385587,8.69379632020985,1.25660736032735
"705","VC",60,2.2234294181737,1.61702386853941,0.927815295611018,"IA",2.2234294181737,1.61702386853941,0.927815295611018
