"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.quarter","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",2.69140625,218.468672043392,28,NA,NA,0,TRUE,TRUE,37.919,1.80225149743293,0.00230109837622194,1.27843226975244,"MKT","PE",40,0,12,"ALL","FW","L2_Lasso","exp.aff",2020-04-12 22:53:55,218.468672043392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.60332653361911,213.551685449079,57,NA,NA,0,TRUE,TRUE,78.943,3.25671378669566,0,1.93088654407015,"ME","PE",40,0,12,"ALL","FW","L2_Lasso","exp.aff",2020-04-12 23:00:34,213.551685449079,1.1360271186415,10.3239960103948,1.84792922169191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.98219823691162,213.138154146338,73,NA,NA,0,TRUE,TRUE,72.4970000000001,2.37713274725466,0,1.11388984747985,"IA","PE",40,0,12,"ALL","FW","L2_Lasso","exp.aff",2020-04-12 23:05:37,213.138154146338,NA,NA,NA,3.27380533497013,15.7647076762593,2.36139778898905,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",2.19890809938913,180.039191412635,77,NA,NA,0,TRUE,TRUE,76.614,2.14196698588311,0,1.52902709530863,"ROE","PE",40,0,12,"ALL","FW","L2_Lasso","exp.aff",2020-04-12 23:10:43,180.039191412635,NA,NA,NA,NA,NA,NA,3.13419234984988,4.03602940365425,0.959422183885493,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",2.01794944343437,209.08900246895,69,NA,NA,0,TRUE,TRUE,67.355,3.29506015596789,0,1.35477127195579,"EG","PE",40,0,12,"ALL","FW","L2_Lasso","exp.aff",2020-04-12 23:15:37,209.08900246895,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4821553882169,7.69783699927666,1.8204055750781,NA,NA,NA
"Nelder-Mead5",-0.508798943735113,168.735934664889,85,NA,NA,0,FALSE,TRUE,79.8400000000001,7.02012148997441,0,0.824200906956289,"Alpha","PE",40,0,12,"ALL","FW","L2_Lasso","exp.aff",2020-04-12 23:23:52,168.735934664889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0300473974234407,0.0492108821010058,0.0045847244455513
"Nelder-Mead6",2.70078125,118.732731455882,28,NA,NA,0,TRUE,TRUE,11.045,2.05783247204762,0.000465392771659912,0.861810010297129,"MKT","VC",40,0,12,"ALL","FW","L2_Lasso","exp.aff",2020-04-12 22:50:23,118.732731455882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",3.64404733332395,112.244477475118,67,NA,NA,0,TRUE,TRUE,28.387,8.07114135276586,0,1.19556196078964,"ME","VC",40,0,12,"ALL","FW","L2_Lasso","exp.aff",2020-04-12 22:52:03,112.244477475118,-1.35751663947591,10.5437479013067,1.31232986770743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",2.76196344253346,117.94392262688,89,NA,NA,0,TRUE,TRUE,36.482,1.967257515377,0,0.907536276731308,"IA","VC",40,0,12,"ALL","FW","L2_Lasso","exp.aff",2020-04-12 22:53:51,117.94392262688,NA,NA,NA,-1.32087574725614,7.49849710252153,1.68483847253986,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",2.75743398006307,118.425878429784,61,NA,NA,0,TRUE,TRUE,26.056,1.9833573967258,0.00034189668920892,0.882067641963524,"ROE","VC",40,0,12,"ALL","FW","L2_Lasso","exp.aff",2020-04-12 22:55:31,118.425878429784,NA,NA,NA,NA,NA,NA,-0.414807073732663,4.54110142620966,0.984039685004739,NA,NA,NA,NA,NA,NA
"Nelder-Mead41",2.74351931151567,118.676428974919,65,NA,NA,0,TRUE,TRUE,27.72,1.97753854127755,3.77761702696766e-07,0.888864348526867,"EG","VC",40,0,12,"ALL","FW","L2_Lasso","exp.aff",2020-04-12 22:57:13,118.676428974919,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.327299796931386,11.411870935893,2.08653545287258,NA,NA,NA
