"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","Factor","Type","max.quarter","lambda","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","IA","SE.IA","ROE","SE.ROE","EG","SE.EG"
"Nelder-Mead",3.8984375,244.182996881511,32,NA,NA,0,TRUE,TRUE,20.648,2.3150866197096,1.94445570755875e-11,"MKT","PE",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:33:14,1018.95472063801,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",3.24774180018556,206.836990703264,95,NA,NA,0,TRUE,TRUE,66.59,1.81636968693423,6.34828856149738e-10,"ME","PE",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:36:32,2041.25081673021,2.29673385600728,1.62264378622739,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",3.60335955815701,218.139611372165,147,NA,NA,0,TRUE,TRUE,76.065,2.06280421528178,0,"IA","PE",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:39:36,1484.27044264297,NA,NA,5.13500842011114,3.50508492459841,NA,NA,NA,NA
"Nelder-Mead3",2.42510649289627,180.689953410197,71,NA,NA,0,TRUE,TRUE,36.678,1.16577797012685,2.22044604925031e-16,"ROE","PE",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:41:49,618.671215540871,NA,NA,NA,NA,2.93134690523042,3.13510264718565,NA,NA
"Nelder-Mead4",3.14855317537322,222.208644167218,75,NA,NA,0,TRUE,TRUE,38.329,1.6265150003619,1.81469284044056e-11,"EG","PE",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:44:04,971.688445665648,NA,NA,NA,NA,NA,NA,3.69221298127512,1.82276517475294
"Nelder-Mead5",2.821875,145.786999338775,28,NA,NA,0,TRUE,TRUE,6.652,2.74331028733597,5.79374674569699e-07,"MKT","VC",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:31:46,345.10291185636,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",3.74047340308365,133.608961172439,63,NA,NA,0,TRUE,TRUE,16.078,3.63857678171465,0,"ME","VC",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:32:40,355.769912899737,-1.38272054268626,5.18066544754592,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",2.68190491273999,144.976486354643,55,NA,NA,0,TRUE,TRUE,13.742,4.34355611500167,0.0245284164516955,"IA","VC",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:33:30,342.362870353562,NA,NA,-1.25544653907418,5.4594433360894,NA,NA,NA,NA
"Nelder-Mead31",3.03327332012535,144.347786516025,65,NA,NA,0,TRUE,TRUE,17.076,2.93975971915248,1.01100272598131e-09,"ROE","VC",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:34:28,356.914970818852,NA,NA,NA,NA,-0.73798517811929,2.89643073900125,NA,NA
"Nelder-Mead41",2.81547105563805,145.777672314358,49,NA,NA,0,TRUE,TRUE,12.563,0.0227392384336862,0.999345239883645,"EG","VC",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:35:25,345.587110765202,NA,NA,NA,NA,NA,NA,0.118487165961415,0.0541392888438137
"Nelder-Mead6",1.175,190.351806422967,18,NA,NA,0,TRUE,TRUE,1.771,4.25613470341944,0.456378382261678,"MKT","PD",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:31:27,1547.57753484356,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.641409101350049,158.173516127392,59,NA,NA,0,TRUE,TRUE,6.5,3.72907931975845,6.90188783902812e-09,"ME","PD",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:31:47,1794.59845837273,2.04837307427065,3.25489031575711,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",1.51141457558479,162.174797343538,57,NA,NA,0,TRUE,TRUE,6.175,4.92658186396497,0,"IA","PD",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:32:07,1968.47062173497,NA,NA,4.32526625277897,7.16722890660177,NA,NA,NA,NA
"Nelder-Mead32",0.956046851965406,140.191610803017,67,NA,NA,0,TRUE,TRUE,7.242,1.79422605523268,0,"ROE","PD",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:32:28,1649.03462712372,NA,NA,NA,NA,2.46636358285014,5.00573554609932,NA,NA
"Nelder-Mead42",1.08008382465311,166.186854136852,67,NA,NA,0,TRUE,TRUE,7.092,60.0651714388835,0,"EG","PD",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:32:49,797.436744963133,NA,NA,NA,NA,NA,NA,3.91453866232956,138.77292138442
"Nelder-Mead7",2.684375,220.054930186045,26,NA,NA,0,TRUE,TRUE,4.143,4.93530820622794,1.11022302462516e-16,"MKT","RE",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:33:09,2062.57116985584,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",2.05249543244536,198.179599220413,59,NA,NA,0,TRUE,TRUE,10.009,9.74279594949113,0,"ME","RE",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:33:44,3007.60870979893,2.22284477126414,8.59809684705519,NA,NA,NA,NA,NA,NA
"Nelder-Mead23",2.65880392173186,220.015088659596,63,NA,NA,0,TRUE,TRUE,11.223,5.39366349962616,6.66133814775094e-16,"IA","RE",40,0,"2006","FW","L2_Lasso","exp.aff",2020-04-08 19:34:23,2033.88330288009,NA,NA,-0.161256575816912,6.0193606506291,NA,NA,NA,NA
