"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.quarter","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",2.41015625,306.559070696694,28,NA,NA,0,TRUE,TRUE,12.928,1.35296746404981,0.0564047207310233,0.994771233598302,"MKT","PE",60,0,12,"2009","FW","L2_Lasso","exp.aff",2020-04-12 19:59:24,683.546957136978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.32489936421626,294.509947156402,53,NA,NA,0,TRUE,TRUE,28.82,4.61273753776168,0,1.51536285944241,"ME","PE",60,0,12,"2009","FW","L2_Lasso","exp.aff",2020-04-12 20:01:32,634.992828915314,1.31183129050769,7.50417485674618,2.58081062729965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",2.28317393856123,306.161503279965,55,NA,NA,0,TRUE,TRUE,30.043,1.34618682660401,0,1.11900328893617,"IA","PE",60,0,12,"2009","FW","L2_Lasso","exp.aff",2020-04-12 20:03:43,677.519388454119,NA,NA,NA,0.722052158322186,13.5598256265826,2.98647396546224,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.83033626973975,271.660957662535,73,NA,NA,0,TRUE,TRUE,34.073,2.65132003338902,0,1.02651269036617,"ROE","PE",60,0,12,"2009","FW","L2_Lasso","exp.aff",2020-04-12 20:05:30,566.326386568955,NA,NA,NA,NA,NA,NA,2.05820522271406,4.39258426473684,1.69376887418897,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.84209597538816,297.017600888867,65,NA,NA,0,TRUE,TRUE,24.674,2.39607086709563,0,1.06588683948005,"EG","PE",60,0,12,"2009","FW","L2_Lasso","exp.aff",2020-04-12 20:07:04,651.613247307345,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48404041106315,8.41684608452965,2.50570700361505,NA,NA,NA
"Nelder-Mead5",0.14486184965236,267.768673671106,79,NA,NA,0,FALSE,TRUE,31.008,1.93312199597854,0.254947610162548,0.279297950963523,"Alpha","PE",60,0,12,"2009","FW","L2_Lasso","exp.aff",2020-04-12 20:09:50,423.177941187151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0239762135856132,0.00887985945293714,0.00118146638143167
"Nelder-Mead6",1.94453125,155.615651435921,26,NA,NA,0,TRUE,TRUE,5.871,1.53894236948243,0.146063018206923,0.984364671745153,"MKT","VC",60,0,12,"2009","FW","L2_Lasso","exp.aff",2020-04-12 19:58:35,516.745302103394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",3.41832697844109,120.46706539929,61,NA,NA,0,TRUE,TRUE,14.507,5.85291253745821,0,0.948915481046184,"ME","VC",60,0,12,"2009","FW","L2_Lasso","exp.aff",2020-04-12 19:59:26,564.554153263511,-2.12103547040815,8.88040541782716,1.19042407138187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.7459885830468,142.975388139404,71,NA,NA,0,TRUE,TRUE,17.925,1.3656047725632,0,0.952492171384992,"IA","VC",60,0,12,"2009","FW","L2_Lasso","exp.aff",2020-04-12 20:00:59,574.912727772215,NA,NA,NA,-4.69169150398443,4.61861789374337,1.28643079853983,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",2.49199345633563,132.789028462844,61,NA,NA,0,TRUE,TRUE,15.174,2.05079767069174,0,0.684012965794601,"ROE","VC",60,0,12,"2009","FW","L2_Lasso","exp.aff",2020-04-12 20:02:26,623.616876663716,NA,NA,NA,NA,NA,NA,-2.54040964266728,4.02326082861182,0.702689248657965,NA,NA,NA,NA,NA,NA
