"X","Type","max.month","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep","t.MKT","t.Coef","sig","t.MKT.indep","t.Coef.indep","sig.indep","vintage","weighting","nc_tag","nc_label","method"
42,"BO",0,0.0993049956109087,8.0260437204028,4.08375378387219,"Alpha",0.00989306022739667,0.0533516928930173,0.0265094645853965,0.0123728450866107,0.185431046156953,FALSE,0.0243170868927236,0.373189741178196,FALSE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
41,"BO",0,0.767950852016112,1.27987362337374,0.537708680754943,"EG",1.39464041180672,0.745205225615306,0.309877693664178,0.600020844239135,1.87148501361512,FALSE,1.42819128554501,4.50061569555286,FALSE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
39,"BO",0,1.19128830337588,0.451556765700868,0.48174787586938,"IA",1.47406145093794,1.32976381025627,1.10559214970612,2.63818060953392,1.10851373722816,FALSE,2.47284599070839,1.33327778361104,FALSE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
38,"BO",0,1.16514384147564,0.66531878571472,0.659056762993347,"ME",1.764725202542,3.63915616350094,2.21758717617816,1.75125649011095,0.484927033426425,FALSE,1.7678960400675,0.79578616863368,FALSE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
37,"BO",0,1.196484375,0.961819713030488,0.621213317330572,"MKT",1.196484375,0.961819713030488,0.621213317330572,1.24397988395365,1.24397988395365,FALSE,1.92604430977339,1.92604430977339,FALSE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
40,"BO",0,0.961608085170159,1.26193555147443,0.589715491482745,"ROE",1.97540756648523,1.07473560701375,0.492750941813717,0.76201045611769,1.83804049441897,FALSE,1.63063053126237,4.00893717060013,FALSE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
90,"BO",1,0.105875367560251,7.95495163411809,4.04990655837583,"Alpha",0.00984162666394566,0.0528309567515706,0.0262638969692929,0.0133093665970464,0.186285224971874,FALSE,0.02614266922808,0.374720730722187,FALSE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
89,"BO",1,0.770058059692384,1.27578759612756,0.536086353615331,"EG",1.39671287536621,0.742021822117508,0.308611907080666,0.60359425191918,1.88230700733357,FALSE,1.43644406260141,4.52579062350025,FALSE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
87,"BO",1,1.19304711406905,0.478582305459819,0.499372472873219,"IA",1.41114552180242,1.39007326851441,1.14285031068719,2.4928776105142,1.01515909539828,FALSE,2.38909266905455,1.2347597131543,FALSE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
86,"BO",1,1.15909205186413,0.639710192987835,0.649751017143737,"ME",1.64547721696643,3.58656425040744,2.20385242873822,1.81190180267484,0.458789276333053,FALSE,1.78390186591692,0.746636750950027,FALSE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
85,"BO",1,1.18671875,0.960069683048416,0.621089164844698,"MKT",1.18671875,0.960069683048416,0.621089164844698,1.2360756421679,1.2360756421679,FALSE,1.91070592947268,1.91070592947268,FALSE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
88,"BO",1,0.971638477720629,1.40780371148533,0.652694122595569,"ROE",1.87444695418199,1.22707575611167,0.559159271494915,0.690180363777762,1.52757231560152,FALSE,1.48865823068348,3.35225945403829,FALSE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
138,"BO",30,0.223563690240514,0.0507617398898844,0.03598432269961,"Alpha",0.00834381418252095,0.000425444318818026,0.000198634058203245,4.40417705786844,19.612000474473,TRUE,6.21280806385546,42.0059593908284,TRUE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
137,"BO",30,0.979869292026707,1.22277895038457,0.597240498388957,"EG",0.69071738857383,1.00408148140902,0.473778751530161,0.801346221832273,0.687909697930642,FALSE,1.64066116525903,1.45789017836495,FALSE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
135,"BO",30,1.23032979418058,0.977258798488825,0.709728549446285,"IA",0.871336606750265,2.34970836210376,1.62464438827347,1.25896005856697,0.370827554943939,FALSE,1.73352163322225,0.536324510791094,FALSE,2011,"FW","","100% NAV as Cashflow","Asymptotic"
