"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.quarter","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",2.7484375,175.71366279086,28,NA,NA,0,TRUE,TRUE,18.138,1.66048687134385,0.00369302835426522,0.662272283200836,"MKT","PE",40,0,12,"2006","EW","L2_Lasso","exp.aff",2020-04-13 11:41:24,344.238794876554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",2.21600276735176,161.51773934045,61,NA,NA,0,TRUE,TRUE,42.285,1.61003359445544,0.000147224738286433,0.658960926858284,"ME","PE",40,0,12,"2006","EW","L2_Lasso","exp.aff",2020-04-13 11:44:46,417.303656050549,1.64778452478156,1.76235978425948,0.774253428046064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",2.65764850252935,164.492522280924,69,NA,NA,0,TRUE,TRUE,42.753,1.74232793832816,0,0.718664237427107,"IA","PE",40,0,12,"2006","EW","L2_Lasso","exp.aff",2020-04-13 11:47:40,376.822012958022,NA,NA,NA,2.98031439848232,2.79732414716416,0.90298882035061,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.48124983033304,151.375945524531,55,NA,NA,0,TRUE,TRUE,28.208,2.24124831976066,2.639000129534e-13,0.612535631490545,"ROE","PE",40,0,12,"2006","EW","L2_Lasso","exp.aff",2020-04-13 11:49:49,344.928301337853,NA,NA,NA,NA,NA,NA,2.15845837505658,3.61430607664178,0.754000124517902,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.9295991133828,161.518027085088,61,NA,NA,0,TRUE,TRUE,30.058,1.73516179367946,2.33706387575694e-11,0.59944377651315,"EG","PE",40,0,12,"2006","EW","L2_Lasso","exp.aff",2020-04-13 11:52:14,324.144337956826,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67566063878059,2.24491017227134,1.2459258423162,NA,NA,NA
"Nelder-Mead5",0.558006891673093,128.800914171121,69,NA,NA,0,FALSE,TRUE,33.96,7.63208468287497,0.00336481507301611,1.31756121322506,"Alpha","PE",40,0,12,"2006","EW","L2_Lasso","exp.aff",2020-04-13 11:55:45,351.651322284033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029322064154306,0.0502612434270471,0.0080004428988852
"Nelder-Mead6",3.21171875,200.007358055867,30,NA,NA,0,TRUE,TRUE,7.824,1.16247528895638,0.0101385302469945,0.668882046684755,"MKT","VC",40,0,12,"2006","EW","L2_Lasso","exp.aff",2020-04-13 11:39:53,293.434009126913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",3.21038882847789,173.839575068656,61,NA,NA,0,TRUE,TRUE,15.836,1.41514475304393,0,0.731375922613567,"ME","VC",40,0,12,"2006","EW","L2_Lasso","exp.aff",2020-04-13 11:40:54,338.598668566137,-1.97089107230475,3.48405540455944,0.62512811097911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",2.75572236255976,195.841893444862,51,NA,NA,0,TRUE,TRUE,13.655,1.56545475560062,1.97048689698498e-07,0.80361654144132,"IA","VC",40,0,12,"2006","EW","L2_Lasso","exp.aff",2020-04-13 11:42:29,310.75189380581,NA,NA,NA,-2.34278353122063,3.23202437198181,1.3990077542195,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",3.48740755662934,187.958898069313,63,NA,NA,0,TRUE,TRUE,16.628,1.52633906492834,0,0.737948109706531,"ROE","VC",40,0,12,"2006","EW","L2_Lasso","exp.aff",2020-04-13 11:43:31,314.239143135407,NA,NA,NA,NA,NA,NA,-1.83434774380496,3.11261166940237,0.890231513712133,NA,NA,NA,NA,NA,NA
"Nelder-Mead41",3.2095458516155,199.347546826898,73,NA,NA,0,TRUE,TRUE,16.816,1.27640172087168,9.43721172433909e-05,0.714224198828545,"EG","VC",40,0,12,"2006","EW","L2_Lasso","exp.aff",2020-04-13 11:44:37,297.000033147063,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74642807021651,5.57098385145101,1.66367413298462,NA,NA,NA
