"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.quarter","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",2.41953125,157.950343258205,30,NA,NA,0,TRUE,TRUE,31.659,2.88464815185837,4.22445087345791e-05,0.747225393423627,"MKT","PE",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:06:42,3495.19797861692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.25886903442443,151.836940906248,49,NA,NA,0,TRUE,TRUE,62.03,8.16148465356843,8.60090887400133e-11,0.844755793855411,"ME","PE",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:12:33,4023.267069584,1.38426788523793,3.51787014938415,0.877560550871642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.98271409310647,153.738734454867,71,NA,NA,0,TRUE,TRUE,62.385,4.55711038992478,0,0.644117846550357,"IA","PE",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:17:03,3371.9398781021,NA,NA,NA,2.47158889785433,9.99800096525846,1.24643193729894,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.94671063395904,141.341854110847,59,NA,NA,0,TRUE,TRUE,53.237,8.06618836447215,0,1.02899096391018,"ROE","PE",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:21:21,4766.39194675818,NA,NA,NA,NA,NA,NA,2.12141076292032,10.65026068924,1.01766226785086,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.93539901190413,151.431889335112,69,NA,NA,0,TRUE,TRUE,63.223,5.44653822932926,0,0.788792657683652,"EG","PE",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:25:54,3500.78539654309,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55521685509834,10.5257892259936,1.44199481396272,NA,NA,NA
"Nelder-Mead5",-0.15374440973372,131.450786286851,73,NA,NA,0,FALSE,TRUE,64.654,1.80370657740749,0.114642059860588,0.112188047058104,"Alpha","PE",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:32:48,4099.60989915735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0251646016416085,0.0122172099038782,0.000605440153763943
"Nelder-Mead6",0.7546875,133.184153704355,18,NA,NA,0,TRUE,TRUE,5.326,3.56292007739649,0.382102552701779,0.583751265840104,"MKT","VC",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:03:54,3118.84197811361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",3.53227263485149,116.655647533852,67,NA,NA,0,TRUE,TRUE,21.579,14.5538180972545,0,1.23105515333127,"ME","VC",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:05:12,3350.36595468527,-2.3941343455462,13.8323764411606,1.11158968121053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",0.876044550220832,132.904766524783,47,NA,NA,0,TRUE,TRUE,14.87,2.87167570791191,0.000653337315070113,0.579295395896394,"IA","VC",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:07:00,3111.43027327298,NA,NA,NA,-0.864096870041249,4.06175862941102,1.29160001853649,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",1.56428493650165,128.539556523073,53,NA,NA,0,TRUE,TRUE,19.859,0.980072728344104,2.83758863073302e-08,0.562514501990359,"ROE","VC",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:09:11,2901.51456353589,NA,NA,NA,NA,NA,NA,-1.6466054870747,3.62015034692421,0.854958991966577,NA,NA,NA,NA,NA,NA
"Nelder-Mead41",0.796292861574329,133.172917918409,47,NA,NA,0,TRUE,TRUE,17.493,2.83788660945429,0.44848369742165,0.557213772479022,"EG","VC",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:11:08,3112.60287562794,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.135039227426751,5.54053481013383,1.18045625115231,NA,NA,NA
"Nelder-Mead51",1.75731306544256,131.387952892377,69,NA,NA,0,TRUE,TRUE,22.127,1.10565931574746,0.704291805482556,0.114414228850581,"Alpha","VC",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:12:31,2978.78935508425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0072162670259681,0.00109536939381503,0.000585977155953522
"Nelder-Mead7",1.315234375,209.176610562958,22,NA,NA,0,TRUE,TRUE,3.114,50.7638693426096,0,13.9432516557401,"MKT","PD",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:03:15,2855.83499338449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",0.278438406376336,191.60888791549,61,NA,NA,0,TRUE,TRUE,7.948,65.3231077693729,0,14.8308254086154,"ME","PD",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:03:44,2345.75582503697,1.51288874682596,61.1052826203674,10.04153145067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",0.862034229168882,196.6574939645,59,NA,NA,0,TRUE,TRUE,7.888,26.9655984017144,0,4.8962518789127,"IA","PD",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:04:12,2179.29508429548,NA,NA,NA,3.578698005764,24.5333968087166,7.45937649350585,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead32",1.15455262427658,179.764139725752,59,NA,NA,0,TRUE,TRUE,8.041,218.931241136129,0,41.899350352247,"ROE","PD",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:04:41,4402.56582417197,NA,NA,NA,NA,NA,NA,1.98729161355468,207.455662806568,39.7614161848082,NA,NA,NA,NA,NA,NA
"Nelder-Mead42",0.996815975755458,191.024202381027,59,NA,NA,0,TRUE,TRUE,7.62400000000001,84.9454724771028,0,26.7353143655494,"EG","PD",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:05:08,3201.87132004661,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90226106122136,69.5413885879448,32.0338341495921,NA,NA,NA
"Nelder-Mead52",-0.348972395749995,168.301688493261,77,NA,NA,0,FALSE,TRUE,10.602,0.657928447359673,0.674377986107618,0.130252350154239,"Alpha","PD",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:05:58,2518.09644778749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0212843229373656,0.00601376684529654,0.000778256847502871
"Nelder-Mead8",0.9921875,159.958774867712,18,NA,NA,0,TRUE,TRUE,4.071,3.82970476143028,0.976131199469806,1.24968821377788,"MKT","RE",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:06:39,7912.17334229654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",0.108179449476301,157.115008241817,51,NA,NA,0,TRUE,TRUE,14.062,8.88856982349247,0,1.60901540338003,"ME","RE",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:07:45,6729.58862559883,1.06894161081873,5.06437950510261,1.76443310152299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead23",0.792981599166523,159.307569641086,43,NA,NA,0,TRUE,TRUE,12.442,3.23449576495719,0,1.23740120392699,"IA","RE",60,0,12,"1991","EW","L2_Lasso","exp.aff",2020-04-13 08:08:47,6845.41319678078,NA,NA,NA,1.09635010980419,10.9044843595432,3.262095364336,NA,NA,NA,NA,NA,NA,NA,NA,NA
