"","Type","max.quarter","MKT","SE.MKT","SE.MKT.indep","Factor","Coef","SE.Coef","SE.Coef.indep"
"661","PE",40,2.7421875,1.35535922858164,0.517183651829881,"MKT",2.7421875,1.35535922858164,0.517183651829881
"662","PE",40,1.65764201190206,0.0376739694483987,0.00312266029482081,"ME",1.65764201190206,0.0376739694483987,0.00312266029482081
"663","PE",40,2.33171709187296,1.0915837262584,0.42457730375409,"IA",2.33171709187296,1.0915837262584,0.42457730375409
"664","PE",40,2.06332447007016,2.59027006678069,0.650727302986727,"ROE",2.19055536146747,4.07167379209935,0.607996635269133
"665","PE",40,2.14812934717556,2.08152840538859,0.540295643273187,"EG",2.14812934717556,2.08152840538859,0.540295643273187
"666","PE",40,-0.0140667302748605,27.1237474591745,1.47490814126642,"Alpha",-0.0140667302748605,27.1237474591745,1.47490814126642
"667","VC",40,3.08125,1.51072666189455,0.494613829406631,"MKT",3.08125,1.51072666189455,0.494613829406631
"668","VC",40,3.49762968584095,4.30711963149068,0.687291065040468,"ME",3.49762968584095,4.30711963149068,0.687291065040468
"669","VC",40,2.90673691313878,1.37615517275203,0.555969011401323,"IA",2.90673691313878,1.37615517275203,0.555969011401323
"670","VC",40,3.23373940963979,1.74307930649451,0.521839592360075,"ROE",-1.29018035618045,3.48505614874318,0.791675971859931
"671","VC",40,3.07543451624382,1.47074898004689,0.487121575740012,"EG",3.07543451624382,1.47074898004689,0.487121575740012
"672","VC",40,3.49005500029105,5.49634833245276,0.552519184814775,"Alpha",3.49005500029105,5.49634833245276,0.552519184814775
"673","PD",40,1.55234375,6.2157464394735,2.66350904898435,"MKT",1.55234375,6.2157464394735,2.66350904898435
"674","PD",40,0.497340405320166,22.4239454011032,4.84458280637242,"ME",0.497340405320166,22.4239454011032,4.84458280637242
"675","PD",40,1.13052908277328,8.41695389787643,2.04861608961494,"IA",1.13052908277328,8.41695389787643,2.04861608961494
"676","PD",40,1.214846235678,4.93030111676237,2.38928172883747,"ROE",1.98040552256797,7.79365863866724,2.7561456581221
"677","PD",40,1.17302335794918,13.5786679186776,5.44167420503855,"EG",1.17302335794918,13.5786679186776,5.44167420503855
"678","PD",40,-0.255139859992762,1.7210768390432,0.245078695618742,"Alpha",-0.255139859992762,1.7210768390432,0.245078695618742
"679","RE",40,1.13359375,3.63620957781907,1.27524923121364,"MKT",1.13359375,3.63620957781907,1.27524923121364
"680","RE",40,0.170265966936585,7.74922406063332,1.37872207857046,"ME",0.170265966936585,7.74922406063332,1.37872207857046
"681","RE",40,0.922408536914738,2.7374760179345,1.13202044846032,"IA",0.922408536914738,2.7374760179345,1.13202044846032
"682","RE",40,0.706390853169112,4.005782567011,1.4330188250219,"ROE",2.67991905667994,3.80916939720014,0.969740792068875
"683","RE",40,0.674086756778904,5.16125535837351,1.44651498507889,"EG",0.674086756778904,5.16125535837351,1.44651498507889
"684","RE",40,-1.29578603212216,7.86385952908356,0.843536608024844,"Alpha",-1.29578603212216,7.86385952908356,0.843536608024844
"685","NATRES",40,1.9234375,2.40283451271619,1.47355538389855,"MKT",1.9234375,2.40283451271619,1.47355538389855
"686","NATRES",40,1.01113100361663,8.89886925731049,11.4007357513055,"ME",1.01113100361663,8.89886925731049,11.4007357513055
"687","NATRES",40,1.60861413307139,18.9255437853404,13.8097546417251,"IA",1.60861413307139,18.9255437853404,13.8097546417251
"688","NATRES",40,1.59031832503097,1.43134085582152,1.76151895984663,"ROE",1.91687677882437,4.67126351019351,3.46320298583716
