"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.quarter","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep"
"Nelder-Mead",3.634375,15613.9831803167,32,NA,NA,0,TRUE,TRUE,0.361,125.605755099771,0,102.956822033229,"MKT","PE",40,0,12,"2009","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:36:47,184525.653760487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",3.94926626253173,14957.4760087347,67,NA,NA,0,TRUE,TRUE,0.874,4.3062495715844,0,4.38233137495069,"ME","PE",40,0,12,"2009","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:36:49,190801.188679989,-0.415777941450415,18.8293222065347,7.86098526992411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",3.44568477438879,13157.6146535832,73,NA,NA,0,TRUE,TRUE,0.871,4.5617200578677,0,6.73931560444716,"IA","PE",40,0,12,"2009","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:36:52,187919.511130323,NA,NA,NA,-1.0085677189054,6.94236320816519,5.26856938064588,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.77774724994088,10242.2787245871,85,NA,NA,0,TRUE,TRUE,1.132,9.23721387694004,0,5.68950107045982,"ROE","PE",40,0,12,"2009","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:36:54,88008.9691070106,NA,NA,NA,NA,NA,NA,2.44000309832012,6.32698611080888,3.05440188522518,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",2.60672870030039,6623.43790077287,71,NA,NA,0,TRUE,TRUE,0.834999999999999,436.308327102273,0,239.861327068041,"EG","PE",40,0,12,"2009","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:36:57,125409.255801161,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11267220404227,40.1350170661066,24.8820588050261,NA,NA,NA
"Nelder-Mead5",1.48799666148003,11271.7284340557,107,NA,NA,0,FALSE,TRUE,1.144,15.1995871416753,1.13820064484571e-12,10.7880387895019,"Alpha","PE",40,0,12,"2009","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:36:59,75508.2523575837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0103089728894851,0.103529085468441,0.0515828263912577
"Nelder-Mead6",0.71953125,4848.1479457221,22,NA,NA,0,TRUE,TRUE,0.231,3.0542315408966,0.391656862431248,4.68158488163125,"MKT","VC",40,0,12,"2009","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:36:47,23263.1395436439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.51535822455992,4356.86990606218,57,NA,NA,0,TRUE,TRUE,0.574,168.655603314511,0,73.3386204187864,"ME","VC",40,0,12,"2009","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:36:51,21083.2970189671,-0.890360437917389,152.788928782311,66.3049423732301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",0.663844895802366,4396.35064954414,59,NA,NA,0,TRUE,TRUE,0.714,5.0473726550879,5.2204039646675e-08,6.32835023717374,"IA","VC",40,0,12,"2009","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:36:55,18721.3813586399,NA,NA,NA,-1.69713843237791,2.60469425824646,4.49440461449054,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead31",1.31810712828301,4591.74084294964,51,NA,NA,0,TRUE,TRUE,0.59,3.84593624868242,0,2.93162633086997,"ROE","VC",40,0,12,"2009","FW_VYP","L2_Lasso","exp.aff",2020-04-13 15:36:58,22912.9301082641,NA,NA,NA,NA,NA,NA,-1.0547336159274,10.2607256973582,5.7466977392685,NA,NA,NA,NA,NA,NA
