"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","Factor","Type","max.quarter","lambda","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","IA","SE.IA","ROE","SE.ROE","EG","SE.EG"
"Nelder-Mead",3.3984375,15582.9512150748,32,NA,NA,0,TRUE,TRUE,0.384,2.80095442914263,1.84344761677835e-11,"MKT","PE",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:19:53,151964.531837908,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",3.77587709319979,14773.4339901729,83,NA,NA,0,TRUE,TRUE,0.916,46.8712592358163,0,"ME","PE",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:19:55,155800.115378593,-0.522474445141308,189.975231471369,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",3.19893640607819,12978.7425456236,115,NA,NA,0,TRUE,TRUE,1.375,12.6865824129318,2.24265050974282e-13,"IA","PE",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:19:58,160129.079795461,NA,NA,-1.16848735419794,18.2691328320498,NA,NA,NA,NA
"Nelder-Mead3",1.76823591873173,10047.8111988101,91,NA,NA,0,TRUE,TRUE,1.012,9.88808828207176,0,"ROE","PE",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:00,84951.9635244373,NA,NA,NA,NA,2.42598778520249,7.56674203309994,NA,NA
"Nelder-Mead4",2.58481650257486,6899.41560238652,71,NA,NA,0,TRUE,TRUE,0.819,156.909821396654,0,"EG","PE",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:02,121071.545627238,NA,NA,NA,NA,NA,NA,1.11698530124911,377.13637308555
"Nelder-Mead5",0.6953125,4808.13653224359,26,NA,NA,0,TRUE,TRUE,0.27,2.63207476778932,0.422575934402501,"MKT","VC",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:19:54,23379.3003248123,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.53041770546443,4246.34104638683,59,NA,NA,0,TRUE,TRUE,0.651,16.2169292714437,0.0142892499217533,"ME","VC",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:19:57,21341.3082850775,-1.00189161705057,7.72070519333148,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",0.59701955369319,4371.78899543447,61,NA,NA,0,TRUE,TRUE,0.703,7.28218147667998,0,"IA","VC",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:00,19343.6826880577,NA,NA,-1.7617967778039,8.30285104660768,NA,NA,NA,NA
"Nelder-Mead31",1.1825034097943,4634.33984017345,51,NA,NA,0,TRUE,TRUE,0.545999999999999,4.07143095083174,0,"ROE","VC",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:03,23318.7184443336,NA,NA,NA,NA,-0.893325364333578,10.8564058349605,NA,NA
"Nelder-Mead41",0.0704730725847176,4396.92584094874,57,NA,NA,0,TRUE,TRUE,0.57,6.36552023358133,2.74430478341969e-11,"EG","VC",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:05,20769.2522724182,NA,NA,NA,NA,NA,NA,1.23020304734819,4.10263785694897
"Nelder-Mead6",2.3921875,4229.48941220792,26,NA,NA,0,TRUE,TRUE,0.227,3.45468633868925,1.51254460900585e-06,"MKT","PD",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:19:53,17114.3732596269,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead12",2.21075513114338,4162.89749879229,53,NA,NA,0,TRUE,TRUE,0.436,32.3033360797765,0,"ME","PD",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:19:54,14067.1081128374,0.4822571540426,8.45995657373115,NA,NA,NA,NA,NA,NA
"Nelder-Mead22",1.96293001643219,3715.65398478339,69,NA,NA,0,TRUE,TRUE,0.512,6.42175081786955,0,"IA","PD",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:19:56,13420.0348702238,NA,NA,2.83413340937996,13.7396305010886,NA,NA,NA,NA
"Nelder-Mead32",1.11171147453715,2387.31983986059,59,NA,NA,0,TRUE,TRUE,0.655,18.2861018536741,0,"ROE","PD",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:19:57,17587.9753798765,NA,NA,NA,NA,2.52928986017942,10.4964061756572,NA,NA
"Nelder-Mead42",2.37605366040962,3667.96499806895,63,NA,NA,0,TRUE,TRUE,0.531,18.5354438056388,0,"EG","PD",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:19:58,15007.9567134628,NA,NA,NA,NA,NA,NA,1.41427127667221,13.220501217125
"Nelder-Mead7",1.837890625,8238.66367014659,26,NA,NA,0,TRUE,TRUE,0.17,38.117570834007,0,"MKT","RE",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:19:59,20836.3171005387,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead13",2.16908568858676,8127.18997561512,61,NA,NA,0,TRUE,TRUE,0.407,967.277506889088,0,"ME","RE",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:00,20239.4508107281,-0.49891070819308,160.841238885059,NA,NA,NA,NA,NA,NA
"Nelder-Mead23",0.958631708849507,6780.03243297898,67,NA,NA,0,TRUE,TRUE,0.484,24.4998251432252,0,"IA","RE",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:02,42601.5504251609,NA,NA,-2.23500533987433,10.6522700398352,NA,NA,NA,NA
"Nelder-Mead33",0.4009543601477,5773.70883698683,67,NA,NA,0,TRUE,TRUE,0.432,8.25908893315563,0,"ROE","RE",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:03,37272.9917834815,NA,NA,NA,NA,2.79823887179269,5.98020819966961,NA,NA
"Nelder-Mead43",0.0434138933579736,5835.29393837587,69,NA,NA,0,TRUE,TRUE,0.388,18.5142900772422,0,"EG","RE",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:04,72072.6668569807,NA,NA,NA,NA,NA,NA,1.57916005515845,5.35688382199257
"Nelder-Mead8",2.421875,2169.57504810814,28,NA,NA,0,TRUE,TRUE,0.144,4.68047833793811,2.83193468675336e-11,"MKT","NATRES",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:02,20126.0733292731,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead14",1.38845702694344,2036.38709201513,55,NA,NA,0,TRUE,TRUE,0.361000000000001,29.2531053092605,0,"ME","NATRES",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:03,16684.4991347665,1.0482729159663,14.7743574832959,NA,NA,NA,NA,NA,NA
"Nelder-Mead24",2.454067367785,2168.45723401261,61,NA,NA,0,TRUE,TRUE,0.282,5.5715492745536,5.76982905897694e-13,"IA","NATRES",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:04,20229.6759330844,NA,NA,0.0935676206017883,9.81729948921017,NA,NA,NA,NA
"Nelder-Mead34",1.57411913290853,2020.54458724234,69,NA,NA,0,TRUE,TRUE,0.429,81.4045097307664,0,"ROE","NATRES",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:05,18782.1940828899,NA,NA,NA,NA,1.64462813677965,58.7121589746814,NA,NA
"Nelder-Mead44",2.0750610039597,2142.49958695398,61,NA,NA,0,TRUE,TRUE,0.311999999999999,12.5475845196063,0,"EG","NATRES",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:06,18247.1547256741,NA,NA,NA,NA,NA,NA,0.276069083774482,16.2090329238062
"Nelder-Mead9",2.866015625,2713.51620629952,30,NA,NA,0,TRUE,TRUE,0.0909999999999993,15.2873461887591,0,"MKT","INF",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:05,16842.0331953422,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead15",3.28481408048444,2383.52615618798,75,NA,NA,0,TRUE,TRUE,0.155999999999999,4.63564669872244,0,"ME","INF",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:05,15107.7213043371,-0.888451291974792,19.3511606035684,NA,NA,NA,NA,NA,NA
"Nelder-Mead25",1.59936912186587,1563.77654013868,71,NA,NA,0,TRUE,TRUE,0.175000000000001,13.1758611764773,0,"IA","INF",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:06,9793.71345064068,NA,NA,-1.6284295353467,29.7333249959038,NA,NA,NA,NA
"Nelder-Mead35",1.828649999312,1515.30397195888,91,NA,NA,0,TRUE,TRUE,0.200000000000001,5.35792059482352,0,"ROE","INF",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:06,13323.0852307013,NA,NA,NA,NA,1.71382576242184,18.9502490791801,NA,NA
"Nelder-Mead45",1.68507672560627,1539.15158234329,75,NA,NA,0,TRUE,TRUE,0.129999999999999,14.7751806603385,0.0403845190595404,"EG","INF",40,0,"2009","FW","L2_Lasso","exp.aff",2020-04-10 11:20:07,9168.89333275021,NA,NA,NA,NA,NA,NA,0.66019913288801,14.640156376345
