"MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","Factor","Type","max.quarter","lambda","CV.key","weighting","datetime","validation.error","SMB","HDY","QLT","MOM","ESG","LOV"
1.2858581658478,NA,5.56808046799516,80,75,35,1,FALSE,TRUE,232.839,"MOM","INF",40,0,"ALL","FW",2020-03-13 13:32:57,5.56808046799516,NA,NA,NA,2.78388755618997,NA,NA
1.49824619381263,NA,5.57907296202196,28,56,21,0,TRUE,TRUE,135.267,"ESG","INF",40,0,"ALL","FW",2020-03-13 13:36:26,5.57907296202196,NA,NA,NA,NA,17.1320897054476,NA
1.4203696169792,NA,5.26183589967889,70,81,28,1,TRUE,TRUE,245.33,"LOV","INF",40,0,"ALL","FW",2020-03-13 13:41:50,5.26183589967889,NA,NA,NA,NA,NA,5.50409502655311
2.01432708708651,4.62369445143106,4.74136783152244,43,76,26,0,TRUE,TRUE,207.041,"HML","MEZZ",40,0,"ALL","FW",2020-03-13 13:11:18,4.74136783152244,NA,NA,NA,NA,NA,NA
1.16100655170914,NA,4.74023873472639,71,75,35,1,FALSE,TRUE,253.09,"SMB","MEZZ",40,0,"ALL","FW",2020-03-13 13:17:16,4.74023873472639,2.64329154872299,NA,NA,NA,NA,NA
1.25654778004511,NA,4.67281096942539,71,76,36,1,TRUE,TRUE,253.904,"HDY","MEZZ",40,0,"ALL","FW",2020-03-13 13:23:16,4.67281096942539,NA,5.08681796614563,NA,NA,NA,NA
2.45962341478647,NA,4.89465038720294,15,42,12,0,TRUE,TRUE,89.9230000000002,"QLT","MEZZ",40,0,"ALL","FW",2020-03-13 13:26:07,4.89465038720294,NA,NA,-0.175778216491289,NA,NA,NA
0.813295623100637,NA,4.72641169132725,119,178,56,1,FALSE,TRUE,479.33,"MOM","MEZZ",40,0,"ALL","FW",2020-03-13 13:36:09,4.72641169132725,NA,NA,NA,3.05884523181743,NA,NA
1.53775421054022,NA,4.79989021262578,75,92,39,1,FALSE,TRUE,294.051,"ESG","MEZZ",40,0,"ALL","FW",2020-03-13 13:42:55,4.79989021262578,NA,NA,NA,NA,22.24672333981,NA
1.81884489322416,NA,4.48618198763075,78,105,36,1,TRUE,TRUE,321.966,"LOV","MEZZ",40,0,"ALL","FW",2020-03-13 13:50:27,4.48618198763075,NA,NA,NA,NA,NA,4.13274422739666
0.299850375529498,1.53911472859385,5.89558450223501,21,48,18,0,TRUE,TRUE,103.006,"HML","NATRES",40,0,"ALL","FW",2020-03-13 13:29:04,5.89558450223501,NA,NA,NA,NA,NA,NA
-0.189131581438337,NA,5.89086502752252,76,102,35,1,TRUE,TRUE,280.084,"SMB","NATRES",40,0,"ALL","FW",2020-03-13 13:35:00,5.89086502752252,1.6209799177633,NA,NA,NA,NA,NA
-0.58915295210806,NA,5.83236170454208,49,50,22,1,TRUE,TRUE,160.437,"HDY","NATRES",40,0,"ALL","FW",2020-03-13 13:38:57,5.83236170454208,NA,4.72690420988473,NA,NA,NA,NA
0.646314871629031,NA,5.90295868970481,58,56,22,1,TRUE,TRUE,185.89,"QLT","NATRES",40,0,"ALL","FW",2020-03-13 13:43:19,5.90295868970481,NA,NA,1.49375686863622,NA,NA,NA
-0.244834606934959,NA,5.84157080976729,56,56,27,1,FALSE,TRUE,190.616,"MOM","NATRES",40,0,"ALL","FW",2020-03-13 13:47:54,5.84157080976729,NA,NA,NA,3.27301908074075,NA,NA
0.285455198224325,NA,5.89319114764656,38,67,24,0,TRUE,FALSE,182.064,"ESG","NATRES",40,0,"ALL","FW",2020-03-13 13:52:19,5.89319114764656,NA,NA,NA,NA,9.04896490931849,NA
-0.0152868543236365,NA,5.81680953972342,53,64,26,1,TRUE,TRUE,199.943,"LOV","NATRES",40,0,"ALL","FW",2020-03-13 13:57:11,5.81680953972342,NA,NA,NA,NA,NA,3.9451669566546
1.8248682698266,1.20899491847186,6.62972078332243,55,58,24,1,TRUE,TRUE,226.254,"HML","PD",40,0,"ALL","FW",2020-03-13 13:47:58,6.62972078332243,NA,NA,NA,NA,NA,NA
0.384663332223246,NA,6.4934662149789,48,44,21,1,FALSE,TRUE,188.149,"SMB","PD",40,0,"ALL","FW",2020-03-13 13:53:34,6.4934662149789,3.03794951735047,NA,NA,NA,NA,NA
1.17261641838545,NA,6.52258978307122,167,311,111,1,TRUE,TRUE,925.547,"HDY","PD",40,0,"ALL","FW",2020-03-13 14:12:58,6.52258978307122,NA,4.06499771433373,NA,NA,NA,NA
2.57350879164681,NA,6.48458846142513,83,101,36,0,TRUE,TRUE,370.917,"QLT","PD",40,0,"ALL","FW",2020-03-13 14:21:49,6.48458846142513,NA,NA,4.12775515719662,NA,NA,NA
1.09077581929263,NA,6.43394299679253,78,101,38,1,TRUE,TRUE,347.367,"MOM","PD",40,0,"ALL","FW",2020-03-13 14:29:58,6.43394299679253,NA,NA,NA,3.22969797512187,NA,NA
1.58531699029921,NA,6.61126276497968,71,99,39,1,TRUE,TRUE,311.398,"ESG","PD",40,0,"ALL","FW",2020-03-13 14:37:41,6.61126276497968,NA,NA,NA,NA,7.82610587434486,NA
1.75953151673687,NA,6.29815538178489,49,53,23,1,FALSE,TRUE,205.203,"LOV","PD",40,0,"ALL","FW",2020-03-13 14:43:20,6.29815538178489,NA,NA,NA,NA,NA,3.92663953685601
2.3942234054808,3.22459844065678,8.8680162029207,42,91,28,0,TRUE,TRUE,419.332,"HML","PE",40,0,"ALL","FW",2020-03-13 14:03:59,8.8680162029207,NA,NA,NA,NA,NA,NA
1.48480925618103,NA,8.77356160647855,25,51,17,0,TRUE,TRUE,204.969,"SMB","PE",40,0,"ALL","FW",2020-03-13 14:12:15,8.77356160647855,3.03710017558397,NA,NA,NA,NA,NA
1.70612467720081,NA,8.73867927442266,44,75,27,0,TRUE,TRUE,380.317,"HDY","PE",40,0,"ALL","FW",2020-03-13 14:24:52,8.73867927442266,NA,5.84197837127635,NA,NA,NA,NA
3.186748106866,NA,8.89672896415552,74,100,31,1,TRUE,TRUE,512.196,"QLT","PE",40,0,"ALL","FW",2020-03-13 14:40:38,8.89672896415552,NA,NA,3.15477568190573,NA,NA,NA
1.52705922017932,NA,8.68983750070749,43,75,26,0,TRUE,TRUE,375.483,"MOM","PE",40,0,"ALL","FW",2020-03-13 14:53:14,8.68983750070749,NA,NA,NA,3.96616199099873,NA,NA
1.77741054637806,NA,8.79787172294455,41,41,18,1,TRUE,TRUE,236.323,"ESG","PE",40,0,"ALL","FW",2020-03-13 15:01:54,8.79787172294455,NA,NA,NA,NA,23.4624749166533,NA
1.92000893153541,NA,8.5515445233923,56,66,25,1,TRUE,TRUE,395.288,"LOV","PE",40,0,"ALL","FW",2020-03-13 15:14:59,8.5515445233923,NA,NA,NA,NA,NA,5.59213510259515
