"MKT","ME","IA","ROE","EG","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","Factor","Type","max.quarter","lambda","CV.key","weighting","datetime","validation.error"
2.58944668323047,-0.00255141956272472,1.07954360503412,3.37391216443909,-1.00488261882258,16.3038524347795,30,168,27,0,TRUE,TRUE,505.917,"ALL","BO",40,0,"ALL","FW",2020-03-13 20:19:07,16.3038524347795
2.08260951621053,-0.965478936574351,2.71448414402198,1.10284486926913,3.67460028319687,12.8000836827065,24,143,23,0,TRUE,TRUE,276.478,"ALL","DD",40,0,"ALL","FW",2020-03-13 20:08:17,12.8000836827065
1.84824390554347,-0.235184469878321,3.5827704598145,3.09491653750826,0.0635960409899685,11.4526785451717,27,154,24,0,TRUE,TRUE,342.143,"ALL","FOF",40,0,"ALL","FW",2020-03-13 20:11:03,11.4526785451717
1.77695874231515,-0.642543220201079,2.25466710438633,6.32895945600789,0.074457704995363,11.9744529376728,28,169,25,0,TRUE,TRUE,300.479,"ALL","INF",40,0,"ALL","FW",2020-03-13 20:17:38,11.9744529376728
2.37847385824939,-0.356536923017421,0.946871137244527,3.12846259727147,-1.1487306259013,10.5115313350402,27,153,25,0,TRUE,TRUE,295.123,"ALL","MEZZ",40,0,"ALL","FW",2020-03-13 20:21:19,10.5115313350402
-0.393973371682387,-0.339700661002567,2.93825522044372,2.86706698350114,1.38009731377614,12.9728902712791,33,228,32,0,TRUE,TRUE,406.854,"ALL","NATRES",40,0,"ALL","FW",2020-03-13 20:28:51,12.9728902712791
2.0484978655998,-0.8430303722194,2.39860718846943,1.23772118390929,3.41772209492462,12.9583442879327,24,131,22,0,TRUE,TRUE,275.07,"ALL","PD",40,0,"ALL","FW",2020-03-13 20:30:06,12.9583442879327
2.5598491799443,-0.0303733214391348,0.956829462243024,3.43780644586682,-0.924500515374926,16.3555153940577,29,159,25,0,TRUE,TRUE,555.79,"ALL","PE",40,0,"ALL","FW",2020-03-13 20:45:07,16.3555153940577
1.80023370779948,-1.27276971089576,2.99321175530451,4.03170534073193,2.3410825871558,14.7426828844849,29,196,27,0,TRUE,TRUE,390.02,"ALL","RE",40,0,"ALL","FW",2020-03-13 20:42:01,14.7426828844849
2.07879561008756,0.126232611697912,1.78825659143086,4.12593171439673,0.607762831409764,11.9515283046496,30,205,28,0,TRUE,TRUE,325.362,"ALL","SEC",40,0,"ALL","FW",2020-03-13 20:39:21,11.9515283046496
3.25271573677772,-1.59805313026002,0.895263572327128,0.538530561072837,1.85431584188215,13.6287527171126,29,198,27,0,TRUE,TRUE,394.889,"ALL","VC",40,0,"ALL","FW",2020-03-13 20:53:48,13.6287527171126
2.11989538043143,0.469410867640354,-0.0626794360929352,2.37681823804122,-1.20715905389072,16.8645534335298,31,202,29,0,TRUE,TRUE,582.677,"ALL","BO",60,0,"ALL","FW",2020-03-13 21:16:30,16.8645534335298
1.98340599249542,-1.08620341939419,3.32884109501432,0.915742984904069,3.93343526991893,13.1988306319432,24,142,23,0,TRUE,TRUE,272.054,"ALL","DD",60,0,"ALL","FW",2020-03-13 21:03:46,13.1988306319432
1.63888943924778,-0.0901967063803343,3.7256634374151,2.095619946921,0.100688723848154,11.752038070407,26,157,23,0,TRUE,TRUE,342.713,"ALL","FOF",60,0,"ALL","FW",2020-03-13 21:06:39,11.752038070407
1.96536014268433,-1.01968511253945,2.38683390113589,6.23889415772616,-0.0258419753202295,12.1800751057976,28,184,26,0,TRUE,TRUE,329.095,"ALL","INF",60,0,"ALL","FW",2020-03-13 21:13:39,12.1800751057976
1.57851616427891,-0.334634041135321,1.23830317305827,3.04407798831801,-2.26121170416216,11.1246874634866,28,158,27,0,TRUE,TRUE,306.722,"ALL","MEZZ",60,0,"ALL","FW",2020-03-13 21:17:09,11.1246874634866
-0.569699899510028,-0.28896462990839,3.28354541307702,2.57413351430466,0.780179485672647,13.1706418988767,34,218,31,0,TRUE,TRUE,392.426,"ALL","NATRES",60,0,"ALL","FW",2020-03-13 21:24:34,13.1706418988767
1.68947638423898,-0.701833963480588,2.44534901960601,0.619675198045047,3.62943042258301,13.4278641881013,24,163,23,0,TRUE,TRUE,340.145,"ALL","PD",60,0,"ALL","FW",2020-03-13 21:28:51,13.4278641881013
2.13041074782623,0.325844519157814,0.0819415925377188,2.50619372096485,-1.03554312616231,16.9108308221314,30,188,28,0,TRUE,TRUE,658.46,"ALL","PE",60,0,"ALL","FW",2020-03-13 21:44:08,16.9108308221314
1.50138615464781,-1.277352046326,3.10833623670259,2.87833713954434,2.64329850947355,15.01590266135,30,196,29,0,TRUE,TRUE,401.984,"ALL","RE",60,0,"ALL","FW",2020-03-13 21:38:32,15.01590266135
2.71339093967365,-0.600360396288717,1.24312060070459,4.40135653562204,0.411097190339754,12.2574618966937,31,193,27,0,TRUE,TRUE,312.087,"ALL","SEC",60,0,"ALL","FW",2020-03-13 21:38:32,12.2574618966937
2.91931253783187,-1.68308168964517,1.00654136925159,0.130009399968756,1.0044641937831,13.9447217794228,29,202,28,0,TRUE,TRUE,395.929,"ALL","VC",60,0,"ALL","FW",2020-03-13 21:53:06,13.9447217794228
2.61957173477348,-1.09292423436113e-06,0.00137960544315804,2.9403985071449,-0.0983420027913975,16.3443193043129,65,184,30,1,TRUE,TRUE,632.254,"ALL","BO",40,0.01,"ALL","FW",2020-03-13 22:16:54,16.3443193043129
