"MKT","ME","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","Factor","Type","max.quarter","IA","ROE","EG"
1.38826524239773,1.53024739836571,75007257726.2028,10,10,NA,0,TRUE,TRUE,71,"ME","BO",40,NA,NA,NA
1.08370389818962,0.851190489183197,4082461330.49066,11,11,NA,0,TRUE,TRUE,45.2640000000247,"ME","DD",40,NA,NA,NA
1.69261751135883,1.34515275359709,798385411.209811,9,9,NA,0,TRUE,TRUE,44.6720000000205,"ME","FOF",40,NA,NA,NA
1.41993965664611,0.563485767222447,2184599010.37824,8,8,NA,0,TRUE,TRUE,33.5890000000363,"ME","INF",40,NA,NA,NA
1.26800361553109,1.40698941854917,226312459.396499,7,7,NA,0,TRUE,TRUE,28.289999999979,"ME","MEZZ",40,NA,NA,NA
-0.998249026408478,1.02211271751827,2486130256.88287,11,11,NA,0,TRUE,TRUE,41.1450000000186,"ME","NATRES",40,NA,NA,NA
1.03534081023426,0.931664881508917,4409838017.94786,10,10,NA,0,TRUE,TRUE,45.3839999999618,"ME","PD",40,NA,NA,NA
1.33487737363078,1.55165710919586,81278653260.9641,9,9,NA,0,TRUE,TRUE,77.6269999999786,"ME","PE",40,NA,NA,NA
-0.0078473304902098,1.62006405213115,16485337332.0612,9,9,NA,0,TRUE,TRUE,43.7739999999758,"ME","RE",40,NA,NA,NA
0.761938371111732,2.14043117386922,1277906860.11451,10,10,NA,0,TRUE,TRUE,39.9469999999856,"ME","SEC",40,NA,NA,NA
2.75957506316471,-0.641985904900755,4334442327.41077,7,7,NA,0,TRUE,TRUE,37.8009999999776,"ME","VC",40,NA,NA,NA
1.38852178630645,1.50955899805101,77550152343.2263,10,10,NA,0,TRUE,TRUE,67.1739999999991,"ME","BO",41,NA,NA,NA
1.0849147535197,0.834589375198866,4214960944.778,11,11,NA,0,TRUE,TRUE,49.5389999999898,"ME","DD",41,NA,NA,NA
1.69728221393759,1.3239364772568,810788638.184282,9,9,NA,0,TRUE,TRUE,42.3859999999986,"ME","FOF",41,NA,NA,NA
1.40901076605277,0.55277040333168,2203611054.41681,9,9,NA,0,TRUE,TRUE,35.4020000000019,"ME","INF",41,NA,NA,NA
1.25747210337113,1.38281943572396,233567770.408637,7,7,NA,0,TRUE,TRUE,26.5909999999567,"ME","MEZZ",41,NA,NA,NA
-0.977455797092912,0.988612712647124,2523030364.04284,11,11,NA,0,TRUE,TRUE,44.3339999999735,"ME","NATRES",41,NA,NA,NA
1.03575960165407,0.915089551357686,4551849062.85457,9,9,NA,0,TRUE,TRUE,41.4610000000102,"ME","PD",41,NA,NA,NA
1.33481699473519,1.53189888939019,83925156562.3813,10,10,NA,0,TRUE,TRUE,88.7079999999842,"ME","PE",41,NA,NA,NA
0.0161514818609119,1.57638698261887,16847510491.7706,9,9,NA,0,TRUE,TRUE,41.25900000002,"ME","RE",41,NA,NA,NA
0.756308536432651,2.12110895066965,1293493827.56499,10,10,NA,0,TRUE,TRUE,38.5570000000298,"ME","SEC",41,NA,NA,NA
2.74806005988087,-0.684804080872826,4436292608.16326,7,7,NA,0,TRUE,TRUE,41.25900000002,"ME","VC",41,NA,NA,NA
1.3869734377507,1.49032154110952,79998054872.7995,10,10,NA,0,TRUE,TRUE,71.1529999999912,"ME","BO",42,NA,NA,NA
1.08425280982946,0.820336732608906,4347708298.63772,10,10,NA,0,TRUE,TRUE,42.2710000000079,"ME","DD",42,NA,NA,NA
1.70203720144117,1.30238192153076,822675544.8251,9,9,NA,0,TRUE,TRUE,44.9089999999851,"ME","FOF",42,NA,NA,NA
1.39678693093538,0.543709396488742,2221616398.24731,9,9,NA,0,TRUE,TRUE,35.0569999999716,"ME","INF",42,NA,NA,NA
1.2351226960436,1.35994201992693,241479791.269268,7,7,NA,0,TRUE,TRUE,28.9780000000028,"ME","MEZZ",42,NA,NA,NA
-0.956129739793024,0.955456374015912,2558462996.50892,11,11,NA,0,TRUE,TRUE,44.0249999999651,"ME","NATRES",42,NA,NA,NA
1.03457379207407,0.900418927126549,4694056834.79072,10,10,NA,0,TRUE,TRUE,44.5200000000186,"ME","PD",42,NA,NA,NA
1.33316902741219,1.51354191664446,86476557069.8101,10,10,NA,0,TRUE,TRUE,92.5669999999809,"ME","PE",42,NA,NA,NA
0.0407654847010199,1.53514985469941,17202839875.4635,9,9,NA,0,TRUE,TRUE,42.9629999999888,"ME","RE",42,NA,NA,NA
0.760281182982311,2.09501901592635,1308759252.72854,10,10,NA,0,TRUE,TRUE,39.8910000000033,"ME","SEC",42,NA,NA,NA
2.74088768611941,-0.725347673499859,4532116240.1882,7,7,NA,0,TRUE,TRUE,42.975999999966,"ME","VC",42,NA,NA,NA
1.3826152514843,1.47131017618276,82497838247.2804,10,10,NA,0,TRUE,TRUE,68.8429999999935,"ME","BO",43,NA,NA,NA
1.07990591388956,0.807952905803801,4482750759.69935,10,10,NA,0,TRUE,TRUE,39.4189999999944,"ME","DD",43,NA,NA,NA
1.70098752085003,1.28202918919624,833232477.86002,9,9,NA,0,TRUE,TRUE,39.320000000007,"ME","FOF",43,NA,NA,NA
1.38504007714135,0.531941957257861,2240356246.84442,9,9,NA,0,TRUE,TRUE,35.9720000000088,"ME","INF",43,NA,NA,NA
1.20893687071545,1.33947393908062,249167422.917503,7,7,NA,0,TRUE,TRUE,29.3059999999823,"ME","MEZZ",43,NA,NA,NA
-0.933035953716406,0.920029390497088,2594223537.38379,11,11,NA,0,TRUE,TRUE,44.50900000002,"ME","NATRES",43,NA,NA,NA
