"MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","Factor","Type","max.quarter","SMB","HDY","QLT","MOM","ESG","LOV"
-0.154151422001354,NA,4364821593.76847,9,9,NA,0,TRUE,TRUE,37.5999999999913,"SMB","DD",60,3.68023950273827,NA,NA,NA,NA,NA
2.00436502580576,NA,1135215660.30501,9,9,NA,0,TRUE,TRUE,37.3299999999872,"SMB","FOF",60,1.62293165717994,NA,NA,NA,NA,NA
1.47054144920869,NA,2425868001.30091,7,7,NA,0,TRUE,TRUE,26.5899999999965,"SMB","INF",60,0.548056661875571,NA,NA,NA,NA,NA
0.965520319545876,NA,360153711.941623,8,8,NA,0,TRUE,TRUE,32.4200000000128,"SMB","MEZZ",60,1.98584232407301,NA,NA,NA,NA,NA
-0.442898950234917,NA,2935852063.54013,9,9,NA,0,TRUE,TRUE,36.4599999999919,"SMB","NATRES",60,0.314713294342783,NA,NA,NA,NA,NA
-0.070085610732917,NA,4924668013.05089,9,9,NA,0,TRUE,TRUE,36.8199999999924,"SMB","PD",60,3.43953920183594,NA,NA,NA,NA,NA
1.48775908354657,NA,119351827811.117,9,9,NA,0,TRUE,TRUE,42.6699999999983,"SMB","PE",60,2.7731081714785,NA,NA,NA,NA,NA
0.16843239007162,NA,20719415735.0909,8,8,NA,0,TRUE,TRUE,35.75,"SMB","RE",60,1.92239477225226,NA,NA,NA,NA,NA
1.373222190652,NA,1568010472.9657,9,9,NA,0,TRUE,TRUE,39.5,"SMB","SEC",60,2.86931966357948,NA,NA,NA,NA,NA
2.51347708807987,NA,5896730864.47707,7,7,NA,0,TRUE,TRUE,31.1499999999942,"SMB","VC",60,-1.95164461395778,NA,NA,NA,NA,NA
1.68268283208168,NA,94725863726.1683,11,11,NA,0,TRUE,TRUE,51.2799999999988,"HDY","BO",50,NA,4.71479924833566,NA,NA,NA,NA
0.999097113182188,NA,6802988311.21573,7,7,NA,0,TRUE,TRUE,26.4400000000023,"HDY","DD",50,NA,0.958115541016044,NA,NA,NA,NA
1.2462226759439,NA,771459467.734683,11,11,NA,0,TRUE,TRUE,47.0299999999988,"HDY","FOF",50,NA,6.23964589559534,NA,NA,NA,NA
0.934802121288007,NA,1923927665.47049,8,8,NA,0,TRUE,TRUE,32.8399999999965,"HDY","INF",50,NA,4.83269293825167,NA,NA,NA,NA
1.15922427718463,NA,293346771.149885,8,8,NA,0,TRUE,TRUE,32.0600000000122,"HDY","MEZZ",50,NA,4.35327341267521,NA,NA,NA,NA
-1.19693818704836,NA,2659342925.52999,11,11,NA,0,TRUE,TRUE,47.3600000000006,"HDY","NATRES",50,NA,4.22401220168938,NA,NA,NA,NA
0.987797889207402,NA,7263211293.5385,7,7,NA,0,TRUE,TRUE,30.9600000000064,"HDY","PD",50,NA,1.10845321523098,NA,NA,NA,NA
1.64072505281529,NA,105564459353.388,11,11,NA,0,TRUE,TRUE,54.1899999999878,"HDY","PE",50,NA,4.45354053024872,NA,NA,NA,NA
0.318916224507823,NA,19075182678.1809,9,9,NA,0,TRUE,TRUE,37.6399999999994,"HDY","RE",50,NA,4.66941310296278,NA,NA,NA,NA
0.790267915023036,NA,1152579068.43966,12,12,NA,0,TRUE,TRUE,51.1500000000087,"HDY","SEC",50,NA,7.3728511900225,NA,NA,NA,NA
2.22571248669287,NA,5683897228.1107,7,7,NA,0,TRUE,TRUE,29.2900000000081,"HDY","VC",50,NA,-1.99686085028781,NA,NA,NA,NA
1.63304450042548,NA,110736561193.455,11,11,NA,0,TRUE,TRUE,51,"HDY","BO",60,NA,4.5044690864172,NA,NA,NA,NA
0.942651749978112,NA,7047869159.7502,7,7,NA,0,TRUE,TRUE,29.3299999999872,"HDY","DD",60,NA,1.04620865546844,NA,NA,NA,NA
1.23114277713255,NA,833315296.170428,12,12,NA,0,TRUE,TRUE,51.7199999999866,"HDY","FOF",60,NA,5.90682150793841,NA,NA,NA,NA
0.940575355650396,NA,1967241078.46132,8,8,NA,0,TRUE,TRUE,31.4600000000064,"HDY","INF",60,NA,4.76997398251626,NA,NA,NA,NA
0.856135507311976,NA,361418122.518186,8,8,NA,0,TRUE,TRUE,32.1100000000006,"HDY","MEZZ",60,NA,4.13671665738051,NA,NA,NA,NA
-1.19115139048908,NA,2812402346.88868,11,11,NA,0,TRUE,TRUE,45.6000000000058,"HDY","NATRES",60,NA,4.00765530526368,NA,NA,NA,NA
0.926731507174382,NA,7566521947.07941,7,7,NA,0,TRUE,TRUE,27.6800000000076,"HDY","PD",60,NA,1.19873263195133,NA,NA,NA,NA
1.58098221913573,NA,122331277016.893,10,10,NA,0,TRUE,TRUE,48.8499999999913,"HDY","PE",60,NA,4.3226657922994,NA,NA,NA,NA
