"MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","Factor","Type","max.quarter","lambda","CV.key","weighting","error.fun","datetime","validation.error","SMB","HDY","QLT","MOM","ESG","LOV"
2.51875094438451,NA,5.63555347714369,106,144,61,1,FALSE,TRUE,399.302,"QLT","INF",50,0,"ALL","FW","log_L1",2020-03-16 18:39:42,5.63555347714369,NA,NA,4.37448688541983,NA,NA,NA
1.05873763545604,NA,5.64610791005958,71,79,34,1,FALSE,TRUE,224.733,"MOM","INF",50,0,"ALL","FW","log_L1",2020-03-16 18:44:35,5.64610791005958,NA,NA,NA,2.63396311394358,NA,NA
1.45488256150393,NA,5.65512639903306,52,67,29,1,TRUE,TRUE,175.535,"ESG","INF",50,0,"ALL","FW","log_L1",2020-03-16 18:48:39,5.65512639903306,NA,NA,NA,NA,16.2580064586427,NA
1.28206041834715,NA,5.36049564841047,50,54,23,1,TRUE,TRUE,158.831,"LOV","INF",50,0,"ALL","FW","log_L1",2020-03-16 18:52:33,5.36049564841047,NA,NA,NA,NA,NA,5.56638407855388
1.96045010706953,4.58738676278245,4.909990462743,66,87,32,1,TRUE,TRUE,267.048,"HML","MEZZ",50,0,"ALL","FW","log_L1",2020-03-16 18:24:46,4.909990462743,NA,NA,NA,NA,NA,NA
1.30726613513807,NA,4.9217277566201,63,65,28,1,FALSE,TRUE,223.928,"SMB","MEZZ",50,0,"ALL","FW","log_L1",2020-03-16 18:30:15,4.9217277566201,2.36688114824765,NA,NA,NA,NA,NA
1.16247146938945,NA,4.85500970197666,67,86,32,1,TRUE,TRUE,267.454,"HDY","MEZZ",50,0,"ALL","FW","log_L1",2020-03-16 18:36:21,4.85500970197666,NA,4.83932127536919,NA,NA,NA,NA
2.26808656307508,NA,5.04903095912729,78,92,35,1,TRUE,TRUE,257.834,"QLT","MEZZ",50,0,"ALL","FW","log_L1",2020-03-16 18:42:15,5.04903095912729,NA,NA,-0.64750903683244,NA,NA,NA
1.08305741007921,NA,4.92133830393488,108,146,46,1,FALSE,TRUE,388.654,"MOM","MEZZ",50,0,"ALL","FW","log_L1",2020-03-16 18:50:29,4.92133830393488,NA,NA,NA,2.45010182877366,NA,NA
1.64720512548012,NA,4.99053164438404,61,67,31,1,TRUE,TRUE,221.335,"ESG","MEZZ",50,0,"ALL","FW","log_L1",2020-03-16 18:55:55,4.99053164438404,NA,NA,NA,NA,13.5233054512628,NA
1.78257500194373,NA,4.70236871700534,63,65,27,1,TRUE,TRUE,227.044000000001,"LOV","MEZZ",50,0,"ALL","FW","log_L1",2020-03-16 19:01:27,4.70236871700534,NA,NA,NA,NA,NA,4.10133901102876
0.198221444048857,1.53515114757055,5.99361194083371,18,33,14,0,TRUE,TRUE,74.3110000000001,"HML","NATRES",50,0,"ALL","FW","log_L1",2020-03-16 18:39:25,5.99361194083371,NA,NA,NA,NA,NA,NA
-0.196219026774686,NA,5.99019853859423,63,69,26,1,TRUE,TRUE,188.725,"SMB","NATRES",50,0,"ALL","FW","log_L1",2020-03-16 18:43:41,5.99019853859423,1.61798821955984,NA,NA,NA,NA,NA
-0.540502385482847,NA,5.93715012518472,60,61,26,1,FALSE,TRUE,178.949,"HDY","NATRES",50,0,"ALL","FW","log_L1",2020-03-16 18:47:47,5.93715012518472,NA,4.54987207814462,NA,NA,NA,NA
0.5311910255849,NA,6.00200234214468,76,110,32,1,TRUE,TRUE,283.942,"QLT","NATRES",50,0,"ALL","FW","log_L1",2020-03-16 18:53:47,6.00200234214468,NA,NA,0.752378654508805,NA,NA,NA
-0.285458808946948,NA,5.94636551131776,86,98,45,1,FALSE,TRUE,309.648,"MOM","NATRES",50,0,"ALL","FW","log_L1",2020-03-16 19:00:16,5.94636551131776,NA,NA,NA,3.41571040471055,NA,NA
0.154385126871436,NA,5.99452278625056,63,74,35,1,TRUE,TRUE,229.054,"ESG","NATRES",50,0,"ALL","FW","log_L1",2020-03-16 19:05:25,5.99452278625056,NA,NA,NA,NA,8.63398895544738,NA
0.109530694486126,NA,5.92825530400947,75,83,39,1,FALSE,TRUE,260.916,"LOV","NATRES",50,0,"ALL","FW","log_L1",2020-03-16 19:11:05,5.92825530400947,NA,NA,NA,NA,NA,3.13332240136871
