"MKT","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","Factor","Type","SMB","HDY","QLT","MOM","ESG","LOV","max.quarter"
2.18844462922746,NA,3005441021.03096,10,10,NA,0,TRUE,TRUE,66.1290000000008,"QLT","DD",NA,NA,3.6856252366461,NA,NA,NA,60
3.20863558114022,NA,1023778708.49256,14,14,NA,0,TRUE,TRUE,181.16,"QLT","FOF",NA,NA,2.38542844453506,NA,NA,NA,60
1.97718118143095,NA,790466992.491258,9,9,NA,0,TRUE,TRUE,35.5629999999983,"QLT","INF",NA,NA,3.114234713748,NA,NA,NA,60
1.24369538880661,NA,279697134.124192,10,10,NA,0,TRUE,TRUE,62.3400000000001,"QLT","MEZZ",NA,NA,-2.71885402957737,NA,NA,NA,60
-0.325962590252116,NA,2212098853.5511,11,11,NA,0,TRUE,TRUE,49.7710000000006,"QLT","NATRES",NA,NA,0.365311120338121,NA,NA,NA,60
2.14811948958811,NA,3454469454.79459,11,11,NA,0,TRUE,TRUE,119.882000000001,"QLT","PD",NA,NA,3.63510290671012,NA,NA,NA,60
2.850225919617,NA,120477933823.427,12,12,NA,0,TRUE,TRUE,992.502,"QLT","PE",NA,NA,2.13068795271965,NA,NA,NA,60
1.6132565591242,NA,14845425045.5718,10,10,NA,0,TRUE,TRUE,124.948,"QLT","RE",NA,NA,4.27387026102781,NA,NA,NA,60
2.96227935556317,NA,1078715885.01249,11,11,NA,0,TRUE,TRUE,54.4530000000013,"QLT","SEC",NA,NA,1.22588116136881,NA,NA,NA,60
1.99433318237605,NA,6226504285.4808,11,11,NA,0,TRUE,TRUE,433.265999999996,"QLT","VC",NA,NA,2.99321869010257,NA,NA,NA,60
1.57988838285165,NA,82416609640.7775,11,11,NA,0,TRUE,TRUE,553.261999999995,"MOM","BO",NA,NA,NA,3.09125828131148,NA,NA,60
1.02570232727771,NA,3512644686.08681,8,8,NA,0,TRUE,TRUE,49.1679999999978,"MOM","DD",NA,NA,NA,3.27026799572437,NA,NA,60
2.08848858370666,NA,888871616.394962,10,10,NA,0,TRUE,TRUE,127.313999999998,"MOM","FOF",NA,NA,NA,1.37026878326093,NA,NA,60
0.41568552660699,NA,715517952.891836,8,8,NA,0,TRUE,TRUE,31.448000000004,"MOM","INF",NA,NA,NA,2.83666408961013,NA,NA,60
0.643846480168711,NA,270872991.943145,9,9,NA,0,TRUE,TRUE,55.9910000000018,"MOM","MEZZ",NA,NA,NA,1.85791642256188,NA,NA,60
-1.02932494476049,NA,2006494378.86934,10,10,NA,0,TRUE,TRUE,45.0539999999964,"MOM","NATRES",NA,NA,NA,3.04359419248736,NA,NA,60
1.00625023073147,NA,3919603889.7143,8,8,NA,0,TRUE,TRUE,85.3220000000001,"MOM","PD",NA,NA,NA,3.07190750853002,NA,NA,60
1.44887881512772,NA,88229952297.6013,11,11,NA,0,TRUE,TRUE,892.920000000006,"MOM","PE",NA,NA,NA,3.18750518345765,NA,NA,60
0.0357226984814017,NA,11749889404.9546,9,9,NA,0,TRUE,TRUE,112.549999999996,"MOM","RE",NA,NA,NA,3.72818764379964,NA,NA,60
1.20572586288882,NA,566199854.792508,12,12,NA,0,TRUE,TRUE,59.1359999999986,"MOM","SEC",NA,NA,NA,3.75074273270048,NA,NA,60
2.48243379225182,NA,5564528504.67974,9,9,NA,0,TRUE,TRUE,356.895000000004,"MOM","VC",NA,NA,NA,-1.26408334978777,NA,NA,60
2.05598181908721,NA,103534986711.648,15,15,NA,0,TRUE,TRUE,761.853000000003,"ESG","BO",NA,NA,NA,NA,12.2217477234405,NA,60
1.35406284091079,NA,6166889977.50805,14,14,NA,0,TRUE,TRUE,86.6580000000031,"ESG","DD",NA,NA,NA,NA,-7.9816879501532,NA,60
1.55978522972985,NA,721167720.915057,18,18,NA,0,TRUE,TRUE,237.160000000003,"ESG","FOF",NA,NA,NA,NA,25.1703739269619,NA,60
1.24615696380023,NA,952813020.37911,13,13,NA,0,TRUE,TRUE,51.4479999999967,"ESG","INF",NA,NA,NA,NA,-1.33463315775356,NA,60
1.70784476272202,NA,302163985.818909,12,12,NA,0,TRUE,TRUE,75.0760000000009,"ESG","MEZZ",NA,NA,NA,NA,-4.42556554497539,NA,60
0.154655328052427,NA,2170600527.51469,15,15,NA,0,TRUE,TRUE,67.8179999999993,"ESG","NATRES",NA,NA,NA,NA,-9.28013754695502,NA,60
1.35077334067493,NA,6556333976.27809,12,12,NA,0,TRUE,TRUE,130.982000000004,"ESG","PD",NA,NA,NA,NA,-7.88425702591387,NA,60
1.95842445976166,NA,114122382413.666,15,15,NA,0,TRUE,TRUE,1247.922,"ESG","PE",NA,NA,NA,NA,11.823183827955,NA,60
0.312628649606979,NA,14593349159.5668,14,14,NA,0,TRUE,TRUE,175.133999999998,"ESG","RE",NA,NA,NA,NA,17.8714982269537,NA,60
2.3803297797703,NA,1019718493.80395,14,14,NA,0,TRUE,TRUE,69.5369999999966,"ESG","SEC",NA,NA,NA,NA,8.65411849417726,NA,60
