"MKT","ME","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","Factor","Type","max.quarter","IA","ROE","EG"
1.55761377607383,1.35798746922422,54227454235.3149,9,9,NA,0,TRUE,TRUE,32.1300000000047,"ME","BO",40,NA,NA,NA
1.21378089283571,0.630630650359431,3563148108.50019,9,9,NA,0,TRUE,TRUE,26.0299999999988,"ME","DD",40,NA,NA,NA
1.82309937614874,1.22509060039043,591815511.091443,8,8,NA,0,TRUE,TRUE,22.8700000000099,"ME","FOF",40,NA,NA,NA
0.629593837033935,1.21016813953436,672472736.741214,9,9,NA,0,TRUE,TRUE,24.1899999999878,"ME","INF",40,NA,NA,NA
1.30547224434915,1.09102448454811,150139964.361286,8,8,NA,0,TRUE,TRUE,21.2699999999895,"ME","MEZZ",40,NA,NA,NA
-1.55044909715677,1.64892705733518,1720523231.72809,11,11,NA,0,TRUE,TRUE,29.7800000000134,"ME","NATRES",40,NA,NA,NA
1.17306210523307,0.689372366530664,3777595814.12357,10,10,NA,0,TRUE,TRUE,21.1600000000035,"ME","PD",40,NA,NA,NA
1.48073346622142,1.38711252525433,58459911340.9251,10,10,NA,0,TRUE,TRUE,26.1100000000006,"ME","PE",40,NA,NA,NA
-0.298958030531943,1.62907790059509,11295163341.9565,10,10,NA,0,TRUE,TRUE,22.1100000000006,"ME","RE",40,NA,NA,NA
1.05528405863875,1.69725954647112,709357090.902462,11,11,NA,0,TRUE,TRUE,24.9799999999959,"ME","SEC",40,NA,NA,NA
2.86494386943464,-0.758565353558774,3501551390.27109,8,8,NA,0,TRUE,TRUE,19.0400000000081,"ME","VC",40,NA,NA,NA
1.55463989669728,1.3409228759759,56727579674.4322,9,9,NA,0,TRUE,TRUE,21.2799999999988,"ME","BO",41,NA,NA,NA
1.21327940905211,0.617373001896935,3693478987.73464,8,8,NA,0,TRUE,TRUE,16.25,"ME","DD",41,NA,NA,NA
1.82500114496401,1.20684691404391,604217709.34256,9,9,NA,0,TRUE,TRUE,18.6100000000006,"ME","FOF",41,NA,NA,NA
0.623420879963913,1.19238995268202,689790021.83538,9,9,NA,0,TRUE,TRUE,17.1899999999878,"ME","INF",41,NA,NA,NA
1.29197181257806,1.07355799767916,156741388.925894,8,8,NA,0,TRUE,TRUE,15.7100000000064,"ME","MEZZ",41,NA,NA,NA
-1.51970121396886,1.60058104093269,1759112173.10014,10,10,NA,0,TRUE,TRUE,19.6899999999878,"ME","NATRES",41,NA,NA,NA
1.17174664934463,0.676455984566641,3916766560.8195,9,9,NA,0,TRUE,TRUE,18.2900000000081,"ME","PD",41,NA,NA,NA
1.47813892031003,1.37081270641651,61060156023.2674,10,10,NA,0,TRUE,TRUE,26.0500000000029,"ME","PE",41,NA,NA,NA
-0.25858325299904,1.57262345681037,11647393443.192,10,10,NA,0,TRUE,TRUE,22.8600000000006,"ME","RE",41,NA,NA,NA
1.04958388654762,1.68051512661345,723334841.178728,9,9,NA,0,TRUE,TRUE,18.6200000000099,"ME","SEC",41,NA,NA,NA
2.84906516394511,-0.798545873327999,3599188947.7615,8,8,NA,0,TRUE,TRUE,19.3099999999977,"ME","VC",41,NA,NA,NA
1.54982726936558,1.32529453628903,59134663850.1771,9,9,NA,0,TRUE,TRUE,21.9400000000023,"ME","BO",42,NA,NA,NA
1.21104175197007,0.606435264036294,3824283423.44861,8,8,NA,0,TRUE,TRUE,16.9500000000116,"ME","DD",42,NA,NA,NA
1.82668755359131,1.1885155062065,616100408.143445,9,9,NA,0,TRUE,TRUE,19.2299999999959,"ME","FOF",42,NA,NA,NA
0.609787590526266,1.18562070946158,705841565.396585,9,9,NA,0,TRUE,TRUE,17.6199999999953,"ME","INF",42,NA,NA,NA
1.26468393334118,1.05700844417875,163881371.044323,7,7,NA,0,TRUE,TRUE,13.6100000000006,"ME","MEZZ",42,NA,NA,NA
-1.48695026363519,1.55148624948239,1796298110.77142,10,10,NA,0,TRUE,TRUE,19.9900000000052,"ME","NATRES",42,NA,NA,NA
1.16900281779361,0.665367150066151,4056337686.30567,9,9,NA,0,TRUE,TRUE,17.6399999999994,"ME","PD",42,NA,NA,NA
1.47380024623337,1.35601909284917,63567421574.9908,10,10,NA,0,TRUE,TRUE,25.2400000000052,"ME","PE",42,NA,NA,NA
-0.217145993895434,1.51751698912062,11995177933.0796,8,8,NA,0,TRUE,TRUE,17.6600000000035,"ME","RE",42,NA,NA,NA
1.06237058339009,1.64965538337819,736763957.256387,9,9,NA,0,TRUE,TRUE,19.8399999999965,"ME","SEC",42,NA,NA,NA
2.83849334993103,-0.836192922951962,3690764185.17343,7,7,NA,0,TRUE,TRUE,16.2799999999988,"ME","VC",42,NA,NA,NA
1.54205530622875,1.30996874092895,61592480235.3426,10,10,NA,0,TRUE,TRUE,25.75,"ME","BO",43,NA,NA,NA
1.20471732560503,0.597459944766097,3957427941.48366,9,9,NA,0,TRUE,TRUE,19.1900000000023,"ME","DD",43,NA,NA,NA
1.82188485528581,1.17163905558552,626661274.142008,9,9,NA,0,TRUE,TRUE,20.6199999999953,"ME","FOF",43,NA,NA,NA
0.597977775369216,1.17358010403672,722577810.25477,9,9,NA,0,TRUE,TRUE,19.1100000000006,"ME","INF",43,NA,NA,NA
1.22967757338079,1.04380384933344,170789538.79368,6,6,NA,0,TRUE,TRUE,12.4499999999971,"ME","MEZZ",43,NA,NA,NA
-1.45275713752933,1.49990988733959,1833855103.62486,10,10,NA,0,TRUE,TRUE,22.2399999999907,"ME","NATRES",43,NA,NA,NA
