"MKT","HML","SMB","HDY","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","Factor","Type","max.quarter"
1.25787244607053,1.24057889925877,1.65209326861014,2.688216877143,68517587416.4591,16,16,NA,0,TRUE,TRUE,1920.071,"ALL","BO",40
-0.113306029544533,-2.47297885385515,3.33761559405768,1.85586083846872,2777961687.85801,18,18,NA,0,TRUE,TRUE,356.130000000005,"ALL","DD",40
1.3538460554883,1.00286538481628,0.197417194990604,5.48234019470197,675677363.919586,19,19,NA,0,TRUE,TRUE,823.473000000013,"ALL","FOF",40
0.806588704720669,-3.09583692658201,0.77775834220726,7.54377822216327,1654429624.9459,14,14,NA,0,TRUE,TRUE,190.058000000005,"ALL","INF",40
1.27480689371624,3.4231403341262,1.70987218930035,0.573741667136851,179283622.649944,16,16,NA,0,TRUE,TRUE,292.99500000001,"ALL","MEZZ",40
-1.24299364156602,-0.0177009341208488,-0.0664740911538214,4.94886924209789,2359012516.84654,16,16,NA,0,TRUE,TRUE,238.654999999999,"ALL","NATRES",40
-0.0564227010663314,-2.38957546353932,3.21287161952363,1.86097795074645,3140937360.42623,16,16,NA,0,TRUE,TRUE,541.413,"ALL","PD",40
1.15476901546715,0.810108366326002,1.90445171943341,2.47305667005725,75842787386.9639,18,18,NA,0,TRUE,TRUE,3760.29300000001,"ALL","PE",40
-0.115863919254778,1.58435901582391,1.43172069380748,2.70410136635714,15878333090.6471,16,16,NA,0,TRUE,TRUE,703.263999999996,"ALL","RE",40
0.220768099920209,5.68007461814656,1.41540076217244,3.77213335605555,752803170.201519,18,18,NA,0,TRUE,TRUE,279.214999999997,"ALL","SEC",40
2.53332529136936,-0.818382887316444,-1.4410569667136,1.06000708449343,4603156414.04971,13,13,NA,0,TRUE,TRUE,1187.091,"ALL","VC",40
