"MKT","Alpha","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","Factor","Type","max.quarter","SMB","HDY","QLT","MOM","ESG","LOV"
0.692313056731661,0.0148789985964466,NA,2975271666.29621,46,46,NA,0,FALSE,TRUE,177.860000000001,"LOV","DD",60,NA,NA,NA,NA,NA,0.815104042274369
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,258.529999999999,"LOV","FOF",60,NA,NA,NA,NA,NA,NA
-0.152381551464152,0.0180468688330005,NA,596241768.733685,50,50,NA,0,FALSE,TRUE,189.75,"LOV","INF",60,NA,NA,NA,NA,NA,-0.185504872682533
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,115.090000000011,"LOV","MEZZ",60,NA,NA,NA,NA,NA,NA
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,3.30999999999767,"LOV","NATRES",60,NA,NA,NA,NA,NA,NA
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,223.910000000003,"LOV","PD",60,NA,NA,NA,NA,NA,NA
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,187.630000000005,"LOV","PE",60,NA,NA,NA,NA,NA,NA
0.564215764353871,0.00113263701281259,NA,12276597223.6374,53,53,NA,0,FALSE,TRUE,213.910000000003,"LOV","RE",60,NA,NA,NA,NA,NA,4.02952420816349
0.363600850738831,0.0173307313579111,NA,662067491.566652,58,58,NA,0,FALSE,TRUE,223.679999999993,"LOV","SEC",60,NA,NA,NA,NA,NA,1.09167317359283
NA,NA,NA,8.98846567431158e+307,NA,NA,NA,9999,NA,NA,3.83000000000175,"LOV","VC",60,NA,NA,NA,NA,NA,NA
