"","MKT","Alpha","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.Alpha","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.Alpha.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.22960290329337,-0.0021551723349749,-0.658161144000385,2.81341775649626e-06,176,NA,NA,0,TRUE,TRUE,1.18000000000029,1.05847074977275e-05,0.000660024964479753,1.66884253478554e-05,1,3.92063292398522e-06,0.000222989141200095,6.95696424901646e-06,"HML","ALL",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:50:57,2.81341775649626e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.16247711029356,0.000938404573152401,NA,2.59080330465488e-06,146,NA,NA,0,TRUE,FALSE,0.920000000000073,4.81323001795647e-06,0.000762367618060885,NA,0.999999999999999,2.156635692081e-06,0.000264951269212563,NA,"SMB","ALL",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:51:03,2.59080330465488e-06,-0.952564567490306,1.52044424302642e-05,7.96106106869667e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.06727547817756,-0.000505637474195908,NA,2.6308759029401e-06,206,NA,NA,0,TRUE,FALSE,1.25,0.00367216800659443,0.164828591476703,NA,0.999999827461113,0.00128786437103045,0.0556981073549425,NA,"HDY","ALL",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:51:10,2.6308759029401e-06,NA,NA,NA,-1.30072663129929,0.0068913428432357,0.00260364595457123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.60793014456715,-0.00376329872684322,NA,3.31952807269226e-06,124,NA,NA,0,TRUE,FALSE,0.740000000000691,0.0009325741717743,0.0488332094675826,NA,0.999999998673261,0.000309925358594667,0.0164810628027872,NA,"QLT","ALL",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:51:13,3.31952807269226e-06,NA,NA,NA,NA,NA,NA,0.388373186760032,0.00247398365067605,0.000849252403241751,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.30737169602982,-0.00326962025297072,NA,3.31981384108788e-06,234,NA,NA,0,TRUE,FALSE,1.52999999999975,0.000839509614130697,0.0466059077583703,NA,0.999999996220108,0.000283400781839193,0.0157356874600967,NA,"MOM","ALL",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:51:17,3.31981384108788e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21853213026435,0.00165986845662451,0.000609364109478933,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.55800560933116,-0.0021178992208836,NA,2.70046845842229e-06,196,NA,NA,0,TRUE,FALSE,1.14000000000033,0.000870496351599431,0.0107879472014583,NA,0.999996115566776,0.000294043589261896,0.00364464539418454,NA,"ESG","ALL",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:51:21,2.70046845842229e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2680478978251,0.00195115543229471,0.000657623963302391,NA,NA,NA
"Nelder-Mead6",1.0296389512436,0.00161680298190481,NA,2.66716924986406e-06,154,NA,NA,0,TRUE,FALSE,0.960000000000036,0.0338257201465293,0.909252055922385,NA,0.999724759417151,0.0119943946605083,0.316321699999657,NA,"LOV","ALL",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:51:27,2.66716924986406e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.37795871775089,0.0731329825624765,0.0270244519290802
"Nelder-Mead7",1.23456175609345,-0.000254731663864728,-0.31961516093263,1.43805422944735e-06,150,NA,NA,0,TRUE,TRUE,1.22000000000025,2.00347950957511e-05,0.00176241765066053,4.99178230057971e-05,0.999999999999999,8.07155721391773e-06,0.000597785122648936,2.11133763499886e-05,"HML","BO",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:51:35,1.43805422944735e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.20472611759764,0.00120860322258799,NA,1.40599708032277e-06,122,NA,NA,0,TRUE,TRUE,0.739999999999782,0.000865086869639281,0.0567165878269244,NA,0.999999999974507,0.000320826273502149,0.0194990645230334,NA,"SMB","BO",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:51:41,1.40599708032277e-06,-0.476943014661577,0.0010991375463156,0.000532217434998924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.17600062466736,0.000431070996477206,NA,1.42906197585749e-06,302,NA,NA,0,TRUE,FALSE,2.52999999999975,1.82063266134616e-05,0.00129149867009655,NA,0.999999999999999,6.66791240969833e-06,0.000441172137983294,NA,"HDY","BO",210,0,12,"ALL","EW_VYP","L2_Lasso","linear",2023-05-10 16:51:52,1.42906197585749e-06,NA,NA,NA,-0.597235589117161,2.45652048322742e-05,1.17094838930705e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
