"","MKT","Alpha","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.Alpha","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.Alpha.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.02602789695655,-0.000857306608574189,-0.767843360648637,8.39617404857387e-06,230,NA,NA,0,TRUE,FALSE,1.32999999999993,2.84897273054989e-06,0.000248833251978546,2.51774843440744e-06,1,1.11997000751749e-06,8.40867779147225e-05,2.03587891591603e-06,"HML","ALL",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:13:36,8.39617404857387e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",0.858766585520411,0.00328489867368699,NA,7.73322104560345e-06,370,NA,NA,0,TRUE,TRUE,2.39000000000033,1.9018347033267e-06,0.000227616103862129,NA,1,8.57563823600433e-07,8.25575391966153e-05,NA,"SMB","ALL",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:13:45,7.73322104560345e-06,-1.06750039872165,2.47017213924459e-06,1.58218426647927e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",0.627380809966162,0.00220841277782032,NA,7.4704041366644e-06,276,NA,NA,0,TRUE,FALSE,1.67999999999938,1.8665754906835e-06,0.000138278192567954,NA,1,6.92889897796896e-07,4.81949624750888e-05,NA,"HDY","ALL",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:13:53,7.4704041366644e-06,NA,NA,NA,-1.903948508499,1.55730054814671e-06,6.44825882501157e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.45712658790533,-0.00299432975598668,NA,1.05482803229112e-05,228,NA,NA,0,TRUE,TRUE,1.20000000000073,2.54221758583145e-06,0.000401158604015232,NA,1,8.40275857376198e-07,0.000135471699298733,NA,"QLT","ALL",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:13:57,1.05482803229112e-05,NA,NA,NA,NA,NA,NA,0.731720076704749,1.27385634658837e-05,4.80080338436277e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.49204098633761,-0.00392291959422146,NA,1.02888176967017e-05,262,NA,NA,0,TRUE,TRUE,1.58999999999924,2.01287775475516e-06,0.000237380849194571,NA,1,6.86563258939919e-07,8.01043255855341e-05,NA,"MOM","ALL",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:14:01,1.02888176967017e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18368301599188,7.73531649355197e-06,2.86927210899469e-06,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.43342078716992,-0.00140039407107269,NA,8.78261198053875e-06,368,NA,NA,0,TRUE,FALSE,2.30000000000018,3.0434357303233e-06,0.000374213527824565,NA,0.999999999999519,1.02655812861388e-06,0.000126451725244752,NA,"ESG","ALL",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:14:07,8.78261198053875e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.83767892759201,1.219858366826e-05,4.65988935620002e-06,NA,NA,NA
"Nelder-Mead6",0.818948694378362,0.0031410096671674,NA,8.36460595805425e-06,412,NA,NA,0,TRUE,TRUE,2.15999999999985,2.5153943729991e-06,0.000355964436496494,NA,1,1.09150981980529e-06,0.000129012582681695,NA,"LOV","ALL",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:14:18,8.36460595805425e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.42625036751951,5.65997092111316e-06,2.80344035216222e-06
"Nelder-Mead7",0.985217741321389,0.00112833144524626,-0.675388354748458,4.05897771294418e-06,528,NA,NA,0,TRUE,FALSE,3.23999999999978,2.12666912444614e-06,0.000174737099236199,2.42488192076931e-06,1,8.40605175855731e-07,6.00680639922197e-05,1.18673746923259e-06,"HML","BO",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:14:30,4.05897771294418e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",0.927097581050089,0.00373322657538305,NA,3.93325464190071e-06,216,NA,NA,0,TRUE,TRUE,1.39000000000033,2.01880602039518e-06,0.000224597692567541,NA,1,8.54388558029686e-07,7.97556603089288e-05,NA,"SMB","BO",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:14:37,3.93325464190071e-06,-0.899094644103802,2.25313996175155e-06,1.48120112297285e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",0.697587197788633,0.00312196043607631,NA,4.04069075425445e-06,302,NA,NA,0,TRUE,TRUE,1.60999999999967,2.29516743655812e-06,0.000218191604644883,NA,1,8.80362296117566e-07,7.72429684521393e-05,NA,"HDY","BO",150,0,12,"ALL","EW_VYP","L1_Ridge","linear",2023-05-10 17:14:45,4.04069075425445e-06,NA,NA,NA,-1.41397454976149,3.93696546391423e-06,1.40426191932037e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
