"","MKT","Alpha","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.Alpha","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.Alpha.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.30560133085979,-0.00120341984748464,-0.244077868254676,0.00311785312943861,154,NA,NA,0,TRUE,TRUE,1.02999999999975,5.7530777255341e-05,0.00187076052254478,0.000120440638236475,1,2.15822053326438e-05,0.000672748291739877,4.41192768062691e-05,"HML","ALL",240,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:25:30,0.00311785312943861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.25836894590871,7.40986027829514e-05,NA,0.00301859529124429,138,NA,NA,0,TRUE,FALSE,0.829999999999927,4.0298425834169e-05,0.00187029881177557,NA,0.999999999999995,1.50852228037354e-05,0.000673690306403157,NA,"SMB","ALL",240,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:25:36,0.00301859529124429,-0.399658844584556,9.05658868984087e-05,3.45992036122527e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.26181082767636,-0.00071755024852764,NA,0.00309386708571158,156,NA,NA,0,TRUE,FALSE,0.929999999999382,4.01985823283231e-06,0.000295185338967296,NA,1,1.54811310897529e-06,0.000106219487252413,NA,"HDY","ALL",240,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:25:42,0.00309386708571158,NA,NA,NA,-0.473346779083249,5.1144289167184e-06,2.77531737895259e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.40915282956305,-0.000127673977244231,NA,0.00316842081183724,188,NA,NA,0,TRUE,FALSE,1.06999999999971,0.000568620382518502,0.0375781500094311,NA,0.999999999987959,0.000199492139973301,0.0135323118827949,NA,"QLT","ALL",240,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:25:46,0.00316842081183724,NA,NA,NA,NA,NA,NA,-0.35715471546493,0.00164896982009351,0.000646598242730167,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.60477209641544,0.000610000606322921,NA,0.00316617699706651,192,NA,NA,0,TRUE,FALSE,1.09000000000015,3.61194071588317e-06,0.000722035962702961,NA,0.999999999999988,1.47712963503104e-06,0.000260260886022331,NA,"MOM","ALL",240,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:25:53,0.00316617699706651,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.14581126890679,3.22259814981607e-05,1.16787800175426e-05,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.36040033042707,-0.000892402588231395,NA,0.00284472659811195,214,NA,NA,0,TRUE,FALSE,1.27999999999975,3.42879766463636e-05,0.00147013881737097,NA,0.999999999952039,1.23153750962367e-05,0.000528887076661867,NA,"ESG","ALL",240,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:25:57,0.00284472659811195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94890510178529,7.93648624754589e-05,2.95392685311442e-05,NA,NA,NA
"Nelder-Mead6",1.04845175010564,0.00138963987987827,NA,0.00282272056260222,152,NA,NA,0,TRUE,FALSE,1.10000000000036,5.60044609183135e-05,0.00231917113501365,NA,0.999999999999983,2.10307300820583e-05,0.000842572472782959,NA,"LOV","ALL",240,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:26:03,0.00282272056260222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.83555240230642,4.71539627801257e-05,2.65113243981196e-05
"Nelder-Mead7",1.50467430916495,-0.000795631208311006,-0.158941347273419,0.00283557888997841,198,NA,NA,0,TRUE,TRUE,1.23999999999978,0.00044909474454894,0.0354203904120449,0.000877955174192412,0.999999999998621,0.000184901970005729,0.0127845515100148,0.000389668680766823,"HML","BO",240,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:26:07,0.00283557888997841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.48376165414585,-8.49900149879713e-05,NA,0.00282190351450679,174,NA,NA,0,TRUE,TRUE,1.02999999999975,3.57206823149491e-06,0.000539910674002692,NA,1,1.5938074345556e-06,0.000195160005490337,NA,"SMB","BO",240,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:26:11,0.00282190351450679,-0.245842889903995,9.57319537906158e-06,5.00777132654551e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.50328609075771,-0.000567853964544113,NA,0.00284487884251744,144,NA,NA,0,TRUE,FALSE,0.919999999999163,0.000489870474772541,0.0352443762057732,NA,0.999999999999349,0.000188183417627476,0.0127268685792661,NA,"HDY","BO",240,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:26:15,0.00284487884251744,NA,NA,NA,-0.235338753891646,0.00100881357254428,0.000426329368047271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
