"","MKT","Alpha","HML","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","SE.MKT","SE.Alpha","SE.HML","Wald.p.value.MKT_1","SE.MKT.indep","SE.Alpha.indep","SE.HML.indep","Factor","Type","max.month","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","SMB","SE.SMB","SE.SMB.indep","HDY","SE.HDY","SE.HDY.indep","QLT","SE.QLT","SE.QLT.indep","MOM","SE.MOM","SE.MOM.indep","ESG","SE.ESG","SE.ESG.indep","LOV","SE.LOV","SE.LOV.indep"
"Nelder-Mead",1.298816066929,-0.00123061037082663,-0.31051270552755,0.00220088242547848,128,NA,NA,0,TRUE,TRUE,0.610000000000127,7.05927954121696e-06,0.000537599034040024,8.27093534796316e-06,1,2.88175698708032e-06,0.000193320088695056,5.02299709285453e-06,"HML","ALL",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:06:25,0.00220088242547848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead1",1.24663792900103,0.000297509682320232,NA,0.00211099082802041,122,NA,NA,0,TRUE,FALSE,0.630000000000109,0.020355894143022,0.493784769950898,NA,0.999999962294357,0.00730038675506788,0.177916990319192,NA,"SMB","ALL",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:06:30,0.00211099082802041,-0.472318366849331,0.020264724639167,0.00851186974481085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead2",1.24607314645681,-0.000623950795421132,NA,0.00218737632316206,130,NA,NA,0,TRUE,FALSE,0.579999999999927,8.48273855189236e-06,0.000470265724067229,NA,1,3.19384638190237e-06,0.00016924078576992,NA,"HDY","ALL",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:06:36,0.00218737632316206,NA,NA,NA,-0.583575785590409,1.24040782907839e-05,5.46532585813618e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead3",1.48269793591727,-0.000937117470888274,NA,0.00238449379150998,150,NA,NA,0,TRUE,FALSE,0.639999999999873,5.23340683117224e-06,0.000443609474503614,NA,1,1.82163337126684e-06,0.00015958221849207,NA,"QLT","ALL",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:06:39,0.00238449379150998,NA,NA,NA,NA,NA,NA,-0.168899638741353,2.20734243589518e-05,8.0477060206306e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead4",1.51801555972323,-0.00125549422185665,NA,0.00239320877441161,122,NA,NA,0,TRUE,FALSE,0.650000000000091,3.87402774448601e-06,0.000369915217024714,NA,1,1.43642227955805e-06,0.000133016154736748,NA,"MOM","ALL",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:06:42,0.00239320877441161,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.158724575618914,1.66925661593686e-05,6.04531591986126e-06,NA,NA,NA,NA,NA,NA
"Nelder-Mead5",1.40606215643968,-0.00108856449890681,NA,0.00212419950090463,168,NA,NA,0,TRUE,FALSE,0.869999999999891,0.000156082405960177,0.0022621408197215,NA,0.999999998389961,5.61047259769841e-05,0.000813609888829377,NA,"ESG","ALL",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:06:46,0.00212419950090463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13990867883799,0.000341776377271922,0.00012358247549016,NA,NA,NA
"Nelder-Mead6",1.13653938361103,0.000895670027815541,NA,0.0020743774057364,144,NA,NA,0,TRUE,FALSE,0.619999999999891,1.04298618393963e-05,0.000601346135750971,NA,1,3.9876678754646e-06,0.000216843386592533,NA,"LOV","ALL",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:06:51,0.0020743774057364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.693435186827248,6.36188256657521e-06,5.19716567511824e-06
"Nelder-Mead7",1.45857053664059,-0.000888757573578953,-0.355896583838853,0.00191633901368554,142,NA,NA,0,TRUE,TRUE,0.5300000000002,7.69471290761297e-06,0.000694204779406018,1.46831920001624e-05,1,3.21320894240976e-06,0.000250517563696799,6.86747380062067e-06,"HML","BO",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:06:55,0.00191633901368554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead11",1.44746394558337,0.000437219319660628,NA,0.00192192741494596,180,NA,NA,0,TRUE,TRUE,0.950000000000273,0.000353485935566786,0.0276096902811895,NA,0.999999999995565,0.000138370033801664,0.00999131350800896,NA,"SMB","BO",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:07:01,0.00192192741494596,-0.452887027625666,0.000765271645870386,0.00032767849729382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nelder-Mead21",1.4508091378165,-0.000379734852566739,NA,0.00195900575524604,188,NA,NA,0,TRUE,FALSE,0.769999999999982,0.000384891845447643,0.0281898125860096,NA,0.999999999995935,0.000147646838967208,0.0101833883561594,NA,"HDY","BO",150,0,12,"ALL","FW_VYP","L2_Lasso","linear",2023-05-10 16:07:08,0.00195900575524604,NA,NA,NA,-0.549190453831704,0.000669935712460116,0.000300203472654699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
